"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20060101 ~ 20061231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","121-11","0121","0011","(121-11)","57.6","29.67","200601","25","4,900","-1","1993","솔매로52길 14",""
"서울특별시 강북구 미아동","121-11","0121","0011","(121-11)","35.91","18.5","200608","8","6,000","2","1993","솔매로52길 14",""
"서울특별시 강북구 미아동","1264-136","1264","0136","(1264-136)","30.15","22.21","200611","10","10,500","-1","1994","삼양로20나길 55",""
"서울특별시 강북구 미아동","1264-141","1264","0141","(1264-141)","13.86","12.23","200604","17","8,200","1","2003","삼양로20나길 57",""
"서울특별시 강북구 미아동","1264-141","1264","0141","(1264-141)","71.8","63.33","200611","18","31,500","3","2003","삼양로20나길 57",""
"서울특별시 강북구 미아동","1264-148","1264","0148","(1264-148)","57.79","29.9","200609","30","14,500","1","1994","솔샘로60길 53",""
"서울특별시 강북구 미아동","1264-150","1264","0150","(1264-150)","49.67","35.78","200607","1","18,000","-1","2002","삼양로22길 23-21",""
"서울특별시 강북구 미아동","1264-150","1264","0150","(1264-150)","50.82","36.61","200610","12","17,000","1","2002","삼양로22길 23-21",""
"서울특별시 강북구 미아동","1264-151","1264","0151","(1264-151)","32.52","29.75","200605","20","10,300","-1","1992","삼양로22길 23-19",""
"서울특별시 강북구 미아동","1264-152","1264","0152","(1264-152)","46.74","38","200609","13","12,700","-1","1992","삼양로22길 23-17",""
"서울특별시 강북구 미아동","1264-152","1264","0152","(1264-152)","46.74","38","200609","18","14,000","1","1992","삼양로22길 23-17",""
"서울특별시 강북구 미아동","1264-152","1264","0152","(1264-152)","46.74","40","200610","15","15,800","2","1992","삼양로22길 23-17",""
