date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 20cm 지중온도(°C),1.5cm 지중온도(°C),9-9강수(mm),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201101,-3.406451612903226,35.12903225806452,-7.183870967741936,53.8290322580645,1.1125,2.7967741935483867,7.048387096774192,-2.248387096774193,8.338709677419354,0.7416666666666667,10128.0,1,0,0,0,1,0,0,0
201102,5.864285714285715,32.0,1.2214285714285713,55.228571428571435,9.7,2.5535714285714284,5.9499999999999975,0.3107142857142857,6.15,7.85,15695.0,1,0,0,0,1,0,0,0
201112,2.851612903225808,31.677419354838708,-0.870967741935484,50.43870967741936,0.5916666666666667,2.6161290322580637,6.3096774193548395,1.983870967741936,12.722580645161292,0.6454545454545455,6956.0,1,0,0,0,1,0,0,0
201201,1.338709677419355,30.548387096774192,-2.7870967741935484,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,-0.8258064516129029,8.1,0.67,12797.0,1,0,0,0,1,0,0,0
201202,2.96896551724138,23.62068965517241,-2.0448275862068965,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,-0.7172413793103452,6.1896551724137945,0.2,15243.0,1,0,0,0,1,0,0,0
201212,-0.5193548387096775,38.67741935483871,-4.119354838709678,57.0290322580645,3.1846153846153844,2.7258064516129035,6.2451612903225815,0.7903225806451615,10.419354838709678,3.292307692307692,9167.0,1,0,0,0,1,0,0,0
201301,0.3354838709677418,38.548387096774185,-3.4322580645161285,57.0774193548387,2.21,2.670967741935484,5.409677419354837,-0.5451612903225808,6.54516129032258,3.266666666666667,17191.0,1,0,0,0,1,0,0,0
201302,2.775,30.285714285714285,-1.2392857142857143,53.62857142857143,5.700000000000001,2.8821428571428567,6.685714285714284,-0.13571428571428573,4.589285714285714,5.327272727272726,17144.0,1,0,0,0,1,0,0,0
201312,3.525806451612904,39.67741935483871,-0.18387096774193573,60.15161290322581,1.9,2.3935483870967738,5.9483870967741925,2.454838709677419,11.570967741935485,2.0583333333333336,11886.0,1,0,0,0,1,0,0,0
201401,3.5419354838709682,29.48387096774193,-0.6774193548387096,50.07741935483869,1.181818181818182,2.4258064516129045,5.948387096774192,0.054838709677419335,7.8677419354838705,1.181818181818182,15714.0,1,0,0,0,1,0,0,0
201402,6.6035714285714295,32.75,1.9285714285714288,51.98214285714285,2.3142857142857136,2.696428571428572,5.8535714285714295,1.9678571428571427,6.4071428571428575,2.7,16869.0,1,0,0,0,1,0,0,0
201412,1.4967741935483871,36.709677419354854,-2.919354838709677,56.261290322580614,1.11875,2.8483870967741938,6.309677419354838,1.0516129032258068,10.951612903225802,1.3692307692307693,7478.0,1,0,0,0,1,0,0,0
201501,3.583870967741936,37.61290322580645,-0.9354838709677418,56.364516129032275,1.4125,2.6483870967741923,6.235483870967737,-0.11612903225806452,7.0580645161290345,2.26,10756.0,1,0,0,0,1,0,0,0
201502,5.960714285714286,34.92857142857143,1.0428571428571425,58.94285714285714,2.8375,2.8678571428571433,6.428571428571429,1.248148148148148,5.789285714285714,2.5222222222222217,8984.0,1,0,0,0,1,0,0,0
201512,5.996774193548387,38.74193548387097,1.5935483870967744,59.864516129032246,2.645454545454545,2.3451612903225807,5.73548387096774,4.254838709677419,12.206451612903225,1.94,8822.0,1,0,0,0,1,0,0,0
201601,1.125806451612903,33.064516129032256,-3.2000000000000006,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612903,0.7322580645161291,8.493548387096777,0.125,11382.0,1,0,0,0,1,0,0,0
201602,5.0758620689655185,30.724137931034484,0.19310344827586204,52.05172413793103,3.966666666666667,2.755172413793104,6.73103448275862,1.1862068965517245,6.20689655172414,4.76,9864.0,1,0,0,0,1,0,0,0
201612,5.8,40.096774193548384,1.2451612903225806,59.15806451612904,4.364285714285715,2.225806451612903,5.367741935483871,4.32258064516129,12.261290322580646,5.091666666666667,6187.0,1,0,0,0,1,0,0,0
201701,2.916129032258064,35.064516129032256,-1.829032258064516,54.60645161290322,1.1461538461538459,2.3,6.741935483870968,1.7129032258064518,8.906451612903227,1.2416666666666667,6671.0,1,0,0,0,1,0,0,0
201702,4.80357142857143,30.285714285714285,-0.2464285714285713,53.664285714285704,1.85,2.4464285714285707,7.5,1.0607142857142855,6.7321428571428585,1.85,6561.0,1,0,0,0,1,0,0,0
201712,2.1580645161290324,33.16129032258065,-1.9290322580645158,55.854838709677416,2.485714285714286,1.7827586206896548,5.680645161290323,1.9258064516129028,11.635483870967743,2.3200000000000003,5415.0,1,0,0,0,1,0,0,0
201801,0.1419354838709677,28.935483870967737,-3.977419354838709,48.03225806451611,0.7727272727272727,1.870967741935484,6.43793103448276,0.07096774193548391,7.7709677419354835,0.85,5556.0,1,0,0,0,1,0,0,0
201802,3.2821428571428566,24.392857142857146,-1.6464285714285718,44.9142857142857,4.933333333333334,2.1785714285714284,7.192592592592592,-0.6607142857142858,5.739285714285713,6.0200000000000005,4851.0,1,0,0,0,1,0,0,0
201812,4.087096774193548,26.48387096774193,-0.6064516129032259,45.75806451612904,2.733333333333334,1.803225806451613,6.4483870967741925,2.841935483870968,11.4,1.8222222222222224,3615.0,1,0,0,0,1,0,0,0
201901,4.087096774193548,25.70967741935484,-0.8967741935483872,45.58387096774193,0.0,1.8193548387096776,6.935483870967741,0.1193548387096774,7.580645161290323,0.0,5424.0,1,0,0,0,1,0,0,0
