date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 중하층운량(10분위),최대 풍속(m/s),최고 해면 기압(hPa),평균 30cm 지중온도(°C),최저 해면기압(hPa),평균 5cm 지중온도(°C),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201101,-3.406451612903226,35.12903225806452,-7.183870967741936,53.8290322580645,1.1125,2.7967741935483867,7.048387096774192,1.761290322580645,5.5935483870967735,1029.7258064516127,-1.07741935483871,1024.9806451612903,-3.2612903225806464,736,1,0,0,0,1,0,0,0
201102,5.864285714285715,32.0,1.2214285714285713,55.228571428571435,9.7,2.5535714285714284,5.9499999999999975,2.0464285714285717,5.239285714285715,1024.5678571428568,0.35000000000000003,1019.3964285714287,0.5785714285714285,1730,1,0,0,0,1,0,0,0
201112,2.851612903225808,31.677419354838708,-0.870967741935484,50.43870967741936,0.5916666666666667,2.6161290322580637,6.3096774193548395,2.612903225806451,5.141935483870967,1030.1516129032261,3.093548387096774,1025.258064516129,0.8129032258064521,1823,1,0,0,0,1,0,0,0
201201,1.338709677419355,30.548387096774192,-2.7870967741935484,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,2.225806451612903,5.3419354838709685,1028.3483870967739,-0.1483870967741935,1023.8322580645159,-1.4903225806451612,1236,1,0,0,0,1,0,0,0
201202,2.96896551724138,23.62068965517241,-2.0448275862068965,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,1.3862068965517245,5.641379310344827,1026.7724137931034,-0.3241379310344829,1021.2620689655173,-0.8827586206896549,1273,1,0,0,0,1,0,0,0
201212,-0.5193548387096775,38.67741935483871,-4.119354838709678,57.0290322580645,3.1846153846153844,2.7258064516129035,6.2451612903225815,2.2,5.5580645161290345,1027.9451612903226,1.883870967741936,1021.4129032258064,-1.4677419354838712,860,1,0,0,0,1,0,0,0
201301,0.3354838709677418,38.548387096774185,-3.4322580645161285,57.0774193548387,2.21,2.670967741935484,5.409677419354837,2.8129032258064512,5.190322580645162,1028.9290322580646,-0.025806451612903226,1023.9129032258064,-1.9645161290322581,813,1,0,0,0,1,0,0,0
201302,2.775,30.285714285714285,-1.2392857142857143,53.62857142857143,5.700000000000001,2.8821428571428567,6.685714285714284,2.8142857142857136,5.703571428571428,1028.5928571428572,0.08214285714285717,1021.9857142857144,-0.03928571428571431,1178,1,0,0,0,1,0,0,0
201312,3.525806451612904,39.67741935483871,-0.18387096774193573,60.15161290322581,1.9,2.3935483870967738,5.9483870967741925,3.1741935483870964,5.22258064516129,1024.6967741935487,3.961290322580645,1019.583870967742,1.1612903225806444,1248,1,0,0,0,1,0,0,0
201401,3.5419354838709682,29.48387096774193,-0.6774193548387096,50.07741935483869,1.181818181818182,2.4258064516129045,5.948387096774192,2.6225806451612903,4.941935483870967,1028.1806451612906,1.2129032258064514,1022.4935483870967,-0.6677419354838707,1401,1,0,0,0,1,0,0,0
201402,6.6035714285714295,32.75,1.9285714285714288,51.98214285714285,2.3142857142857136,2.696428571428572,5.8535714285714295,1.8928571428571423,5.1714285714285735,1027.55,2.4222222222222225,1022.8285714285716,1.7821428571428568,1460,1,0,0,0,1,0,0,0
201412,1.4967741935483871,36.709677419354854,-2.919354838709677,56.261290322580614,1.11875,2.8483870967741938,6.309677419354838,1.7479999999999998,5.741935483870969,1027.903225806452,2.154838709677419,1021.2451612903227,-1.058064516129032,1036,1,0,0,0,1,0,0,0
201501,3.583870967741936,37.61290322580645,-0.9354838709677418,56.364516129032275,1.4125,2.6483870967741923,6.235483870967737,1.872,5.196774193548388,1027.6645161290323,0.30322580645161296,1021.5290322580644,-0.7709677419354839,1362,1,0,0,0,1,0,0,0
201502,5.960714285714286,34.92857142857143,1.0428571428571425,58.94285714285714,2.8375,2.8678571428571433,6.428571428571429,2.0380952380952384,5.653571428571429,1025.225,1.3214285714285714,1019.407142857143,1.0607142857142855,1706,1,0,0,0,1,0,0,0
201512,5.996774193548387,38.74193548387097,1.5935483870967744,59.864516129032246,2.645454545454545,2.3451612903225807,5.73548387096774,2.7451612903225806,4.680645161290324,1028.6935483870966,4.82258064516129,1022.783870967742,2.161290322580645,1647,1,0,0,0,1,0,0,0
201601,1.125806451612903,33.064516129032256,-3.2000000000000006,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612903,2.6161290322580637,4.916129032258065,1027.9387096774194,1.270967741935484,1023.2225806451613,-1.4645161290322581,1296,1,0,0,0,1,0,0,0
201602,5.0758620689655185,30.724137931034484,0.19310344827586204,52.05172413793103,3.966666666666667,2.755172413793104,6.73103448275862,2.258620689655172,5.613793103448275,1027.3275862068963,1.2862068965517244,1020.996551724138,0.6689655172413794,1518,1,0,0,0,1,0,0,0
201612,5.8,40.096774193548384,1.2451612903225806,59.15806451612904,4.364285714285715,2.225806451612903,5.367741935483871,3.5451612903225804,4.541935483870968,1028.5161290322576,5.164516129032258,1021.6161290322577,2.7032258064516133,1785,1,0,0,0,1,0,0,0
201701,2.916129032258064,35.064516129032256,-1.829032258064516,54.60645161290322,1.1461538461538459,2.3,6.741935483870968,2.329032258064516,4.84516129032258,1028.8645161290324,2.467741935483871,1022.1322580645165,0.2161290322580647,1227,1,0,0,0,1,0,0,0
