date,month,평균 기온(°C),최다 풍향(16방위),일강수량(mm),합계 일조 시간(hr),9-9강수(mm),평균 전운량(10분위),합계 소형증발량(mm),최저 해면기압 시각(hhmi),최저 기온 시각(hhmi),열지수,평균 10cm 지중온도(°C),평균 상대습도(%),최대 순간풍속 시각(hhmi),최소 상대습도(%),풍정합(100m),최고 기온 시각(hhmi),평균 20cm 지중온도(°C),합계 일사량(MJ/m2),target,season,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201110,10,14.222580645161296,157.74193548387098,5.333333333333333,7.176666666666668,4.571428571428571,3.8064516129032255,3.758064516129033,1282.1935483870966,892.9354838709677,51,15.603225806451617,54.503225806451596,1458.9032258064515,31.064516129032263,1850.166666666667,1353.7096774193546,15.861290322580645,12.142999999999995,518742,3.0,0,0,1,0
201111,11,10.68666666666667,152.33333333333334,3.746666666666667,4.316666666666666,3.4875,6.043333333333335,2.1166666666666663,1238.7333333333333,955.6333333333333,43,11.060000000000004,60.37666666666666,1384.333333333333,41.96666666666667,2349.833333333333,1179.9666666666667,11.323333333333332,6.327666666666665,304318,3.0,0,1,0,0
201112,12,-0.870967741935484,205.80645161290332,0.5916666666666667,6.3096774193548395,0.6454545454545455,3.9290322580645163,1.9516129032258067,1271.483870967742,1043.6451612903227,15,1.4548387096774198,50.43870967741936,1342.3225806451612,31.677419354838708,2258.6451612903224,1264.8709677419354,1.983870967741936,6.96225806451613,237330,4.0,1,0,0,0
201201,1,-2.7870967741935484,215.80645161290332,0.5583333333333333,6.14516129032258,0.67,3.612903225806452,2.103225806451613,1265.9354838709678,925.6451612903226,9,-1.1354838709677415,48.85806451612903,1454.0,30.548387096774192,2186.7096774193546,1351.1935483870966,-0.8258064516129029,7.564516129032258,114505,4.0,1,0,0,0
201202,2,-2.0448275862068965,201.72413793103448,0.13333333333333333,7.755172413793103,0.2,3.4,2.7034482758620686,1341.5517241379312,1023.9310344827586,11,-0.7620689655172413,43.17931034482758,1334.9310344827584,23.62068965517241,2468.4137931034484,1378.0344827586207,-0.7172413793103452,11.215517241379313,169684,4.0,1,0,0,0
201203,3,5.090322580645162,210.0,3.3857142857142857,6.187096774193549,3.3857142857142857,5.193548387096775,2.770967741935485,1204.3225806451612,1075.8387096774193,30,5.780645161290321,51.84516129032257,1627.7419354838707,28.41935483870968,3052.483870967741,1262.9032258064515,5.490322580645163,11.855161290322581,233028,1.0,0,1,0,0
201204,4,12.34,200.66666666666663,17.444444444444443,7.083333333333334,15.7,4.6,4.406666666666667,1352.5333333333333,755.1333333333333,47,12.860000000000005,54.10333333333333,1350.2333333333333,30.13333333333333,2953.5333333333333,1307.3333333333333,12.34,14.949333333333328,336255,1.0,0,1,0,0
201205,5,19.73225806451613,187.41935483870967,0.82,8.106451612903228,0.9111111111111108,4.303225806451614,6.022580645161291,1382.516129032258,655.516129032258,62,22.14193548387097,48.23225806451613,1415.354838709677,26.838709677419356,2293.870967741936,1390.516129032258,21.4258064516129,17.851612903225806,481103,1.0,0,0,1,0
201206,6,24.139999999999993,186.33333333333331,15.316666666666668,7.733333333333332,15.316666666666668,5.416666666666666,7.643333333333333,1462.4,685.5333333333333,69,27.550000000000004,54.08666666666666,1413.2666666666669,33.0,2424.0,1397.0666666666666,26.76666666666667,17.815333333333335,224854,2.0,0,0,0,1
201207,7,25.41290322580645,191.29032258064515,21.37619047619048,4.645161290322581,22.445,7.351612903225808,4.154838709677419,1056.451612903226,756.258064516129,70,26.32903225806451,73.83225806451615,1187.8387096774193,55.935483870967744,2354.7096774193546,1438.483870967742,25.9,12.101290322580645,193169,2.0,0,0,0,1
201208,8,27.13225806451612,124.83870967741936,25.827777777777786,5.119354838709677,24.46842105263158,6.7548387096774185,5.361290322580643,1338.967741935484,801.258064516129,73,27.977419354838705,67.95483870967742,1477.8709677419354,51.0,2556.516129032258,1363.741935483871,27.612903225806452,11.704516129032251,202572,2.0,0,0,0,1
201209,9,20.963333333333328,133.33333333333334,17.666666666666668,6.3599999999999985,23.555555555555557,5.620000000000001,3.8066666666666658,1130.4,859.9,63,22.106666666666666,65.14999999999999,1395.6333333333334,43.23333333333333,1987.833333333333,1321.2,22.2,11.876,296957,3.0,0,0,1,0
201210,10,15.348387096774195,163.22580645161293,11.033333333333333,7.593548387096777,9.027272727272726,3.603225806451613,3.2354838709677414,1165.8064516129034,1006.1612903225806,53,16.04666666666666,58.17741935483871,1406.0967741935485,31.903225806451612,1971.8064516129032,1408.645161290323,16.680645161290325,11.277419354838711,520733,3.0,0,0,1,0
201211,11,5.540000000000001,182.0,4.52,6.036666666666667,4.52,4.536666666666665,1.9,1137.9666666666667,1148.6333333333334,32,6.39,57.24,1274.0,36.833333333333336,2340.133333333333,1319.8,7.340000000000002,7.6196666666666655,192476,3.0,0,1,0,0
201212,12,-4.119354838709678,183.2258064516129,3.1846153846153844,6.2451612903225815,3.292307692307692,3.467741935483871,1.116129032258064,1055.548387096774,1105.1935483870966,6,-0.2483870967741935,57.0290322580645,1127.967741935484,38.67741935483871,2353.451612903226,1284.741935483871,0.7903225806451615,6.784516129032258,133012,4.0,1,0,0,0
201301,1,-3.4322580645161285,198.06451612903226,2.21,5.409677419354837,3.266666666666667,4.261290322580645,1.5612903225806452,1152.0,929.2903225806452,8,-1.338709677419355,57.0774193548387,1317.3225806451612,38.548387096774185,2308.903225806452,1316.225806451613,-0.5451612903225808,7.023548387096772,105724,4.0,1,0,0,0
201302,2,-1.2392857142857143,220.35714285714286,5.700000000000001,6.685714285714284,5.327272727272726,4.717857142857142,1.7392857142857143,1192.5357142857142,1224.392857142857,14,-0.3428571428571429,53.62857142857143,1250.4642857142858,30.285714285714285,2494.428571428572,1226.75,-0.13571428571428573,10.588571428571427,140253,4.0,1,0,0,0
201303,3,5.135483870967743,226.7741935483871,3.4125,8.267741935483869,3.4714285714285715,3.3193548387096765,3.1193548387096763,1248.3870967741937,877.0967741935484,30,5.667741935483869,49.1741935483871,1245.1290322580646,25.258064516129032,2622.548387096774,1262.6129032258063,5.545161290322581,14.300322580645163,179912,1.0,0,1,0,0
201304,4,10.006666666666666,198.66666666666663,4.78,7.1066666666666665,3.983333333333333,5.006666666666667,3.7033333333333336,1308.6333333333334,1057.4,42,10.64,53.97666666666667,1407.1333333333334,28.36666666666667,2954.9,1183.1666666666667,10.473333333333333,14.995333333333333,276043,1.0,0,1,0,0
201305,5,18.22258064516129,225.4838709677419,12.0,7.6806451612903235,11.0,4.664516129032259,4.612903225806452,1351.0967741935485,747.1290322580646,59,18.987096774193546,57.783870967741926,1481.4193548387098,35.87096774193548,2509.483870967742,1377.9354838709678,18.467741935483872,16.55483870967742,522279,1.0,0,0,1,0
201306,6,24.41000000000001,213.0,2.83,7.466666666666666,2.83,5.4433333333333325,5.343333333333332,1343.0,713.8,69,26.07666666666667,60.10999999999998,1491.2,39.7,1927.6333333333328,1443.333333333333,25.4,16.91433333333333,208081,2.0,0,0,0,1
201307,7,25.519354838709678,220.64516129032262,26.00769230769231,3.258064516129032,29.4,8.493548387096777,2.8096774193548386,1296.4193548387098,906.8064516129033,70,25.85483870967743,79.25483870967744,1234.3548387096773,63.54838709677418,2898.6129032258063,1361.2903225806454,25.68064516129032,8.660645161290322,203073,2.0,0,0,0,1
201308,8,27.69677419354839,199.35483870967738,9.906666666666666,7.029032258064516,8.255555555555555,6.222580645161291,4.380645161290324,1268.258064516129,730.516129032258,73,28.11935483870968,69.33870967741936,1438.5806451612902,48.935483870967744,2393.064516129032,1432.8709677419354,27.97741935483871,13.566774193548383,255664,2.0,0,0,0,1
201309,9,21.75333333333333,154.66666666666666,11.541666666666664,6.366666666666667,11.541666666666664,5.536666666666666,3.6433333333333318,1073.2666666666667,986.8,65,23.10666666666668,62.88666666666666,1456.833333333333,42.96666666666667,1933.7333333333331,1464.833333333333,23.45666666666667,12.294000000000002,319869,3.0,0,0,1,0
