date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 중하층운량(10분위),최대 풍속(m/s),최고 해면 기압(hPa),평균 30cm 지중온도(°C),최저 해면기압(hPa),평균 5cm 지중온도(°C),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201106,26.576666666666664,46.23333333333333,21.97666666666667,66.56,20.225,2.923333333333334,5.6933333333333325,4.016666666666667,6.166666666666669,1008.9633333333336,23.33666666666668,1004.2966666666667,24.34,5840,0,0,1,0,0,0,1,0
201107,27.996774193548394,62.41935483870968,24.638709677419357,78.78709677419354,49.17391304347826,2.419354838709677,2.593548387096774,5.9709677419354845,5.219354838709679,1007.4774193548387,25.49677419354839,1003.8741935483873,26.045161290322586,2053,0,0,0,1,0,0,0,1
201108,29.451612903225808,56.29032258064516,25.77419354838709,74.33548387096774,8.34,2.52258064516129,3.032258064516129,5.387096774193549,5.193548387096773,1010.0258064516127,26.50967741935484,1006.5935483870967,26.85806451612904,3571,0,0,0,1,0,0,0,1
201206,29.71666666666666,33.0,24.139999999999993,54.08666666666666,15.316666666666668,2.8,7.733333333333332,3.08,5.836666666666668,1009.3133333333333,27.04333333333333,1004.8099999999997,28.45000000000001,6406,0,0,0,1,0,0,0,1
201207,29.02580645161291,55.935483870967744,25.41290322580645,73.83225806451615,21.37619047619048,2.729032258064516,4.645161290322581,5.6,5.429032258064513,1007.683870967742,26.15806451612903,1003.5774193548384,26.65483870967741,2111,0,0,0,1,0,0,0,1
201208,30.851612903225806,51.0,27.13225806451612,67.95483870967742,25.827777777777786,2.967741935483871,5.119354838709677,4.774193548387096,6.054838709677418,1010.432258064516,27.903225806451612,1005.7612903225804,28.209677419354843,1593,0,0,0,1,0,0,0,1
201306,29.236666666666668,39.7,24.41000000000001,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,3.339999999999999,4.9300000000000015,1009.5766666666664,24.55,1005.6433333333333,27.03666666666668,4424,0,0,0,1,0,0,0,1
201307,28.33548387096775,63.54838709677418,25.519354838709678,79.25483870967744,26.00769230769231,3.3516129032258064,3.258064516129032,6.477419354838709,6.790322580645161,1007.074193548387,25.419354838709673,1003.316129032258,26.393548387096786,1602,0,0,0,1,0,0,0,1
201308,31.08709677419354,48.935483870967744,27.69677419354839,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,5.112903225806452,5.564516129032258,1008.267741935484,27.74516129032257,1004.6806451612904,28.69677419354839,2843,0,0,0,1,0,0,0,1
201406,27.770000000000003,49.06666666666667,23.06333333333333,72.80666666666666,7.007142857142857,2.603333333333333,6.163333333333332,4.483333333333333,5.553333333333336,1007.8166666666667,23.041379310344826,1004.4266666666666,25.196666666666665,5537,0,0,0,1,0,0,0,1
201407,30.63548387096775,50.58064516129032,26.1483870967742,74.23548387096773,17.325,2.75483870967742,5.570967741935487,5.0774193548387085,5.587096774193548,1008.974193548387,25.30322580645161,1004.7290322580644,28.083870967741948,1510,0,0,0,1,0,0,0,1
201408,28.951612903225808,57.225806451612904,25.164516129032265,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,4.606451612903225,4.903225806451613,1009.9322580645164,24.65483870967741,1006.1483870967744,26.20967741935484,1889,0,0,0,1,0,0,0,1
201506,29.46333333333333,35.4,23.586666666666666,59.80999999999998,8.25,2.546666666666667,8.603333333333332,3.1066666666666665,5.8,1009.2933333333333,23.246666666666666,1004.45,26.126666666666665,3344,0,0,0,1,0,0,0,1
201507,30.02580645161289,50.38709677419354,25.83548387096775,71.15483870967742,14.125,2.841935483870968,5.680645161290323,4.635483870967741,5.567741935483871,1008.6741935483873,25.12068965517241,1004.4290322580645,27.32758620689655,2991,0,0,0,1,0,0,0,1
201508,30.78709677419355,45.96774193548386,26.26774193548387,69.7741935483871,4.288235294117648,2.396774193548388,6.677419354838711,3.629032258064516,5.348387096774194,1009.9290322580645,25.638709677419357,1006.5580645161293,26.99032258064516,3439,0,0,0,1,0,0,0,1
201606,28.680000000000003,41.1,23.59666666666667,62.86666666666665,4.533333333333334,2.13,7.656666666666667,3.3100000000000014,4.8966666666666665,1009.4466666666667,22.95,1005.5066666666668,25.63333333333333,4525,0,0,0,1,0,0,0,1
201607,29.822580645161292,54.064516129032256,26.235483870967744,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,4.4064516129032265,4.390322580645162,1009.3870967741935,24.70967741935484,1005.4967741935484,26.92580645161291,2324,0,0,0,1,0,0,0,1
201608,32.635483870967754,41.67741935483871,27.99677419354839,63.883870967741935,4.19375,2.0580645161290323,7.616129032258066,3.2774193548387096,4.635483870967742,1007.451612903226,27.1483870967742,1003.7709677419356,29.241935483870964,1493,0,0,0,1,0,0,0,1
201706,28.75,33.46666666666667,23.27333333333333,56.60333333333333,5.123076923076923,2.373333333333333,9.506666666666666,2.933333333333333,5.1366666666666685,1010.3666666666667,23.36333333333333,1006.0933333333336,25.63666666666667,3763,0,0,0,1,0,0,0,1
201707,30.393548387096768,59.67741935483871,26.92258064516129,77.1774193548387,27.0,2.0,3.9709677419354836,5.496774193548387,4.493548387096773,1009.0193548387095,26.480645161290322,1005.4483870967745,27.6483870967742,2543,0,0,0,1,0,0,0,1
