date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 중하층운량(10분위),최대 풍속(m/s),최고 해면 기압(hPa),평균 30cm 지중온도(°C),최저 해면기압(hPa),평균 5cm 지중온도(°C),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201109,26.57333333333333,37.3,21.75,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,2.93,5.270000000000001,1014.7766666666668,24.59333333333333,1010.6733333333333,24.140000000000004,5548,0,0,1,0,0,0,1,0
201110,19.348387096774193,31.064516129032263,14.222580645161296,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666668,1.664516129032258,4.574193548387097,1022.7064516129036,16.60645161290323,1018.0258064516127,15.077419354838712,7901,0,1,0,0,0,0,1,0
201111,14.693333333333335,41.96666666666667,10.68666666666667,60.37666666666666,3.746666666666667,2.7200000000000006,4.316666666666666,4.053333333333332,5.413333333333332,1025.4,12.086666666666664,1019.9466666666666,10.706666666666667,3413,0,1,0,0,0,1,0,0
201209,24.97666666666667,43.23333333333333,20.963333333333328,65.14999999999999,17.666666666666668,2.296666666666666,6.3599999999999985,4.000000000000001,5.003333333333333,1015.81,22.586666666666666,1010.9866666666666,21.806666666666665,3848,0,0,1,0,0,0,1,0
201210,20.503225806451614,31.903225806451612,15.348387096774195,58.17741935483871,11.033333333333333,2.283870967741936,7.593548387096777,2.229032258064516,4.935483870967742,1020.6064516129032,17.335483870967742,1015.6935483870967,15.364516129032257,7365,0,0,1,0,0,0,1,0
201211,9.516666666666664,36.833333333333336,5.540000000000001,57.24,4.52,2.72,6.036666666666667,3.0699999999999994,5.503333333333333,1022.6133333333332,8.423333333333332,1015.9833333333332,5.416666666666668,2561,0,1,0,0,0,1,0,0
201309,25.94333333333333,42.96666666666667,21.75333333333333,62.88666666666666,11.541666666666664,2.236666666666667,6.366666666666667,3.25,4.616666666666666,1016.8166666666667,23.86333333333333,1013.0966666666667,23.22000000000001,3916,0,0,1,0,0,0,1,0
201310,21.235483870967734,36.19354838709677,15.777419354838708,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,1.806451612903225,4.8096774193548395,1022.4387096774194,18.345161290322565,1017.958064516129,16.238709677419354,7139,0,0,1,0,0,0,1,0
201311,10.660000000000004,37.1,6.149999999999998,58.18666666666668,2.7529411764705887,2.7366666666666672,6.266666666666668,2.7299999999999995,5.683333333333334,1023.18,10.05,1016.83,6.683333333333333,3289,0,1,0,0,0,1,0,0
201409,26.98333333333334,44.9,22.063333333333336,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,2.89,4.5,1015.1666666666672,23.05333333333333,1011.2066666666666,23.750000000000004,4583,0,0,1,0,0,0,1,0
201410,21.416129032258066,38.709677419354854,15.635483870967743,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967742,2.3838709677419363,5.038709677419355,1022.2290322580644,17.354838709677427,1017.3580645161293,16.02258064516129,7077,0,0,1,0,0,0,1,0
201411,13.78666666666667,40.1,8.953333333333337,60.93333333333334,4.15,2.466666666666667,6.47,2.8833333333333333,5.1433333333333335,1024.35,10.533333333333337,1019.1466666666664,8.596666666666668,3662,0,1,0,0,0,1,0,0
201509,28.07666666666666,34.4,22.389999999999993,56.20666666666666,5.2,2.3033333333333332,8.736666666666666,2.233333333333333,4.806666666666667,1016.14,23.27333333333333,1011.76,23.75333333333333,4606,0,0,0,1,0,0,1,0
201510,21.21935483870968,33.32258064516129,15.506451612903225,60.35806451612903,11.642857142857142,2.3129032258064512,7.7322580645161265,1.8129032258064512,5.280645161290322,1021.1741935483876,17.629032258064516,1015.790322580645,16.0,5111,0,0,1,0,0,0,1,0
201511,12.739999999999998,53.8,8.900000000000002,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,4.3566666666666665,5.036666666666667,1026.1066666666666,11.403333333333334,1020.9033333333334,9.44,2927,0,1,0,0,0,1,0,0
201609,27.88999999999999,43.63333333333333,23.08333333333333,64.51333333333334,4.714285714285714,1.9633333333333336,6.386666666666668,3.1299999999999994,4.25,1014.9666666666667,23.25666666666667,1011.4266666666664,23.86333333333333,3815,0,0,0,1,0,0,0,1
201610,21.309677419354838,40.451612903225815,16.080645161290327,62.23225806451613,7.479999999999999,2.119354838709677,6.3129032258064495,2.8129032258064512,4.329032258064517,1022.0516129032255,18.274193548387093,1016.3677419354835,17.20967741935484,5253,0,0,1,0,0,0,1,0
201611,11.606666666666667,37.53333333333333,6.7733333333333325,56.77999999999998,1.04375,2.223333333333333,5.7766666666666655,3.6566666666666654,4.616666666666666,1026.3466666666668,10.910000000000002,1020.2266666666667,8.293333333333333,2915,0,1,0,0,0,1,0,0
201709,27.43333333333333,39.1,22.10333333333334,60.92999999999999,3.888888888888889,1.98,8.058620689655173,2.226666666666666,4.196666666666667,1015.05,23.53333333333333,1010.7466666666667,23.46,4342,0,0,1,0,0,0,1,0
201710,22.530000000000005,33.73333333333333,16.409677419354836,56.25806451612904,3.3125,1.9366666666666663,7.423333333333333,2.4967741935483883,4.276666666666666,1023.283870967742,18.923333333333336,1018.42,17.73,7923,0,0,1,0,0,0,1,0
201711,10.46,32.166666666666664,5.626666666666668,53.42666666666664,2.9071428571428566,2.0766666666666658,6.070370370370371,3.26,4.526666666666666,1025.8866666666663,10.62,1020.1233333333334,7.489999999999997,2852,0,1,0,0,0,1,0,0
