date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최저 기온(°C),평균 중기압(hPa),가조시간(hr),평균 이슬점온도(°C),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201101,-3.406451612903226,35.12903225806452,-7.183870967741936,53.8290322580645,1.1125,2.7967741935483867,7.048387096774192,-10.52258064516129,1.9838709677419355,9.906451612903227,-15.341935483870964,1747,1,0,0,0,1,0,0,0
201102,5.864285714285715,32.0,1.2214285714285713,55.228571428571435,9.7,2.5535714285714284,5.9499999999999975,-2.4607142857142863,3.7178571428571434,10.803571428571427,-7.639285714285713,1943,1,0,0,0,1,0,0,0
201112,2.851612903225808,31.677419354838708,-0.870967741935484,50.43870967741936,0.5916666666666667,2.6161290322580637,6.3096774193548395,-4.109677419354838,3.106451612903226,9.641935483870967,-10.48709677419355,1885,1,0,0,0,1,0,0,0
201201,1.338709677419355,30.548387096774192,-2.7870967741935484,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,-6.3,2.5709677419354837,9.903225806451612,-12.761290322580646,904,1,0,0,0,1,0,0,0
201202,2.96896551724138,23.62068965517241,-2.0448275862068965,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,-6.020689655172415,2.396551724137931,10.810344827586208,-13.8,796,1,0,0,0,1,0,0,0
201212,-0.5193548387096775,38.67741935483871,-4.119354838709678,57.0290322580645,3.1846153846153844,2.7258064516129035,6.2451612903225815,-7.390322580645162,2.8290322580645166,9.635483870967745,-11.81612903225806,1252,1,0,0,0,1,0,0,0
201301,0.3354838709677418,38.548387096774185,-3.4322580645161285,57.0774193548387,2.21,2.670967741935484,5.409677419354837,-6.587096774193549,3.0451612903225795,9.916129032258066,-11.093548387096767,1290,1,0,0,0,1,0,0,0
201302,2.775,30.285714285714285,-1.2392857142857143,53.62857142857143,5.700000000000001,2.8821428571428567,6.685714285714284,-4.917857142857144,3.207142857142857,10.821428571428573,-10.314285714285717,1494,1,0,0,0,1,0,0,0
201312,3.525806451612904,39.67741935483871,-0.18387096774193573,60.15161290322581,1.9,2.3935483870967738,5.9483870967741925,-3.4967741935483887,3.835483870967741,9.635483870967745,-7.296774193548387,706,1,0,0,0,1,0,0,0
201401,3.5419354838709682,29.48387096774193,-0.6774193548387096,50.07741935483869,1.181818181818182,2.4258064516129045,5.948387096774192,-4.867741935483873,3.058064516129033,9.90967741935484,-10.677419354838714,905,1,0,0,0,1,0,0,0
201402,6.6035714285714295,32.75,1.9285714285714288,51.98214285714285,2.3142857142857136,2.696428571428572,5.8535714285714295,-1.8107142857142864,3.7714285714285714,10.810714285714289,-7.7107142857142845,1026,1,0,0,0,1,0,0,0
201412,1.4967741935483871,36.709677419354854,-2.919354838709677,56.261290322580614,1.11875,2.8483870967741938,6.309677419354838,-6.7225806451612895,2.9387096774193537,9.635483870967745,-10.893548387096775,486,1,0,0,0,1,0,0,0
201501,3.583870967741936,37.61290322580645,-0.9354838709677418,56.364516129032275,1.4125,2.6483870967741923,6.235483870967737,-4.806451612903227,3.4290322580645154,9.906451612903227,-9.009677419354839,1754,1,0,0,0,1,0,0,0
201502,5.960714285714286,34.92857142857143,1.0428571428571425,58.94285714285714,2.8375,2.8678571428571433,6.428571428571429,-2.8857142857142857,4.071428571428571,10.803571428571427,-6.803571428571429,2821,1,0,0,0,1,0,0,0
201512,5.996774193548387,38.74193548387097,1.5935483870967744,59.864516129032246,2.645454545454545,2.3451612903225807,5.73548387096774,-2.1193548387096786,4.251612903225807,9.641935483870967,-5.909677419354838,2221,1,0,0,0,1,0,0,0
201601,1.125806451612903,33.064516129032256,-3.2000000000000006,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612903,-6.8096774193548395,2.829032258064516,9.906451612903227,-11.964516129032257,1544,1,0,0,0,1,0,0,0
201602,5.0758620689655185,30.724137931034484,0.19310344827586204,52.05172413793103,3.966666666666667,2.755172413793104,6.73103448275862,-4.075862068965519,3.5137931034482746,10.810344827586208,-9.4,1758,1,0,0,0,1,0,0,0
201612,5.8,40.096774193548384,1.2451612903225806,59.15806451612904,4.364285714285715,2.225806451612903,5.367741935483871,-2.670967741935484,4.2129032258064525,9.635483870967745,-6.3645161290322605,2406,1,0,0,0,1,0,0,0
201701,2.916129032258064,35.064516129032256,-1.829032258064516,54.60645161290322,1.1461538461538459,2.3,6.741935483870968,-5.767741935483871,3.170967741935484,9.919354838709678,-10.338709677419354,1659,1,0,0,0,1,0,0,0
201702,4.80357142857143,30.285714285714285,-0.2464285714285713,53.664285714285704,1.85,2.4464285714285707,7.5,-4.7571428571428624,3.3178571428571426,10.821428571428573,-9.178571428571429,1635,1,0,0,0,1,0,0,0
201712,2.1580645161290324,33.16129032258065,-1.9290322580645158,55.854838709677416,2.485714285714286,1.7827586206896548,5.680645161290323,-5.748387096774192,3.2806451612903222,9.635483870967745,-10.33870967741935,2583,1,0,0,0,1,0,0,0
201801,0.1419354838709677,28.935483870967737,-3.977419354838709,48.03225806451611,0.7727272727272727,1.870967741935484,6.43793103448276,-7.329032258064518,2.47741935483871,9.90967741935484,-13.941935483870967,1023,1,0,0,0,1,0,0,0
201802,3.2821428571428566,24.392857142857146,-1.6464285714285718,44.9142857142857,4.933333333333334,2.1785714285714284,7.192592592592592,-5.871428571428572,2.6214285714285714,10.810714285714289,-13.021428571428574,2141,1,0,0,0,1,0,0,0
