date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 중하층운량(10분위),최대 풍속(m/s),최고 해면 기압(hPa),평균 30cm 지중온도(°C),최저 해면기압(hPa),평균 5cm 지중온도(°C),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201101,1,-3.406451612903226,35.12903225806452,-7.183870967741936,53.8290322580645,1.1125,2.7967741935483867,7.048387096774192,1.761290322580645,5.5935483870967735,1029.7258064516127,-1.07741935483871,1024.9806451612903,-3.2612903225806464,736,4.0,1,0,0,0,1,0,0,0
201102,2,5.864285714285715,32.0,1.2214285714285713,55.228571428571435,9.7,2.5535714285714284,5.9499999999999975,2.0464285714285717,5.239285714285715,1024.5678571428568,0.35000000000000003,1019.3964285714287,0.5785714285714285,1730,4.0,1,0,0,0,1,0,0,0
201103,3,8.345161290322581,25.258064516129032,3.6161290322580646,51.11290322580646,2.085714285714286,3.4064516129032265,7.7483870967741915,1.977419354838709,6.87741935483871,1023.9258064516133,5.422580645161292,1018.841935483871,5.216129032258063,2085,1.0,0,1,0,0,0,1,0,0
201104,4,15.596666666666666,28.66666666666667,10.719999999999997,54.24,10.009090909090908,3.243333333333333,6.7366666666666655,2.87,6.650000000000001,1017.1266666666666,11.726666666666668,1011.48,12.206666666666665,5212,1.0,0,1,0,0,0,1,0,0
201105,5,22.98387096774193,32.16129032258065,17.925806451612907,56.41612903225806,4.107692307692306,2.832258064516129,5.819354838709677,2.783870967741936,6.23548387096774,1013.0354838709676,18.174193548387095,1008.5612903225807,19.396774193548385,6201,1.0,0,0,1,0,0,0,1,0
201106,6,26.576666666666664,46.23333333333333,21.97666666666667,66.56,20.225,2.923333333333334,5.6933333333333325,4.016666666666667,6.166666666666669,1008.9633333333336,23.33666666666668,1004.2966666666667,24.34,5840,2.0,0,0,1,0,0,0,1,0
201107,7,27.996774193548394,62.41935483870968,24.638709677419357,78.78709677419354,49.17391304347826,2.419354838709677,2.593548387096774,5.9709677419354845,5.219354838709679,1007.4774193548387,25.49677419354839,1003.8741935483873,26.045161290322586,2053,2.0,0,0,0,1,0,0,0,1
201108,8,29.451612903225808,56.29032258064516,25.77419354838709,74.33548387096774,8.34,2.52258064516129,3.032258064516129,5.387096774193549,5.193548387096773,1010.0258064516127,26.50967741935484,1006.5935483870967,26.85806451612904,3571,2.0,0,0,0,1,0,0,0,1
201109,9,26.57333333333333,37.3,21.75,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,2.93,5.270000000000001,1014.7766666666668,24.59333333333333,1010.6733333333333,24.140000000000004,5548,3.0,0,0,1,0,0,0,1,0
201110,10,19.348387096774193,31.064516129032263,14.222580645161296,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666668,1.664516129032258,4.574193548387097,1022.7064516129036,16.60645161290323,1018.0258064516127,15.077419354838712,7901,3.0,0,1,0,0,0,0,1,0
201111,11,14.693333333333335,41.96666666666667,10.68666666666667,60.37666666666666,3.746666666666667,2.7200000000000006,4.316666666666666,4.053333333333332,5.413333333333332,1025.4,12.086666666666664,1019.9466666666666,10.706666666666667,3413,3.0,0,1,0,0,0,1,0,0
201112,12,2.851612903225808,31.677419354838708,-0.870967741935484,50.43870967741936,0.5916666666666667,2.6161290322580637,6.3096774193548395,2.612903225806451,5.141935483870967,1030.1516129032261,3.093548387096774,1025.258064516129,0.8129032258064521,1823,4.0,1,0,0,0,1,0,0,0
201201,1,1.338709677419355,30.548387096774192,-2.7870967741935484,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,2.225806451612903,5.3419354838709685,1028.3483870967739,-0.1483870967741935,1023.8322580645159,-1.4903225806451612,1236,4.0,1,0,0,0,1,0,0,0
201202,2,2.96896551724138,23.62068965517241,-2.0448275862068965,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,1.3862068965517245,5.641379310344827,1026.7724137931034,-0.3241379310344829,1021.2620689655173,-0.8827586206896549,1273,4.0,1,0,0,0,1,0,0,0
201203,3,9.52258064516129,28.41935483870968,5.090322580645162,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,3.096774193548386,6.532258064516128,1022.851612903226,5.680645161290323,1016.5387096774195,5.848387096774192,2657,1.0,0,1,0,0,0,1,0,0
201204,4,17.886666666666674,30.13333333333333,12.34,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,2.41,6.94,1016.7133333333333,12.596666666666666,1009.4133333333334,13.38,4695,1.0,0,1,0,0,0,1,0,0
