date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),합계 소형증발량(mm),5.0cm 지중온도(°C),가조시간(hr),최대 순간풍속(m/s),평균 지면온도(°C),최대 풍속(m/s),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201101,-3.406451612903226,35.12903225806452,-7.183870967741936,53.8290322580645,1.1125,2.7967741935483867,7.048387096774192,1.2096774193548387,17.183870967741935,9.906451612903227,8.651612903225809,-4.693548387096771,5.5935483870967735,34551,1,0,0,0,1,0,0,0
201102,5.864285714285715,32.0,1.2214285714285713,55.228571428571435,9.7,2.5535714285714284,5.9499999999999975,1.8035714285714288,15.899999999999995,10.803571428571427,7.9071428571428575,1.6964285714285714,5.239285714285715,20934,1,0,0,0,1,0,0,0
201112,2.851612903225808,31.677419354838708,-0.870967741935484,50.43870967741936,0.5916666666666667,2.6161290322580637,6.3096774193548395,1.9516129032258067,18.190322580645173,9.641935483870967,8.116129032258067,-0.5387096774193549,5.141935483870967,19308,1,0,0,0,1,0,0,0
201201,1.338709677419355,30.548387096774192,-2.7870967741935484,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,2.103225806451613,17.14193548387097,9.903225806451612,8.196774193548388,-2.270967741935484,5.3419354838709685,29042,1,0,0,0,1,0,0,0
201202,2.96896551724138,23.62068965517241,-2.0448275862068965,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,2.7034482758620686,15.86206896551724,10.810344827586208,8.720689655172412,-0.7321428571428571,5.641379310344827,18713,1,0,0,0,1,0,0,0
201212,-0.5193548387096775,38.67741935483871,-4.119354838709678,57.0290322580645,3.1846153846153844,2.7258064516129035,6.2451612903225815,1.116129032258064,17.99032258064516,9.635483870967745,8.674193548387096,-1.890322580645161,5.5580645161290345,18881,1,0,0,0,1,0,0,0
201301,0.3354838709677418,38.548387096774185,-3.4322580645161285,57.0774193548387,2.21,2.670967741935484,5.409677419354837,1.5612903225806452,16.648387096774194,9.916129032258066,7.9548387096774205,-2.041935483870968,5.190322580645162,24092,1,0,0,0,1,0,0,0
201302,2.775,30.285714285714285,-1.2392857142857143,53.62857142857143,5.700000000000001,2.8821428571428567,6.685714285714284,1.7392857142857143,15.217857142857143,10.821428571428573,8.985714285714286,0.3642857142857143,5.703571428571428,13630,1,0,0,0,1,0,0,0
201312,3.525806451612904,39.67741935483871,-0.18387096774193573,60.15161290322581,1.9,2.3935483870967738,5.9483870967741925,1.3483870967741935,17.822580645161292,9.635483870967745,8.206451612903225,0.3967741935483876,5.22258064516129,23245,1,0,0,0,1,0,0,0
201401,3.5419354838709682,29.48387096774193,-0.6774193548387096,50.07741935483869,1.181818181818182,2.4258064516129045,5.948387096774192,1.4806451612903222,16.75483870967742,9.90967741935484,7.777419354838708,-0.9129032258064514,4.941935483870967,38632,1,0,0,0,1,0,0,0
201402,6.6035714285714295,32.75,1.9285714285714288,51.98214285714285,2.3142857142857136,2.696428571428572,5.8535714285714295,1.9464285714285712,15.51428571428571,10.810714285714289,8.096428571428572,2.1,5.1714285714285735,24261,1,0,0,0,1,0,0,0
201412,1.4967741935483871,36.709677419354854,-2.919354838709677,56.261290322580614,1.11875,2.8483870967741938,6.309677419354838,1.1225806451612903,17.693548387096776,9.635483870967745,9.399999999999997,-1.319354838709677,5.741935483870969,24527,1,0,0,0,1,0,0,0
201501,3.583870967741936,37.61290322580645,-0.9354838709677418,56.364516129032275,1.4125,2.6483870967741923,6.235483870967737,1.0903225806451613,16.78064516129032,9.906451612903227,8.132258064516128,-0.4258064516129031,5.196774193548388,44478,1,0,0,0,1,0,0,0
201502,5.960714285714286,34.92857142857143,1.0428571428571425,58.94285714285714,2.8375,2.8678571428571433,6.428571428571429,1.5428571428571427,15.546428571428569,10.803571428571427,9.089285714285714,1.9535714285714283,5.653571428571429,24157,1,0,0,0,1,0,0,0
201512,5.996774193548387,38.74193548387097,1.5935483870967744,59.864516129032246,2.645454545454545,2.3451612903225807,5.73548387096774,0.9903225806451614,17.649999999999995,9.641935483870967,7.716129032258066,2.190322580645162,4.680645161290324,22587,1,0,0,0,1,0,0,0
201601,1.125806451612903,33.064516129032256,-3.2000000000000006,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612903,1.2733333333333337,16.55483870967742,9.906451612903227,8.035483870967742,-1.4290322580645165,4.916129032258065,34358,1,0,0,0,1,0,0,0
201602,5.0758620689655185,30.724137931034484,0.19310344827586204,52.05172413793103,3.966666666666667,2.755172413793104,6.73103448275862,1.5655172413793106,15.355172413793099,10.810344827586208,9.555172413793104,1.1103448275862071,5.613793103448275,20210,1,0,0,0,1,0,0,0
201612,5.8,40.096774193548384,1.2451612903225806,59.15806451612904,4.364285714285715,2.225806451612903,5.367741935483871,1.6129032258064513,17.919354838709676,9.635483870967745,7.458064516129035,1.5870967741935482,4.541935483870968,20579,1,0,0,0,1,0,0,0
201701,2.916129032258064,35.064516129032256,-1.829032258064516,54.60645161290322,1.1461538461538459,2.3,6.741935483870968,1.6838709677419357,16.92903225806451,9.919354838709678,8.264516129032259,-0.7387096774193547,4.84516129032258,29396,1,0,0,0,1,0,0,0
201702,4.80357142857143,30.285714285714285,-0.2464285714285713,53.664285714285704,1.85,2.4464285714285707,7.5,2.253571428571429,15.682142857142859,10.821428571428573,8.439285714285715,0.975,5.035714285714286,28301,1,0,0,0,1,0,0,0
