date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 해면기압(hPa),5.0cm 지중온도(°C),최저 초상온도(°C),1시간 최다 일사량(MJ/m2),9-9강수(mm),최대 풍속(m/s),최저 기온(°C),평균 30cm 지중온도(°C),평균 5cm 지중온도(°C),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201109,26.57333333333333,37.3,21.75,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,1012.75,18.219999999999995,13.086666666666668,2.327999999999999,2.327272727272728,5.270000000000001,17.706666666666663,24.59333333333333,24.140000000000004,57239,0,0,1,0,0,0,1,0
201110,19.348387096774193,31.064516129032263,14.222580645161296,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666668,1020.3064516129036,18.732258064516124,4.029032258064516,1.9706666666666663,4.571428571428571,4.574193548387097,9.654838709677419,16.60645161290323,15.077419354838712,76839,0,1,0,0,0,0,1,0
201111,14.693333333333335,41.96666666666667,10.68666666666667,60.37666666666666,3.746666666666667,2.7200000000000006,4.316666666666666,1022.6933333333333,18.806666666666672,3.4833333333333334,1.1393333333333333,3.4875,5.413333333333332,7.163333333333335,12.086666666666664,10.706666666666667,112560,0,1,0,0,0,1,0,0
201209,24.97666666666667,43.23333333333333,20.963333333333328,65.14999999999999,17.666666666666668,2.296666666666666,6.3599999999999985,1013.47,18.693333333333328,14.216666666666667,1.9046666666666667,23.555555555555557,5.003333333333333,17.439999999999994,22.586666666666666,21.806666666666665,79396,0,0,1,0,0,0,1,0
201210,20.503225806451614,31.903225806451612,15.348387096774195,58.17741935483871,11.033333333333333,2.283870967741936,7.593548387096777,1018.1870967741936,19.246666666666673,6.493548387096772,1.9058064516129032,9.027272727272726,4.935483870967742,11.048387096774198,17.335483870967742,15.364516129032257,147860,0,0,1,0,0,0,1,0
201211,9.516666666666664,36.833333333333336,5.540000000000001,57.24,4.52,2.72,6.036666666666667,1019.2866666666664,18.883333333333336,-1.8066666666666669,1.369333333333333,4.52,5.503333333333333,1.76,8.423333333333332,5.416666666666668,120222,0,1,0,0,0,1,0,0
201309,25.94333333333333,42.96666666666667,21.75333333333333,62.88666666666666,11.541666666666664,2.236666666666667,6.366666666666667,1014.94,17.606666666666666,14.816666666666665,1.8513333333333333,11.541666666666664,4.616666666666666,18.003333333333334,23.86333333333333,23.22000000000001,312682,0,0,1,0,0,0,1,0
201310,21.235483870967734,36.19354838709677,15.777419354838708,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,1020.1612903225807,18.387096774193548,6.6258064516129025,1.912903225806452,1.6875,4.8096774193548395,10.903225806451614,18.345161290322565,16.238709677419354,27807,0,0,1,0,0,0,1,0
201311,10.660000000000004,37.1,6.149999999999998,58.18666666666668,2.7529411764705887,2.7366666666666672,6.266666666666668,1020.1633333333336,18.413333333333334,-1.49,1.431,3.12,5.683333333333334,2.109999999999999,10.05,6.683333333333333,73212,0,1,0,0,0,1,0,0
201409,26.98333333333334,44.9,22.063333333333336,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,1013.2066666666666,17.436666666666667,13.910000000000005,2.0383333333333336,8.809999999999997,4.5,18.043333333333333,23.05333333333333,23.750000000000004,48324,0,0,1,0,0,0,1,0
201410,21.416129032258066,38.709677419354854,15.635483870967743,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967742,1019.7354838709678,18.093548387096774,5.574193548387097,1.8793548387096768,5.8000000000000025,5.038709677419355,10.683870967741935,17.354838709677427,16.02258064516129,68245,0,0,1,0,0,0,1,0
201411,13.78666666666667,40.1,8.953333333333337,60.93333333333334,4.15,2.466666666666667,6.47,1021.5233333333333,18.176666666666673,-0.7733333333333335,1.4643333333333337,3.7818181818181817,5.1433333333333335,4.883333333333334,10.533333333333337,8.596666666666668,48920,0,1,0,0,0,1,0,0
201509,28.07666666666666,34.4,22.389999999999993,56.20666666666666,5.2,2.3033333333333332,8.736666666666666,1014.0000000000003,16.75,13.206666666666667,2.282,3.7857142857142856,4.806666666666667,17.516666666666662,23.27333333333333,23.75333333333333,50170,0,0,0,1,0,0,1,0
201510,21.21935483870968,33.32258064516129,15.506451612903225,60.35806451612903,11.642857142857142,2.3129032258064512,7.7322580645161265,1018.4096774193547,17.53870967741935,6.012903225806452,1.8603225806451609,11.571428571428573,5.280645161290322,10.780645161290321,17.629032258064516,16.0,91148,0,0,1,0,0,0,1,0
201511,12.739999999999998,53.8,8.900000000000002,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,1023.4166666666664,17.810000000000006,3.03,1.0946666666666671,6.9,5.036666666666667,5.866666666666665,11.403333333333334,9.44,84552,0,1,0,0,0,1,0,0
201609,27.88999999999999,43.63333333333333,23.08333333333333,64.51333333333334,4.714285714285714,1.9633333333333336,6.386666666666668,1013.16,17.206666666666667,17.136666666666667,1.961,4.714285714285714,4.25,19.256666666666668,23.25666666666667,23.86333333333333,103916,0,0,0,1,0,0,0,1
201610,21.309677419354838,40.451612903225815,16.080645161290327,62.23225806451613,7.479999999999999,2.119354838709677,6.3129032258064495,1019.2,18.012903225806454,8.774193548387098,1.7125806451612902,6.2333333333333325,4.329032258064517,11.619354838709679,18.274193548387093,17.20967741935484,82470,0,0,1,0,0,0,1,0
201611,11.606666666666667,37.53333333333333,6.7733333333333325,56.77999999999998,1.04375,2.223333333333333,5.7766666666666655,1023.2266666666667,18.300000000000008,-0.17000000000000065,1.401,1.2846153846153845,4.616666666666666,2.8233333333333337,10.910000000000002,8.293333333333333,53029,0,1,0,0,0,1,0,0
201709,27.43333333333333,39.1,22.10333333333334,60.92999999999999,3.888888888888889,1.98,8.058620689655173,1012.9666666666667,17.956666666666667,14.496666666666664,2.24,3.888888888888889,4.196666666666667,17.483333333333334,23.53333333333333,23.46,57779,0,0,1,0,0,0,1,0
