date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),합계 소형증발량(mm),5.0cm 지중온도(°C),가조시간(hr),최대 순간풍속(m/s),평균 지면온도(°C),최대 풍속(m/s),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201109,26.57333333333333,37.3,21.75,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,4.829999999999999,18.219999999999995,12.453333333333335,8.656666666666668,25.120000000000005,5.270000000000001,18775,0,0,1,0,0,0,1,0
201110,19.348387096774193,31.064516129032263,14.222580645161296,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666668,3.758064516129033,18.732258064516124,11.251612903225805,7.541935483870968,15.322580645161288,4.574193548387097,27909,0,1,0,0,0,0,1,0
201111,14.693333333333335,41.96666666666667,10.68666666666667,60.37666666666666,3.746666666666667,2.7200000000000006,4.316666666666666,2.1166666666666663,18.806666666666672,10.196666666666664,8.506666666666666,10.203333333333333,5.413333333333332,27599,0,1,0,0,0,1,0,0
201209,24.97666666666667,43.23333333333333,20.963333333333328,65.14999999999999,17.666666666666668,2.296666666666666,6.3599999999999985,3.8066666666666658,18.693333333333328,12.423333333333336,8.256666666666668,22.07333333333333,5.003333333333333,21241,0,0,1,0,0,0,1,0
201210,20.503225806451614,31.903225806451612,15.348387096774195,58.17741935483871,11.033333333333333,2.283870967741936,7.593548387096777,3.2354838709677414,19.246666666666673,11.22258064516129,7.8741935483870975,16.158064516129038,4.935483870967742,25009,0,0,1,0,0,0,1,0
201211,9.516666666666664,36.833333333333336,5.540000000000001,57.24,4.52,2.72,6.036666666666667,1.9,18.883333333333336,10.176666666666666,9.263333333333334,5.306666666666667,5.503333333333333,31214,0,1,0,0,0,1,0,0
201309,25.94333333333333,42.96666666666667,21.75333333333333,62.88666666666666,11.541666666666664,2.236666666666667,6.366666666666667,3.6433333333333318,17.606666666666666,12.430000000000005,7.63,24.12,4.616666666666666,23766,0,0,1,0,0,0,1,0
201310,21.235483870967734,36.19354838709677,15.777419354838708,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,3.1,18.387096774193548,11.229032258064514,8.035483870967742,16.41935483870968,4.8096774193548395,24073,0,0,1,0,0,0,1,0
201311,10.660000000000004,37.1,6.149999999999998,58.18666666666668,2.7529411764705887,2.7366666666666672,6.266666666666668,2.0,18.413333333333334,10.179999999999998,9.259999999999998,5.7733333333333325,5.683333333333334,33703,0,1,0,0,0,1,0,0
201409,26.98333333333334,44.9,22.063333333333336,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,2.9733333333333323,17.436666666666667,12.44,7.386666666666668,24.87333333333333,4.5,22734,0,0,1,0,0,0,1,0
201410,21.416129032258066,38.709677419354854,15.635483870967743,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967742,2.580645161290323,18.093548387096774,11.238709677419353,8.290322580645162,16.79354838709677,5.038709677419355,26868,0,0,1,0,0,0,1,0
201411,13.78666666666667,40.1,8.953333333333337,60.93333333333334,4.15,2.466666666666667,6.47,1.4599999999999995,18.176666666666673,10.183333333333332,8.403333333333332,8.49,5.1433333333333335,33254,0,1,0,0,0,1,0,0
201509,28.07666666666666,34.4,22.389999999999993,56.20666666666666,5.2,2.3033333333333332,8.736666666666666,3.840000000000001,16.75,12.45,8.336666666666668,25.100000000000005,4.806666666666667,21641,0,0,0,1,0,0,1,0
201510,21.21935483870968,33.32258064516129,15.506451612903225,60.35806451612903,11.642857142857142,2.3129032258064512,7.7322580645161265,2.709677419354838,17.53870967741935,11.251612903225805,8.719354838709675,16.283870967741937,5.280645161290322,27564,0,0,1,0,0,0,1,0
201511,12.739999999999998,53.8,8.900000000000002,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,0.9233333333333332,17.810000000000006,10.193333333333333,7.960000000000003,9.490000000000002,5.036666666666667,27430,0,1,0,0,0,1,0,0
201609,27.88999999999999,43.63333333333333,23.08333333333333,64.51333333333334,4.714285714285714,1.9633333333333336,6.386666666666668,4.263333333333334,17.206666666666667,12.423333333333336,7.456666666666666,24.85333333333334,4.25,22388,0,0,0,1,0,0,0,1
201610,21.309677419354838,40.451612903225815,16.080645161290327,62.23225806451613,7.479999999999999,2.119354838709677,6.3129032258064495,3.4322580645161302,18.012903225806454,11.219354838709677,7.65483870967742,16.996774193548383,4.329032258064517,26965,0,0,1,0,0,0,1,0
201611,11.606666666666667,37.53333333333333,6.7733333333333325,56.77999999999998,1.04375,2.223333333333333,5.7766666666666655,2.32,18.300000000000008,10.176666666666666,7.696666666666667,7.239999999999997,4.616666666666666,24905,0,1,0,0,0,1,0,0
201709,27.43333333333333,39.1,22.10333333333334,60.92999999999999,3.888888888888889,1.98,8.058620689655173,5.0793103448275865,17.956666666666667,12.42666666666667,7.38,24.230000000000004,4.196666666666667,0,0,0,1,0,0,0,1,0
201710,22.530000000000005,33.73333333333333,16.409677419354836,56.25806451612904,3.3125,1.9366666666666663,7.423333333333333,3.0516129032258066,18.519354838709692,11.229032258064514,7.69,16.812903225806455,4.276666666666666,33587,0,0,1,0,0,0,1,0
201711,10.46,32.166666666666664,5.626666666666668,53.42666666666664,2.9071428571428566,2.0766666666666658,6.070370370370371,1.9965517241379311,18.63333333333334,10.179999999999998,8.243333333333332,5.4300000000000015,4.526666666666666,28265,0,1,0,0,0,1,0,0
201809,26.04,38.9,21.496666666666666,60.66,5.708333333333332,1.5633333333333332,7.290000000000001,4.83,17.30666666666667,12.44,7.5233333333333325,23.469999999999995,3.450000000000001,27073,0,0,1,0,0,0,1,0
201810,18.61290322580645,34.354838709677416,13.05483870967742,59.348387096774175,10.954545454545457,1.5451612903225809,7.8032258064516125,3.5193548387096767,18.245161290322574,11.238709677419353,7.6,14.009677419354839,3.829032258064516,25472,0,1,0,0,0,1,0,0
201811,13.153333333333334,32.73333333333333,7.793333333333335,57.47999999999999,8.78888888888889,1.3966666666666665,5.92,2.37,18.383333333333333,10.183333333333332,6.613333333333332,7.086666666666668,3.4966666666666675,23078,0,1,0,0,0,1,0,0
