date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),합계 소형증발량(mm),최저 초상온도(°C),최다 풍향(16방위),9-9강수(mm),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201109,26.57333333333333,37.3,21.75,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,4.829999999999999,13.086666666666668,146.66666666666666,2.327272727272728,217701,0,0,1,0,0,0,1,0
201110,19.348387096774193,31.064516129032263,14.222580645161296,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666668,3.758064516129033,4.029032258064516,157.74193548387098,4.571428571428571,204315,0,1,0,0,0,0,1,0
201111,14.693333333333335,41.96666666666667,10.68666666666667,60.37666666666666,3.746666666666667,2.7200000000000006,4.316666666666666,2.1166666666666663,3.4833333333333334,152.33333333333334,3.4875,145349,0,1,0,0,0,1,0,0
201209,24.97666666666667,43.23333333333333,20.963333333333328,65.14999999999999,17.666666666666668,2.296666666666666,6.3599999999999985,3.8066666666666658,14.216666666666667,133.33333333333334,23.555555555555557,174729,0,0,1,0,0,0,1,0
201210,20.503225806451614,31.903225806451612,15.348387096774195,58.17741935483871,11.033333333333333,2.283870967741936,7.593548387096777,3.2354838709677414,6.493548387096772,163.22580645161293,9.027272727272726,206433,0,0,1,0,0,0,1,0
201211,9.516666666666664,36.833333333333336,5.540000000000001,57.24,4.52,2.72,6.036666666666667,1.9,-1.8066666666666669,182.0,4.52,122411,0,1,0,0,0,1,0,0
201309,25.94333333333333,42.96666666666667,21.75333333333333,62.88666666666666,11.541666666666664,2.236666666666667,6.366666666666667,3.6433333333333318,14.816666666666665,154.66666666666666,11.541666666666664,219029,0,0,1,0,0,0,1,0
201310,21.235483870967734,36.19354838709677,15.777419354838708,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,3.1,6.6258064516129025,128.06451612903226,1.6875,183079,0,0,1,0,0,0,1,0
201311,10.660000000000004,37.1,6.149999999999998,58.18666666666668,2.7529411764705887,2.7366666666666672,6.266666666666668,2.0,-1.49,180.66666666666663,3.12,126488,0,1,0,0,0,1,0,0
201409,26.98333333333334,44.9,22.063333333333336,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,2.9733333333333323,13.910000000000005,130.33333333333334,8.809999999999997,149147,0,0,1,0,0,0,1,0
201410,21.416129032258066,38.709677419354854,15.635483870967743,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967742,2.580645161290323,5.574193548387097,106.77419354838707,5.8000000000000025,143155,0,0,1,0,0,0,1,0
201411,13.78666666666667,40.1,8.953333333333337,60.93333333333334,4.15,2.466666666666667,6.47,1.4599999999999995,-0.7733333333333335,155.66666666666666,3.7818181818181817,99744,0,1,0,0,0,1,0,0
201509,28.07666666666666,34.4,22.389999999999993,56.20666666666666,5.2,2.3033333333333332,8.736666666666666,3.840000000000001,13.206666666666667,126.0,3.7857142857142856,115994,0,0,0,1,0,0,1,0
201510,21.21935483870968,33.32258064516129,15.506451612903225,60.35806451612903,11.642857142857142,2.3129032258064512,7.7322580645161265,2.709677419354838,6.012903225806452,192.90322580645162,11.571428571428573,109098,0,0,1,0,0,0,1,0
