date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 중기압(hPa),최다 풍향(16방위),최저 해면기압(hPa),최대 순간풍속 풍향(16방위),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201103,8.345161290322581,25.258064516129032,3.6161290322580646,51.11290322580646,2.085714285714286,3.4064516129032265,7.7483870967741915,4.103225806451613,246.45161290322585,1018.841935483871,247.09677419354838,184565,0,1,0,0,0,1,0,0
201104,15.596666666666666,28.66666666666667,10.719999999999997,54.24,10.009090909090908,3.243333333333333,6.7366666666666655,6.7666666666666675,226.0,1011.48,235.66666666666663,240861,0,1,0,0,0,1,0,0
201105,22.98387096774193,32.16129032258065,17.925806451612907,56.41612903225806,4.107692307692306,2.832258064516129,5.819354838709677,11.103225806451613,156.1290322580645,1008.5612903225807,220.0,307969,0,0,1,0,0,0,1,0
201203,9.52258064516129,28.41935483870968,5.090322580645162,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,4.635483870967741,210.0,1016.5387096774195,217.09677419354838,154580,0,1,0,0,0,1,0,0
201204,17.886666666666674,30.13333333333333,12.34,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,7.739999999999997,200.66666666666663,1009.4133333333334,223.33333333333331,215851,0,1,0,0,0,1,0,0
201205,25.1483870967742,26.838709677419356,19.73225806451613,48.23225806451613,0.82,2.6516129032258067,8.106451612903228,10.580645161290322,187.41935483870967,1008.8290322580646,203.54838709677415,306757,0,0,1,0,0,0,1,0
201303,10.83548387096774,25.258064516129032,5.135483870967743,49.1741935483871,3.4125,3.032258064516129,8.267741935483869,4.345161290322581,226.7741935483871,1014.0322580645164,250.0,196436,0,1,0,0,0,1,0,0
201304,14.98,28.36666666666667,10.006666666666666,53.97666666666667,4.78,3.4266666666666663,7.1066666666666665,6.5166666666666675,198.66666666666663,1009.81,235.66666666666663,226614,0,1,0,0,0,1,0,0
201305,23.58709677419355,35.87096774193548,18.22258064516129,57.783870967741926,12.0,2.9,7.6806451612903235,11.62258064516129,225.4838709677419,1009.1064516129032,211.9354838709677,296370,0,0,1,0,0,0,1,0
201403,13.058064516129033,33.03225806451613,7.890322580645161,59.83548387096774,0.5538461538461539,3.0290322580645164,6.925806451612903,6.738709677419355,229.67741935483872,1016.8064516129036,217.74193548387098,172398,0,1,0,0,0,1,0,0
201404,19.63666666666666,36.03333333333333,13.963333333333335,59.87333333333333,4.428571428571429,2.8233333333333333,7.106666666666667,9.23,197.33333333333331,1014.7466666666664,227.66666666666663,196802,0,1,0,0,0,1,0,0
201405,25.251612903225798,32.83870967741935,18.945161290322574,59.058064516129036,7.0,3.2032258064516133,9.806451612903226,12.619354838709679,234.83870967741936,1007.6451612903224,238.06451612903226,338536,0,0,1,0,0,0,1,0
201503,12.44516129032258,22.35483870967742,6.290322580645161,45.1741935483871,1.6,3.0838709677419347,8.735483870967744,4.422580645161291,232.25806451612902,1018.483870967742,250.96774193548384,165430,0,1,0,0,0,1,0,0
201504,18.826666666666664,32.23333333333333,13.326666666666664,54.38666666666665,5.03125,3.12,7.1999999999999975,7.99,149.33333333333334,1012.8233333333336,188.33333333333331,205569,0,1,0,0,0,1,0,0
201505,24.887096774193548,30.35483870967742,18.883870967741935,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483872,10.958064516129033,231.29032258064515,1006.9677419354836,255.4838709677419,260240,0,0,1,0,0,0,1,0
201603,12.612903225806456,28.22580645161291,7.04516129032258,51.01612903225804,6.750000000000001,2.441935483870968,8.183870967741933,5.177419354838709,260.64516129032256,1019.2,294.83870967741933,162000,0,1,0,0,0,1,0,0
201604,20.316666666666666,30.53333333333333,14.066666666666665,54.75666666666665,6.9818181818181815,2.4200000000000004,7.316666666666667,8.313333333333334,241.0,1009.5733333333328,246.66666666666663,200794,0,0,1,0,0,0,1,0
201605,25.68709677419355,31.22580645161291,19.55806451612904,56.21935483870967,14.590909090909092,2.367741935483872,9.035483870967745,11.970967741935489,221.29032258064515,1008.1806451612906,250.32258064516128,293244,0,0,1,0,0,0,1,0
201703,12.309677419354838,25.12903225806452,6.325806451612903,48.1032258064516,0.9875,2.367741935483872,8.23225806451613,4.490322580645162,226.1290322580645,1017.1290322580646,262.258064516129,229109,0,1,0,0,0,1,0,0
201704,19.95,27.66666666666667,13.933333333333335,52.37333333333334,6.16,2.55,8.656666666666665,7.986666666666667,212.33333333333331,1009.8899999999996,225.0,235668,0,0,1,0,0,1,0,0
201705,25.435483870967737,30.41935483870968,19.490322580645163,52.287096774193536,2.3000000000000003,2.4290322580645163,9.725806451612904,11.445161290322584,250.96774193548384,1009.6451612903224,249.03225806451616,260195,0,0,1,0,0,0,1,0
201803,13.596774193548393,33.67741935483871,8.080645161290322,59.20645161290322,4.95,1.9193548387096784,6.7451612903225815,6.606451612903228,215.4838709677419,1017.2709677419356,231.61290322580646,157178,0,1,0,0,0,1,0,0
201804,18.51333333333333,29.83333333333333,12.986666666666665,54.63,11.845454545454546,2.0033333333333334,7.446666666666667,7.9700000000000015,215.0,1012.9400000000003,264.6666666666667,152146,0,1,0,0,0,1,0,0
201805,23.29032258064517,40.87096774193548,18.167741935483875,63.435483870967744,15.857142857142858,1.7193548387096769,7.470967741935484,13.090322580645163,220.32258064516128,1008.8741935483873,234.5161290322581,300711,0,0,1,0,0,0,1,0
201903,12.445161290322584,25.838709677419356,7.0935483870967735,51.303225806451614,2.68,2.0870967741935478,6.574193548387097,5.10967741935484,240.96774193548384,1013.9580645161293,260.96774193548384,165737,0,1,0,0,0,1,0,0
201904,17.639999999999993,27.36666666666667,12.12,50.94333333333334,3.6384615384615375,1.8766666666666665,7.386666666666668,7.17,227.66666666666663,1012.51,216.66666666666663,164391,0,1,0,0,0,1,0,0
201905,25.64193548387097,24.77419354838709,19.41935483870968,46.48709677419353,5.4,2.0580645161290323,10.129032258064516,10.154838709677415,243.2258064516129,1009.1774193548387,246.7741935483871,307561,0,0,1,0,0,0,1,0
