date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),합계 소형증발량(mm),최저 초상온도(°C),최다 풍향(16방위),9-9강수(mm),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201103,8.345161290322581,25.258064516129032,3.6161290322580646,51.11290322580646,2.085714285714286,3.4064516129032265,7.7483870967741915,2.958064516129032,-5.0064516129032235,246.45161290322585,1.5375,105735,0,1,0,0,0,1,0,0
201104,15.596666666666666,28.66666666666667,10.719999999999997,54.24,10.009090909090908,3.243333333333333,6.7366666666666655,3.7566666666666673,1.1166666666666667,226.0,7.346666666666668,176991,0,1,0,0,0,1,0,0
201105,22.98387096774193,32.16129032258065,17.925806451612907,56.41612903225806,4.107692307692306,2.832258064516129,5.819354838709677,4.3419354838709685,8.935483870967742,156.1290322580645,5.2785714285714285,188983,0,0,1,0,0,0,1,0
201203,9.52258064516129,28.41935483870968,5.090322580645162,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,2.770967741935485,-2.267741935483872,210.0,3.3857142857142857,115029,0,1,0,0,0,1,0,0
201204,17.886666666666674,30.13333333333333,12.34,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,4.406666666666667,3.8533333333333335,200.66666666666663,15.7,215338,0,1,0,0,0,1,0,0
201205,25.1483870967742,26.838709677419356,19.73225806451613,48.23225806451613,0.82,2.6516129032258067,8.106451612903228,6.022580645161291,10.687096774193547,187.41935483870967,0.9111111111111108,219653,0,0,1,0,0,0,1,0
201303,10.83548387096774,25.258064516129032,5.135483870967743,49.1741935483871,3.4125,3.032258064516129,8.267741935483869,3.1193548387096763,-2.674193548387097,226.7741935483871,3.4714285714285715,108698,0,1,0,0,0,1,0,0
201304,14.98,28.36666666666667,10.006666666666666,53.97666666666667,4.78,3.4266666666666663,7.1066666666666665,3.7033333333333336,2.806666666666666,198.66666666666663,3.983333333333333,167888,0,1,0,0,0,1,0,0
201305,23.58709677419355,35.87096774193548,18.22258064516129,57.783870967741926,12.0,2.9,7.6806451612903235,4.612903225806452,10.516129032258062,225.4838709677419,11.0,168253,0,0,1,0,0,0,1,0
201403,13.058064516129033,33.03225806451613,7.890322580645161,59.83548387096774,0.5538461538461539,3.0290322580645164,6.925806451612903,3.0741935483870964,0.2290322580645156,229.67741935483872,0.6,172551,0,1,0,0,0,1,0,0
201404,19.63666666666666,36.03333333333333,13.963333333333335,59.87333333333333,4.428571428571429,2.8233333333333333,7.106666666666667,3.31,5.69,197.33333333333331,3.875,126086,0,1,0,0,0,1,0,0
201405,25.251612903225798,32.83870967741935,18.945161290322574,59.058064516129036,7.0,3.2032258064516133,9.806451612903226,4.693548387096773,10.25483870967742,234.83870967741936,9.0,132166,0,0,1,0,0,0,1,0
201503,12.44516129032258,22.35483870967742,6.290322580645161,45.1741935483871,1.6,3.0838709677419347,8.735483870967744,2.8193548387096787,-4.496774193548388,232.25806451612902,2.0166666666666666,82641,0,1,0,0,0,1,0,0
201504,18.826666666666664,32.23333333333333,13.326666666666664,54.38666666666665,5.03125,3.12,7.1999999999999975,3.4933333333333327,4.7,149.33333333333334,6.0,122688,0,1,0,0,0,1,0,0
201505,24.887096774193548,30.35483870967742,18.883870967741935,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483872,4.8161290322580665,9.738709677419354,231.29032258064515,3.6125,117960,0,0,1,0,0,0,1,0
201603,12.612903225806456,28.22580645161291,7.04516129032258,51.01612903225804,6.750000000000001,2.441935483870968,8.183870967741933,2.677419354838709,-1.5419354838709671,260.64516129032256,6.750000000000001,62225,0,1,0,0,0,1,0,0
201604,20.316666666666666,30.53333333333333,14.066666666666665,54.75666666666665,6.9818181818181815,2.4200000000000004,7.316666666666667,3.2466666666666675,5.253333333333333,241.0,6.9818181818181815,107727,0,0,1,0,0,0,1,0
201605,25.68709677419355,31.22580645161291,19.55806451612904,56.21935483870967,14.590909090909092,2.367741935483872,9.035483870967745,4.216129032258065,10.829032258064515,221.29032258064515,14.590909090909092,102595,0,0,1,0,0,0,1,0
201703,12.309677419354838,25.12903225806452,6.325806451612903,48.1032258064516,0.9875,2.367741935483872,8.23225806451613,3.770967741935484,-2.706451612903225,226.1290322580645,0.9875,59487,0,1,0,0,0,1,0,0
201704,19.95,27.66666666666667,13.933333333333335,52.37333333333334,6.16,2.55,8.656666666666665,5.526666666666667,5.23,212.33333333333331,6.16,97634,0,0,1,0,0,1,0,0
201705,25.435483870967737,30.41935483870968,19.490322580645163,52.287096774193536,2.3000000000000003,2.4290322580645163,9.725806451612904,6.945161290322582,10.309677419354838,250.96774193548384,2.6833333333333336,91142,0,0,1,0,0,0,1,0
201803,13.596774193548393,33.67741935483871,8.080645161290322,59.20645161290322,4.95,1.9193548387096784,6.7451612903225815,3.4580645161290327,-0.3806451612903223,215.4838709677419,4.9,98111,0,1,0,0,0,1,0,0
201804,18.51333333333333,29.83333333333333,12.986666666666665,54.63,11.845454545454546,2.0033333333333334,7.446666666666667,5.043333333333334,3.2366666666666664,215.0,10.858333333333334,137384,0,1,0,0,0,1,0,0
201805,23.29032258064517,40.87096774193548,18.167741935483875,63.435483870967744,15.857142857142858,1.7193548387096769,7.470967741935484,5.141935483870966,10.051612903225807,220.32258064516128,17.076923076923073,147457,0,0,1,0,0,0,1,0
201903,12.445161290322584,25.838709677419356,7.0935483870967735,51.303225806451614,2.68,2.0870967741935478,6.574193548387097,3.5225806451612898,-2.5935483870967757,240.96774193548384,2.9777777777777783,91944,0,1,0,0,0,1,0,0
201904,17.639999999999993,27.36666666666667,12.12,50.94333333333334,3.6384615384615375,1.8766666666666665,7.386666666666668,4.9300000000000015,1.6166666666666667,227.66666666666663,3.941666666666667,156504,0,1,0,0,0,1,0,0
201905,25.64193548387097,24.77419354838709,19.41935483870968,46.48709677419353,5.4,2.0580645161290323,10.129032258064516,7.422580645161287,8.19032258064516,243.2258064516129,5.4,155493,0,0,1,0,0,0,1,0
