date,평균 기온(°C),최다 풍향(16방위),일강수량(mm),합계 일조 시간(hr),9-9강수(mm),평균 전운량(10분위),합계 소형증발량(mm),최저 해면기압 시각(hhmi),최저 기온 시각(hhmi),열지수,평균 10cm 지중온도(°C),평균 상대습도(%),최대 순간풍속 시각(hhmi),최소 상대습도(%),풍정합(100m),최고 기온 시각(hhmi),평균 20cm 지중온도(°C),합계 일사량(MJ/m2),target,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201109,21.75,146.66666666666666,3.2,6.013333333333334,2.327272727272728,4.466666666666667,4.829999999999999,1158.8,949.6333333333333,65,24.36,58.23666666666666,1413.033333333333,37.3,2112.0666666666666,1379.7,24.22666666666667,14.979666666666667,437683,0,0,1,0
201110,14.222580645161296,157.74193548387098,5.333333333333333,7.176666666666668,4.571428571428571,3.8064516129032255,3.758064516129033,1282.1935483870966,892.9354838709677,51,15.603225806451617,54.503225806451596,1458.9032258064515,31.064516129032263,1850.166666666667,1353.7096774193546,15.861290322580645,12.142999999999995,518742,0,0,1,0
201111,10.68666666666667,152.33333333333334,3.746666666666667,4.316666666666666,3.4875,6.043333333333335,2.1166666666666663,1238.7333333333333,955.6333333333333,43,11.060000000000004,60.37666666666666,1384.333333333333,41.96666666666667,2349.833333333333,1179.9666666666667,11.323333333333332,6.327666666666665,304318,0,1,0,0
201209,20.963333333333328,133.33333333333334,17.666666666666668,6.3599999999999985,23.555555555555557,5.620000000000001,3.8066666666666658,1130.4,859.9,63,22.106666666666666,65.14999999999999,1395.6333333333334,43.23333333333333,1987.833333333333,1321.2,22.2,11.876,296957,0,0,1,0
201210,15.348387096774195,163.22580645161293,11.033333333333333,7.593548387096777,9.027272727272726,3.603225806451613,3.2354838709677414,1165.8064516129034,1006.1612903225806,53,16.04666666666666,58.17741935483871,1406.0967741935485,31.903225806451612,1971.8064516129032,1408.645161290323,16.680645161290325,11.277419354838711,520733,0,0,1,0
201211,5.540000000000001,182.0,4.52,6.036666666666667,4.52,4.536666666666665,1.9,1137.9666666666667,1148.6333333333334,32,6.39,57.24,1274.0,36.833333333333336,2340.133333333333,1319.8,7.340000000000002,7.6196666666666655,192476,0,1,0,0
201309,21.75333333333333,154.66666666666666,11.541666666666664,6.366666666666667,11.541666666666664,5.536666666666666,3.6433333333333318,1073.2666666666667,986.8,65,23.10666666666668,62.88666666666666,1456.833333333333,42.96666666666667,1933.7333333333331,1464.833333333333,23.45666666666667,12.294000000000002,319869,0,0,1,0
201310,15.777419354838708,128.06451612903226,2.7,8.061290322580643,1.6875,2.854838709677419,3.1,1318.8709677419354,896.2258064516127,54,16.538709677419355,58.36451612903224,1215.8709677419354,36.19354838709677,2137.0967741935488,1301.0645161290322,17.306666666666665,12.025483870967742,385056,0,0,1,0
201311,6.149999999999998,180.66666666666663,2.7529411764705887,6.266666666666668,3.12,3.913333333333333,2.0,1178.6,1008.1333333333333,33,7.1800000000000015,58.18666666666668,1291.5666666666666,37.1,2368.7,1246.5333333333333,8.346666666666666,7.798000000000001,211840,0,1,0,0
201409,22.063333333333336,130.33333333333334,9.788888888888888,7.1433333333333335,8.809999999999997,4.9300000000000015,2.9733333333333323,1340.3333333333333,832.0333333333333,65,23.72666666666667,68.5,1426.3,44.9,1792.5666666666666,1418.3666666666666,23.94333333333334,12.951999999999995,393644,0,0,1,0
201410,15.635483870967743,106.77419354838707,8.700000000000001,7.735483870967742,5.8000000000000025,3.3193548387096774,2.580645161290323,1296.451612903226,946.1935483870967,54,16.50967741935484,63.15806451612902,1384.3225806451612,38.709677419354854,2102.548387096774,1330.258064516129,17.261290322580646,11.68741935483871,468796,0,0,1,0
201411,8.953333333333337,155.66666666666666,4.15,6.47,3.7818181818181817,4.3,1.4599999999999995,1180.8333333333333,935.0333333333333,40,9.13,60.93333333333334,1341.4333333333334,40.1,2131.433333333333,1324.7333333333333,10.026666666666666,8.342,288936,0,1,0,0
201509,22.389999999999993,126.0,5.2,8.736666666666666,3.7857142857142856,3.8466666666666662,3.840000000000001,1357.1,732.8666666666667,66,23.79333333333333,56.20666666666666,1451.1333333333334,34.4,1998.033333333333,1388.2333333333331,23.95,15.290999999999999,387816,0,0,1,0
201510,15.506451612903225,192.90322580645162,11.642857142857142,7.7322580645161265,11.571428571428573,2.841935483870968,2.709677419354838,1157.967741935484,855.8709677419354,53,16.561290322580646,60.35806451612903,1455.838709677419,33.32258064516129,2006.8709677419354,1403.4193548387098,17.580645161290324,11.586129032258064,403641,0,0,1,0
201511,8.900000000000002,152.66666666666666,6.973333333333333,3.6333333333333337,6.9,6.553333333333333,0.9233333333333332,1123.9333333333334,986.7,39,10.023333333333337,73.28333333333332,1271.7666666666667,53.8,2298.5666666666666,1360.6,11.066666666666665,5.930999999999999,219760,0,1,0,0
201609,23.08333333333333,121.66666666666669,4.714285714285714,6.386666666666668,4.714285714285714,5.7600000000000025,4.263333333333334,1207.7333333333333,741.1,67,23.79333333333334,64.51333333333334,1224.5333333333333,43.63333333333333,1691.2666666666669,1429.2666666666669,23.80333333333333,12.364000000000004,360920,0,0,0,1
201610,16.080645161290327,150.6451612903226,7.479999999999999,6.3129032258064495,6.2333333333333325,5.280645161290323,3.4322580645161302,1190.967741935484,1066.0645161290322,54,17.612903225806452,62.23225806451613,1191.9032258064515,40.451612903225815,1833.354838709677,1423.967741935484,18.27096774193549,10.26258064516129,512873,0,0,1,0
