date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 중기압(hPa),최다 풍향(16방위),최저 해면기압(hPa),최대 순간풍속 풍향(16방위),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201101,-3.406451612903226,35.12903225806452,-7.183870967741936,53.8290322580645,1.1125,2.7967741935483867,7.048387096774192,1.9838709677419355,229.35483870967738,1024.9806451612903,279.67741935483866,260272,1,0,0,0,1,0,0,0
201102,5.864285714285715,32.0,1.2214285714285713,55.228571428571435,9.7,2.5535714285714284,5.9499999999999975,3.7178571428571434,190.35714285714286,1019.3964285714287,230.7142857142857,224691,1,0,0,0,1,0,0,0
201112,2.851612903225808,31.677419354838708,-0.870967741935484,50.43870967741936,0.5916666666666667,2.6161290322580637,6.3096774193548395,3.106451612903226,205.80645161290332,1025.258064516129,233.2258064516129,233828,1,0,0,0,1,0,0,0
201201,1.338709677419355,30.548387096774192,-2.7870967741935484,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,2.5709677419354837,215.80645161290332,1023.8322580645159,262.5806451612903,229035,1,0,0,0,1,0,0,0
201202,2.96896551724138,23.62068965517241,-2.0448275862068965,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,2.396551724137931,201.72413793103448,1021.2620689655173,255.5172413793104,161943,1,0,0,0,1,0,0,0
201212,-0.5193548387096775,38.67741935483871,-4.119354838709678,57.0290322580645,3.1846153846153844,2.7258064516129035,6.2451612903225815,2.8290322580645166,183.2258064516129,1021.4129032258064,238.38709677419362,227077,1,0,0,0,1,0,0,0
201301,0.3354838709677418,38.548387096774185,-3.4322580645161285,57.0774193548387,2.21,2.670967741935484,5.409677419354837,3.0451612903225795,198.06451612903226,1023.9129032258064,215.4838709677419,233169,1,0,0,0,1,0,0,0
201302,2.775,30.285714285714285,-1.2392857142857143,53.62857142857143,5.700000000000001,2.8821428571428567,6.685714285714284,3.207142857142857,220.35714285714286,1021.9857142857144,241.07142857142856,192802,1,0,0,0,1,0,0,0
201312,3.525806451612904,39.67741935483871,-0.18387096774193573,60.15161290322581,1.9,2.3935483870967738,5.9483870967741925,3.835483870967741,180.64516129032262,1019.583870967742,245.4838709677419,286992,1,0,0,0,1,0,0,0
201401,3.5419354838709682,29.48387096774193,-0.6774193548387096,50.07741935483869,1.181818181818182,2.4258064516129045,5.948387096774192,3.058064516129033,200.0,1022.4935483870967,258.06451612903226,333749,1,0,0,0,1,0,0,0
201402,6.6035714285714295,32.75,1.9285714285714288,51.98214285714285,2.3142857142857136,2.696428571428572,5.8535714285714295,3.7714285714285714,161.53846153846158,1022.8285714285716,182.5,243843,1,0,0,0,1,0,0,0
201412,1.4967741935483871,36.709677419354854,-2.919354838709677,56.261290322580614,1.11875,2.8483870967741938,6.309677419354838,2.9387096774193537,204.5161290322581,1021.2451612903227,226.45161290322585,258781,1,0,0,0,1,0,0,0
201501,3.583870967741936,37.61290322580645,-0.9354838709677418,56.364516129032275,1.4125,2.6483870967741923,6.235483870967737,3.4290322580645154,196.1290322580645,1021.5290322580644,220.64516129032262,339073,1,0,0,0,1,0,0,0
201502,5.960714285714286,34.92857142857143,1.0428571428571425,58.94285714285714,2.8375,2.8678571428571433,6.428571428571429,4.071428571428571,201.07142857142856,1019.407142857143,232.5,214923,1,0,0,0,1,0,0,0
201512,5.996774193548387,38.74193548387097,1.5935483870967744,59.864516129032246,2.645454545454545,2.3451612903225807,5.73548387096774,4.251612903225807,151.93548387096774,1022.783870967742,162.25806451612902,281457,1,0,0,0,1,0,0,0
201601,1.125806451612903,33.064516129032256,-3.2000000000000006,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612903,2.829032258064516,208.70967741935485,1023.2225806451613,251.29032258064515,363327,1,0,0,0,1,0,0,0
201602,5.0758620689655185,30.724137931034484,0.19310344827586204,52.05172413793103,3.966666666666667,2.755172413793104,6.73103448275862,3.5137931034482746,271.0344827586207,1020.996551724138,275.5172413793104,255070,1,0,0,0,1,0,0,0
201612,5.8,40.096774193548384,1.2451612903225806,59.15806451612904,4.364285714285715,2.225806451612903,5.367741935483871,4.2129032258064525,159.3548387096774,1021.6161290322577,182.25806451612902,298297,1,0,0,0,1,0,0,0
201701,2.916129032258064,35.064516129032256,-1.829032258064516,54.60645161290322,1.1461538461538459,2.3,6.741935483870968,3.170967741935484,182.25806451612902,1022.1322580645165,233.54838709677415,456498,1,0,0,0,1,0,0,0
201702,4.80357142857143,30.285714285714285,-0.2464285714285713,53.664285714285704,1.85,2.4464285714285707,7.5,3.3178571428571426,241.07142857142856,1019.8535714285713,249.64285714285717,344705,1,0,0,0,1,0,0,0
201712,2.1580645161290324,33.16129032258065,-1.9290322580645158,55.854838709677416,2.485714285714286,1.7827586206896548,5.680645161290323,3.2806451612903222,233.79310344827587,1023.5645161290324,258.6666666666667,242135,1,0,0,0,1,0,0,0
201801,0.1419354838709677,28.935483870967737,-3.977419354838709,48.03225806451611,0.7727272727272727,1.870967741935484,6.43793103448276,2.47741935483871,257.741935483871,1021.816129032258,262.258064516129,279500,1,0,0,0,1,0,0,0
201802,3.2821428571428566,24.392857142857146,-1.6464285714285718,44.9142857142857,4.933333333333334,2.1785714285714284,7.192592592592592,2.6214285714285714,252.14285714285717,1021.2607142857142,265.7142857142857,250174,1,0,0,0,1,0,0,0
201812,4.087096774193548,26.48387096774193,-0.6064516129032259,45.75806451612904,2.733333333333334,1.803225806451613,6.4483870967741925,3.1258064516129034,211.9354838709677,1025.1774193548388,261.2903225806452,258904,1,0,0,0,1,0,0,0
201901,4.087096774193548,25.70967741935484,-0.8967741935483872,45.58387096774193,0.0,1.8193548387096776,6.935483870967741,2.7,243.54838709677415,1023.9354838709676,276.1290322580645,295344,1,0,0,0,1,0,0,0
