date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),합계 소형증발량(mm),5.0cm 지중온도(°C),가조시간(hr),최대 순간풍속(m/s),평균 지면온도(°C),최대 풍속(m/s),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201103,8.345161290322581,25.258064516129032,3.6161290322580646,51.11290322580646,2.085714285714286,3.4064516129032265,7.7483870967741915,2.958064516129032,14.67741935483871,11.951612903225806,10.890322580645163,6.361290322580648,6.87741935483871,18641,0,1,0,0,0,1,0,0
201104,15.596666666666666,28.66666666666667,10.719999999999997,54.24,10.009090909090908,3.243333333333333,6.7366666666666655,3.7566666666666673,13.47,13.156666666666665,10.196666666666664,13.56,6.650000000000001,24078,0,1,0,0,0,1,0,0
201105,22.98387096774193,32.16129032258065,17.925806451612907,56.41612903225806,4.107692307692306,2.832258064516129,5.819354838709677,4.3419354838709685,13.241935483870964,14.187096774193545,9.922580645161286,20.964516129032265,6.23548387096774,25593,0,0,1,0,0,0,1,0
201203,9.52258064516129,28.41935483870968,5.090322580645162,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,2.770967741935485,14.616129032258069,11.983870967741936,10.574193548387097,6.2,6.532258064516128,30889,0,1,0,0,0,1,0,0
201204,17.886666666666674,30.13333333333333,12.34,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,4.406666666666667,13.7,13.186666666666667,11.04,14.526666666666667,6.94,30026,0,1,0,0,0,1,0,0
201205,25.1483870967742,26.838709677419356,19.73225806451613,48.23225806451613,0.82,2.6516129032258067,8.106451612903228,6.022580645161291,13.37333333333333,14.212903225806446,9.261290322580646,23.99032258064516,5.793548387096774,23186,0,0,1,0,0,0,1,0
201303,10.83548387096774,25.258064516129032,5.135483870967743,49.1741935483871,3.4125,3.032258064516129,8.267741935483869,3.1193548387096763,13.874193548387098,11.974193548387095,9.512903225806454,7.029032258064518,6.1,18866,0,1,0,0,0,1,0,0
201304,14.98,28.36666666666667,10.006666666666666,53.97666666666667,4.78,3.4266666666666663,7.1066666666666665,3.7033333333333336,12.986666666666665,13.18,11.19,11.503333333333336,6.920000000000003,26787,0,1,0,0,0,1,0,0
201305,23.58709677419355,35.87096774193548,18.22258064516129,57.783870967741926,12.0,2.9,7.6806451612903235,4.612903225806452,12.780645161290321,14.203225806451616,8.63548387096774,20.212903225806453,5.861290322580645,21395,0,0,1,0,0,0,1,0
201403,13.058064516129033,33.03225806451613,7.890322580645161,59.83548387096774,0.5538461538461539,3.0290322580645164,6.925806451612903,3.0741935483870964,14.33548387096774,11.961290322580645,10.203225806451618,9.380645161290321,6.441935483870967,29177,0,1,0,0,0,1,0,0
201404,19.63666666666666,36.03333333333333,13.963333333333335,59.87333333333333,4.428571428571429,2.8233333333333333,7.106666666666667,3.31,13.673333333333336,13.166666666666664,9.436666666666666,17.943333333333328,6.113333333333332,24761,0,1,0,0,0,1,0,0
201405,25.251612903225798,32.83870967741935,18.945161290322574,59.058064516129036,7.0,3.2032258064516133,9.806451612903226,4.693548387096773,13.635483870967743,14.187096774193545,10.496774193548386,23.28387096774193,6.793548387096774,26111,0,0,1,0,0,0,1,0
201503,12.44516129032258,22.35483870967742,6.290322580645161,45.1741935483871,1.6,3.0838709677419347,8.735483870967744,2.8193548387096787,14.445161290322584,11.954838709677418,10.096774193548391,7.790322580645162,6.370967741935482,22159,0,1,0,0,0,1,0,0
201504,18.826666666666664,32.23333333333333,13.326666666666664,54.38666666666665,5.03125,3.12,7.1999999999999975,3.4933333333333327,13.710000000000004,13.159999999999998,10.510000000000002,14.876666666666665,6.523333333333335,24094,0,1,0,0,0,1,0,0
201505,24.887096774193548,30.35483870967742,18.883870967741935,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483872,4.8161290322580665,13.561290322580648,14.187096774193545,9.645161290322582,23.835483870967746,6.170967741935482,29008,0,0,1,0,0,0,1,0
201603,12.612903225806456,28.22580645161291,7.04516129032258,51.01612903225804,6.750000000000001,2.441935483870968,8.183870967741933,2.677419354838709,14.145161290322578,11.983870967741936,8.461290322580645,9.083870967741936,5.10967741935484,19372,0,1,0,0,0,1,0,0
201604,20.316666666666666,30.53333333333333,14.066666666666665,54.75666666666665,6.9818181818181815,2.4200000000000004,7.316666666666667,3.2466666666666675,13.283333333333335,13.19,9.056666666666667,16.99,5.44,28567,0,0,1,0,0,0,1,0
201605,25.68709677419355,31.22580645161291,19.55806451612904,56.21935483870967,14.590909090909092,2.367741935483872,9.035483870967745,4.216129032258065,13.125806451612899,14.212903225806446,9.119354838709679,23.177419354838708,5.148387096774194,25663,0,0,1,0,0,0,1,0
201703,12.309677419354838,25.12903225806452,6.325806451612903,48.1032258064516,0.9875,2.367741935483872,8.23225806451613,3.770967741935484,14.403225806451607,11.97741935483871,9.087096774193547,8.112903225806452,5.432258064516129,23068,0,1,0,0,0,1,0,0
201704,19.95,27.66666666666667,13.933333333333335,52.37333333333334,6.16,2.55,8.656666666666665,5.526666666666667,13.5,13.183333333333335,9.916666666666668,16.869999999999994,5.766666666666665,26021,0,0,1,0,0,1,0,0
201705,25.435483870967737,30.41935483870968,19.490322580645163,52.287096774193536,2.3000000000000003,2.4290322580645163,9.725806451612904,6.945161290322582,13.296774193548384,14.203225806451616,9.048387096774192,25.00322580645161,5.483870967741939,27236,0,0,1,0,0,0,1,0
