date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 중기압(hPa),최다 풍향(16방위),최저 해면기압(hPa),최대 순간풍속 풍향(16방위),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201106,26.576666666666664,46.23333333333333,21.97666666666667,66.56,20.225,2.923333333333334,5.6933333333333325,16.966666666666665,202.0,1004.2966666666667,235.0,214570,0,0,1,0,0,0,1,0
201107,27.996774193548394,62.41935483870968,24.638709677419357,78.78709677419354,49.17391304347826,2.419354838709677,2.593548387096774,24.00645161290322,151.61290322580646,1003.8741935483873,173.2258064516129,331836,0,0,0,1,0,0,0,1
201108,29.451612903225808,56.29032258064516,25.77419354838709,74.33548387096774,8.34,2.52258064516129,3.032258064516129,24.280645161290327,144.19354838709674,1006.5935483870967,180.64516129032262,554395,0,0,0,1,0,0,0,1
201206,29.71666666666666,33.0,24.139999999999993,54.08666666666666,15.316666666666668,2.8,7.733333333333332,15.716666666666665,186.33333333333331,1004.8099999999997,193.0,230204,0,0,0,1,0,0,0,1
201207,29.02580645161291,55.935483870967744,25.41290322580645,73.83225806451615,21.37619047619048,2.729032258064516,4.645161290322581,23.622580645161296,191.29032258064515,1003.5774193548384,217.41935483870967,277935,0,0,0,1,0,0,0,1
201208,30.851612903225806,51.0,27.13225806451612,67.95483870967742,25.827777777777786,2.967741935483871,5.119354838709677,23.81935483870968,124.83870967741936,1005.7612903225804,169.67741935483872,434529,0,0,0,1,0,0,0,1
201306,29.236666666666668,39.7,24.41000000000001,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,17.813333333333333,213.0,1005.6433333333333,243.0,183498,0,0,0,1,0,0,0,1
201307,28.33548387096775,63.54838709677418,25.519354838709678,79.25483870967744,26.00769230769231,3.3516129032258064,3.258064516129032,25.574193548387107,220.64516129032262,1003.316129032258,232.5806451612904,238909,0,0,0,1,0,0,0,1
201308,31.08709677419354,48.935483870967744,27.69677419354839,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,25.44516129032258,199.35483870967738,1004.6806451612904,241.61290322580646,365305,0,0,0,1,0,0,0,1
201406,27.770000000000003,49.06666666666667,23.06333333333333,72.80666666666666,7.007142857142857,2.603333333333333,6.163333333333332,20.036666666666655,187.33333333333331,1004.4266666666666,216.66666666666663,305438,0,0,0,1,0,0,0,1
201407,30.63548387096775,50.58064516129032,26.1483870967742,74.23548387096773,17.325,2.75483870967742,5.570967741935487,24.64193548387097,204.83870967741936,1004.7290322580644,219.35483870967738,376891,0,0,0,1,0,0,0,1
201408,28.951612903225808,57.225806451612904,25.164516129032265,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,24.23225806451613,117.41935483870968,1006.1483870967744,147.41935483870967,551234,0,0,0,1,0,0,0,1
201506,29.46333333333333,35.4,23.586666666666666,59.80999999999998,8.25,2.546666666666667,8.603333333333332,16.84,204.0,1004.45,216.0,86464,0,0,0,1,0,0,0,1
201507,30.02580645161289,50.38709677419354,25.83548387096775,71.15483870967742,14.125,2.841935483870968,5.680645161290323,23.41935483870968,168.06451612903226,1004.4290322580645,180.32258064516128,261826,0,0,0,1,0,0,0,1
201508,30.78709677419355,45.96774193548386,26.26774193548387,69.7741935483871,4.288235294117648,2.396774193548388,6.677419354838711,23.46129032258064,141.29032258064515,1006.5580645161293,212.5806451612904,449973,0,0,0,1,0,0,0,1
