date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최저 해면기압 시각(hhmi),평균 전운량(10분위),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201103,8.345161290322581,25.258064516129032,3.6161290322580646,51.11290322580646,2.085714285714286,3.4064516129032265,7.7483870967741915,1298.548387096774,3.3032258064516133,47554,0,1,0,0,0,1,0,0
201104,15.596666666666666,28.66666666666667,10.719999999999997,54.24,10.009090909090908,3.243333333333333,6.7366666666666655,1259.5333333333333,4.733333333333333,66009,0,1,0,0,0,1,0,0
201105,22.98387096774193,32.16129032258065,17.925806451612907,56.41612903225806,4.107692307692306,2.832258064516129,5.819354838709677,1458.6129032258066,5.641935483870969,72267,0,0,1,0,0,0,1,0
201203,9.52258064516129,28.41935483870968,5.090322580645162,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,1204.3225806451612,5.193548387096775,20586,0,1,0,0,0,1,0,0
201204,17.886666666666674,30.13333333333333,12.34,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,1352.5333333333333,4.6,53840,0,1,0,0,0,1,0,0
201205,25.1483870967742,26.838709677419356,19.73225806451613,48.23225806451613,0.82,2.6516129032258067,8.106451612903228,1382.516129032258,4.303225806451614,127886,0,0,1,0,0,0,1,0
201303,10.83548387096774,25.258064516129032,5.135483870967743,49.1741935483871,3.4125,3.032258064516129,8.267741935483869,1248.3870967741937,3.3193548387096765,24100,0,1,0,0,0,1,0,0
201304,14.98,28.36666666666667,10.006666666666666,53.97666666666667,4.78,3.4266666666666663,7.1066666666666665,1308.6333333333334,5.006666666666667,60970,0,1,0,0,0,1,0,0
201305,23.58709677419355,35.87096774193548,18.22258064516129,57.783870967741926,12.0,2.9,7.6806451612903235,1351.0967741935485,4.664516129032259,80636,0,0,1,0,0,0,1,0
201403,13.058064516129033,33.03225806451613,7.890322580645161,59.83548387096774,0.5538461538461539,3.0290322580645164,6.925806451612903,1200.741935483871,3.93225806451613,57660,0,1,0,0,0,1,0,0
201404,19.63666666666666,36.03333333333333,13.963333333333335,59.87333333333333,4.428571428571429,2.8233333333333333,7.106666666666667,1459.333333333333,4.746666666666667,53213,0,1,0,0,0,1,0,0
201405,25.251612903225798,32.83870967741935,18.945161290322574,59.058064516129036,7.0,3.2032258064516133,9.806451612903226,1036.3225806451612,3.170967741935484,34650,0,0,1,0,0,0,1,0
201503,12.44516129032258,22.35483870967742,6.290322580645161,45.1741935483871,1.6,3.0838709677419347,8.735483870967744,1400.483870967742,2.7870967741935484,34754,0,1,0,0,0,1,0,0
201504,18.826666666666664,32.23333333333333,13.326666666666664,54.38666666666665,5.03125,3.12,7.1999999999999975,1243.8333333333333,4.9700000000000015,57735,0,1,0,0,0,1,0,0
201505,24.887096774193548,30.35483870967742,18.883870967741935,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483872,1417.2903225806451,4.135483870967741,75348,0,0,1,0,0,0,1,0
201603,12.612903225806456,28.22580645161291,7.04516129032258,51.01612903225804,6.750000000000001,2.441935483870968,8.183870967741933,1384.354838709677,3.5580645161290323,50374,0,1,0,0,0,1,0,0
201604,20.316666666666666,30.53333333333333,14.066666666666665,54.75666666666665,6.9818181818181815,2.4200000000000004,7.316666666666667,1349.2333333333333,4.803333333333334,50928,0,0,1,0,0,0,1,0
201605,25.68709677419355,31.22580645161291,19.55806451612904,56.21935483870967,14.590909090909092,2.367741935483872,9.035483870967745,1302.7096774193546,4.587096774193548,80932,0,0,1,0,0,0,1,0
201703,12.309677419354838,25.12903225806452,6.325806451612903,48.1032258064516,0.9875,2.367741935483872,8.23225806451613,1441.2903225806451,3.8967741935483855,62661,0,1,0,0,0,1,0,0
201704,19.95,27.66666666666667,13.933333333333335,52.37333333333334,6.16,2.55,8.656666666666665,1322.2333333333333,4.38,55776,0,0,1,0,0,1,0,0
201705,25.435483870967737,30.41935483870968,19.490322580645163,52.287096774193536,2.3000000000000003,2.4290322580645163,9.725806451612904,1373.1290322580646,3.877419354838709,91425,0,0,1,0,0,0,1,0
201803,13.596774193548393,33.67741935483871,8.080645161290322,59.20645161290322,4.95,1.9193548387096784,6.7451612903225815,1163.1290322580646,5.206451612903226,70073,0,1,0,0,0,1,0,0
201804,18.51333333333333,29.83333333333333,12.986666666666665,54.63,11.845454545454546,2.0033333333333334,7.446666666666667,1245.6666666666667,4.683333333333335,62860,0,1,0,0,0,1,0,0
201805,23.29032258064517,40.87096774193548,18.167741935483875,63.435483870967744,15.857142857142858,1.7193548387096769,7.470967741935484,1440.0645161290322,5.448387096774193,104851,0,0,1,0,0,0,1,0
201903,12.445161290322584,25.838709677419356,7.0935483870967735,51.303225806451614,2.68,2.0870967741935478,6.574193548387097,1071.225806451613,4.6903225806451605,126027,0,1,0,0,0,1,0,0
201904,17.639999999999993,27.36666666666667,12.12,50.94333333333334,3.6384615384615375,1.8766666666666665,7.386666666666668,1313.1666666666667,4.926666666666667,94462,0,1,0,0,0,1,0,0
201905,25.64193548387097,24.77419354838709,19.41935483870968,46.48709677419353,5.4,2.0580645161290323,10.129032258064516,1402.3870967741934,3.7612903225806456,127310,0,0,1,0,0,0,1,0
