date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),합계 소형증발량(mm),5.0cm 지중온도(°C),가조시간(hr),최대 순간풍속(m/s),평균 지면온도(°C),최대 풍속(m/s),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201106,26.576666666666664,46.23333333333333,21.97666666666667,66.56,20.225,2.923333333333334,5.6933333333333325,4.206666666666666,13.466666666666667,14.733333333333338,9.543333333333333,25.81000000000001,6.166666666666669,25607,0,0,1,0,0,0,1,0
201107,27.996774193548394,62.41935483870968,24.638709677419357,78.78709677419354,49.17391304347826,2.419354838709677,2.593548387096774,2.583870967741936,16.038709677419348,14.48064516129032,8.474193548387097,26.477419354838705,5.219354838709679,29552,0,0,0,1,0,0,0,1
201108,29.451612903225808,56.29032258064516,25.77419354838709,74.33548387096774,8.34,2.52258064516129,3.032258064516129,3.3709677419354844,17.638709677419357,13.6,8.409677419354837,27.5,5.193548387096773,45851,0,0,0,1,0,0,0,1
201206,29.71666666666666,33.0,24.139999999999993,54.08666666666666,15.316666666666668,2.8,7.733333333333332,7.643333333333333,13.830000000000002,14.73666666666667,9.42666666666667,29.746666666666666,5.836666666666668,33053,0,0,0,1,0,0,0,1
201207,29.02580645161291,55.935483870967744,25.41290322580645,73.83225806451615,21.37619047619048,2.729032258064516,4.645161290322581,4.154838709677419,15.50666666666667,14.467741935483868,8.735483870967743,26.93225806451613,5.429032258064513,31982,0,0,0,1,0,0,0,1
201208,30.851612903225806,51.0,27.13225806451612,67.95483870967742,25.827777777777786,2.967741935483871,5.119354838709677,5.361290322580643,17.241935483870968,13.574193548387097,10.122580645161287,28.300000000000008,6.054838709677418,43775,0,0,0,1,0,0,0,1
201306,29.236666666666668,39.7,24.41000000000001,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,5.343333333333332,13.186666666666667,14.73666666666667,7.743333333333334,28.15,4.9300000000000015,32152,0,0,0,1,0,0,0,1
201307,28.33548387096775,63.54838709677418,25.519354838709678,79.25483870967744,26.00769230769231,3.3516129032258064,3.258064516129032,2.8096774193548386,14.999999999999995,14.47096774193548,10.616129032258062,26.37419354838709,6.790322580645161,31296,0,0,0,1,0,0,0,1
201308,31.08709677419354,48.935483870967744,27.69677419354839,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,4.380645161290324,16.474193548387095,13.587096774193547,8.732258064516131,29.451612903225808,5.564516129032258,48459,0,0,0,1,0,0,0,1
201406,27.770000000000003,49.06666666666667,23.06333333333333,72.80666666666666,7.007142857142857,2.603333333333333,6.163333333333332,3.746666666666667,14.033333333333333,14.740000000000006,8.683333333333334,25.90333333333333,5.553333333333336,29942,0,0,0,1,0,0,0,1
201407,30.63548387096775,50.58064516129032,26.1483870967742,74.23548387096773,17.325,2.75483870967742,5.570967741935487,3.693548387096774,14.99677419354839,14.477419354838707,8.909677419354837,29.21290322580645,5.587096774193548,35226,0,0,0,1,0,0,0,1
201408,28.951612903225808,57.225806451612904,25.164516129032265,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,2.7935483870967746,16.464516129032262,13.596774193548384,8.058064516129035,26.629032258064512,4.903225806451613,63877,0,0,0,1,0,0,0,1
201506,29.46333333333333,35.4,23.586666666666666,59.80999999999998,8.25,2.546666666666667,8.603333333333332,4.800000000000002,13.96,14.733333333333338,9.543333333333337,27.316666666666666,5.8,6857,0,0,0,1,0,0,0,1
201507,30.02580645161289,50.38709677419354,25.83548387096775,71.15483870967742,14.125,2.841935483870968,5.680645161290323,3.335483870967741,14.906666666666665,14.48064516129032,9.006451612903227,27.92580645161291,5.567741935483871,28674,0,0,0,1,0,0,0,1
201508,30.78709677419355,45.96774193548386,26.26774193548387,69.7741935483871,4.288235294117648,2.396774193548388,6.677419354838711,3.358064516129033,15.638709677419355,13.6,8.72258064516129,28.03870967741935,5.348387096774194,48488,0,0,0,1,0,0,0,1
201606,28.680000000000003,41.1,23.59666666666667,62.86666666666665,4.533333333333334,2.13,7.656666666666667,4.413333333333332,13.63333333333333,14.733333333333334,7.953333333333332,28.19,4.8966666666666665,26647,0,0,0,1,0,0,0,1
201607,29.822580645161292,54.064516129032256,26.235483870967744,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,4.322580645161288,14.829032258064515,14.467741935483868,7.7483870967741915,28.34193548387097,4.390322580645162,32745,0,0,0,1,0,0,0,1
201608,32.635483870967754,41.67741935483871,27.99677419354839,63.883870967741935,4.19375,2.0580645161290323,7.616129032258066,5.429032258064518,16.00967741935484,13.574193548387097,8.074193548387097,31.929032258064517,4.635483870967742,47091,0,0,0,1,0,0,0,1
201706,28.75,33.46666666666667,23.27333333333333,56.60333333333333,5.123076923076923,2.373333333333333,9.506666666666666,7.153333333333335,13.71,14.73666666666667,8.593333333333332,28.606666666666666,5.1366666666666685,26453,0,0,0,1,0,0,0,1
201707,30.393548387096768,59.67741935483871,26.92258064516129,77.1774193548387,27.0,2.0,3.9709677419354836,3.9580645161290313,15.248387096774195,14.47096774193548,7.787096774193548,28.264516129032263,4.493548387096773,31237,0,0,0,1,0,0,0,1
201708,29.654838709677428,50.838709677419345,25.916129032258066,70.81935483870967,15.63157894736842,2.2548387096774194,5.361290322580646,4.487096774193548,16.76451612903226,13.583870967741936,7.925806451612908,27.66774193548386,4.54516129032258,49720,0,0,0,1,0,0,0,1
