date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 순간풍속 풍향(16방위),평균 상대습도 시각(hhmi),최대 풍속(m/s),합계 일사량(MJ/m2),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201109,26.57333333333333,37.3,21.75,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,172.0,1199.5,5.270000000000001,14.979666666666667,143467,0,0,1,0,0,0,1,0
201110,19.348387096774193,31.064516129032263,14.222580645161296,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666668,240.0,1381.3870967741934,4.574193548387097,12.142999999999995,222484,0,1,0,0,0,0,1,0
201111,14.693333333333335,41.96666666666667,10.68666666666667,60.37666666666666,3.746666666666667,2.7200000000000006,4.316666666666666,191.66666666666663,1138.3666666666666,5.413333333333332,6.327666666666665,160836,0,1,0,0,0,1,0,0
201209,24.97666666666667,43.23333333333333,20.963333333333328,65.14999999999999,17.666666666666668,2.296666666666666,6.3599999999999985,181.0,1335.2,5.003333333333333,11.876,76660,0,0,1,0,0,0,1,0
201210,20.503225806451614,31.903225806451612,15.348387096774195,58.17741935483871,11.033333333333333,2.283870967741936,7.593548387096777,240.96774193548384,1406.7096774193549,4.935483870967742,11.277419354838711,144268,0,0,1,0,0,0,1,0
201211,9.516666666666664,36.833333333333336,5.540000000000001,57.24,4.52,2.72,6.036666666666667,228.33333333333331,1302.8666666666666,5.503333333333333,7.6196666666666655,89575,0,1,0,0,0,1,0,0
201309,25.94333333333333,42.96666666666667,21.75333333333333,62.88666666666666,11.541666666666664,2.236666666666667,6.366666666666667,188.0,1310.5333333333333,4.616666666666666,12.294000000000002,97864,0,0,1,0,0,0,1,0
201310,21.235483870967734,36.19354838709677,15.777419354838708,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,166.1290322580645,1385.7419354838707,4.8096774193548395,12.025483870967742,144549,0,0,1,0,0,0,1,0
201311,10.660000000000004,37.1,6.149999999999998,58.18666666666668,2.7529411764705887,2.7366666666666672,6.266666666666668,229.33333333333331,1330.5,5.683333333333334,7.798000000000001,107904,0,1,0,0,0,1,0,0
201409,26.98333333333334,44.9,22.063333333333336,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,163.33333333333334,1326.7,4.5,12.951999999999995,119260,0,0,1,0,0,0,1,0
201410,21.416129032258066,38.709677419354854,15.635483870967743,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967742,197.74193548387098,1448.9032258064515,5.038709677419355,11.68741935483871,182385,0,0,1,0,0,0,1,0
201411,13.78666666666667,40.1,8.953333333333337,60.93333333333334,4.15,2.466666666666667,6.47,223.0,1362.1,5.1433333333333335,8.342,136085,0,1,0,0,0,1,0,0
201509,28.07666666666666,34.4,22.389999999999993,56.20666666666666,5.2,2.3033333333333332,8.736666666666666,188.66666666666663,1413.4,4.806666666666667,15.290999999999999,100310,0,0,0,1,0,0,1,0
201510,21.21935483870968,33.32258064516129,15.506451612903225,60.35806451612903,11.642857142857142,2.3129032258064512,7.7322580645161265,257.0967741935484,1419.8064516129032,5.280645161290322,11.586129032258064,189933,0,0,1,0,0,0,1,0
201511,12.739999999999998,53.8,8.900000000000002,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,179.0,1267.0666666666666,5.036666666666667,5.930999999999999,126038,0,1,0,0,0,1,0,0
201609,27.88999999999999,43.63333333333333,23.08333333333333,64.51333333333334,4.714285714285714,1.9633333333333336,6.386666666666668,190.66666666666663,1408.7666666666669,4.25,12.364000000000004,140097,0,0,0,1,0,0,0,1
201610,21.309677419354838,40.451612903225815,16.080645161290327,62.23225806451613,7.479999999999999,2.119354838709677,6.3129032258064495,187.09677419354838,1321.3225806451612,4.329032258064517,10.26258064516129,182621,0,0,1,0,0,0,1,0
201611,11.606666666666667,37.53333333333333,6.7733333333333325,56.77999999999998,1.04375,2.223333333333333,5.7766666666666655,223.0,1299.9333333333334,4.616666666666666,7.834333333333332,143481,0,1,0,0,0,1,0,0
201709,27.43333333333333,39.1,22.10333333333334,60.92999999999999,3.888888888888889,1.98,8.058620689655173,181.66666666666663,1409.033333333333,4.196666666666667,14.841000000000005,99431,0,0,1,0,0,0,1,0
201710,22.530000000000005,33.73333333333333,16.409677419354836,56.25806451612904,3.3125,1.9366666666666663,7.423333333333333,204.0,1418.5666666666666,4.276666666666666,7.773225806451613,347108,0,0,1,0,0,0,1,0
201711,10.46,32.166666666666664,5.626666666666668,53.42666666666664,2.9071428571428566,2.0766666666666658,6.070370370370371,232.66666666666663,1337.7,4.526666666666666,5.59,155092,0,1,0,0,0,1,0,0
201809,26.04,38.9,21.496666666666666,60.66,5.708333333333332,1.5633333333333332,7.290000000000001,177.0,1354.6666666666667,3.450000000000001,15.698666666666668,164660,0,0,1,0,0,0,1,0
201810,18.61290322580645,34.354838709677416,13.05483870967742,59.348387096774175,10.954545454545457,1.5451612903225809,7.8032258064516125,246.7741935483871,1236.3548387096773,3.829032258064516,13.010967741935485,162503,0,1,0,0,0,1,0,0
201811,13.153333333333334,32.73333333333333,7.793333333333335,57.47999999999999,8.78888888888889,1.3966666666666665,5.92,254.33333333333331,1303.9333333333334,3.4966666666666675,8.845,129743,0,1,0,0,0,1,0,0
201909,27.100000000000005,44.13333333333333,22.64333333333333,65.27,10.753846153846156,2.183333333333333,5.63,221.66666666666663,1310.4333333333334,4.253333333333334,12.892666666666667,159379,0,0,1,0,0,0,0,1
201910,21.76774193548388,38.935483870967744,16.370967741935484,62.16451612903224,7.928571428571429,2.129032258064516,7.629032258064513,211.9354838709677,1333.5806451612902,4.412903225806452,12.7558064516129,195038,0,0,1,0,0,0,1,0
201911,12.933333333333335,33.13333333333333,7.579999999999999,55.899999999999984,9.85,2.1666666666666665,6.773333333333335,245.0,1308.3,4.533333333333333,9.476,162858,0,1,0,0,0,1,0,0
