date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최저 기온(°C),평균 중기압(hPa),가조시간(hr),평균 이슬점온도(°C),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201101,1,-3.406451612903226,35.12903225806452,-7.183870967741936,53.8290322580645,1.1125,2.7967741935483867,7.048387096774192,-10.52258064516129,1.9838709677419355,9.906451612903227,-15.341935483870964,1747,4.0,1,0,0,0,1,0,0,0
201102,2,5.864285714285715,32.0,1.2214285714285713,55.228571428571435,9.7,2.5535714285714284,5.9499999999999975,-2.4607142857142863,3.7178571428571434,10.803571428571427,-7.639285714285713,1943,4.0,1,0,0,0,1,0,0,0
201103,3,8.345161290322581,25.258064516129032,3.6161290322580646,51.11290322580646,2.085714285714286,3.4064516129032265,7.7483870967741915,-0.11935483870967745,4.103225806451613,11.951612903225806,-6.654838709677421,3000,1.0,0,1,0,0,0,1,0,0
201104,4,15.596666666666666,28.66666666666667,10.719999999999997,54.24,10.009090909090908,3.243333333333333,6.7366666666666655,6.7733333333333325,6.7666666666666675,13.156666666666665,0.2999999999999996,8029,1.0,0,1,0,0,0,1,0,0
201105,5,22.98387096774193,32.16129032258065,17.925806451612907,56.41612903225806,4.107692307692306,2.832258064516129,5.819354838709677,13.570967741935485,11.103225806451613,14.187096774193545,7.899999999999999,17108,1.0,0,0,1,0,0,0,1,0
201106,6,26.576666666666664,46.23333333333333,21.97666666666667,66.56,20.225,2.923333333333334,5.6933333333333325,18.383333333333333,16.966666666666665,14.733333333333338,14.570000000000002,8912,2.0,0,0,1,0,0,0,1,0
201107,7,27.996774193548394,62.41935483870968,24.638709677419357,78.78709677419354,49.17391304347826,2.419354838709677,2.593548387096774,21.974193548387085,24.00645161290322,14.48064516129032,20.280645161290323,3562,2.0,0,0,0,1,0,0,0,1
201108,8,29.451612903225808,56.29032258064516,25.77419354838709,74.33548387096774,8.34,2.52258064516129,3.032258064516129,22.967741935483875,24.280645161290327,13.6,20.45483870967743,5349,2.0,0,0,0,1,0,0,0,1
201109,9,26.57333333333333,37.3,21.75,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,17.706666666666663,15.116666666666667,12.453333333333335,12.466666666666665,8680,3.0,0,0,1,0,0,0,1,0
201110,10,19.348387096774193,31.064516129032263,14.222580645161296,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666668,9.654838709677419,8.774193548387098,11.251612903225805,4.300000000000002,16681,3.0,0,1,0,0,0,0,1,0
201111,11,14.693333333333335,41.96666666666667,10.68666666666667,60.37666666666666,3.746666666666667,2.7200000000000006,4.316666666666666,7.163333333333335,8.396666666666665,10.196666666666664,2.756666666666667,5795,3.0,0,1,0,0,0,1,0,0
201112,12,2.851612903225808,31.677419354838708,-0.870967741935484,50.43870967741936,0.5916666666666667,2.6161290322580637,6.3096774193548395,-4.109677419354838,3.106451612903226,9.641935483870967,-10.48709677419355,1885,4.0,1,0,0,0,1,0,0,0
201201,1,1.338709677419355,30.548387096774192,-2.7870967741935484,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,-6.3,2.5709677419354837,9.903225806451612,-12.761290322580646,904,4.0,1,0,0,0,1,0,0,0
201202,2,2.96896551724138,23.62068965517241,-2.0448275862068965,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,-6.020689655172415,2.396551724137931,10.810344827586208,-13.8,796,4.0,1,0,0,0,1,0,0,0
201203,3,9.52258064516129,28.41935483870968,5.090322580645162,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,1.4838709677419355,4.635483870967741,11.983870967741936,-5.0935483870967735,1757,1.0,0,1,0,0,0,1,0,0
201204,4,17.886666666666674,30.13333333333333,12.34,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,7.7666666666666675,7.739999999999997,13.186666666666667,1.92,4126,1.0,0,1,0,0,0,1,0,0
201205,5,25.1483870967742,26.838709677419356,19.73225806451613,48.23225806451613,0.82,2.6516129032258067,8.106451612903228,15.35161290322581,10.580645161290322,14.212903225806446,7.403225806451613,7100,1.0,0,0,1,0,0,0,1,0
201206,6,29.71666666666666,33.0,24.139999999999993,54.08666666666666,15.316666666666668,2.8,7.733333333333332,19.956666666666667,15.716666666666665,14.73666666666667,13.49,5086,2.0,0,0,0,1,0,0,0,1
201207,7,29.02580645161291,55.935483870967744,25.41290322580645,73.83225806451615,21.37619047619048,2.729032258064516,4.645161290322581,22.387096774193548,23.622580645161296,14.467741935483868,20.06774193548387,2031,2.0,0,0,0,1,0,0,0,1
201208,8,30.851612903225806,51.0,27.13225806451612,67.95483870967742,25.827777777777786,2.967741935483871,5.119354838709677,23.91290322580645,23.81935483870968,13.574193548387097,20.193548387096776,1714,2.0,0,0,0,1,0,0,0,1
201209,9,24.97666666666667,43.23333333333333,20.963333333333328,65.14999999999999,17.666666666666668,2.296666666666666,6.3599999999999985,17.439999999999994,15.890000000000002,12.423333333333336,13.596666666666668,3278,3.0,0,0,1,0,0,0,1,0
201210,10,20.503225806451614,31.903225806451612,15.348387096774195,58.17741935483871,11.033333333333333,2.283870967741936,7.593548387096777,11.048387096774198,10.112903225806454,11.22258064516129,6.358064516129033,19554,3.0,0,0,1,0,0,0,1,0
201211,11,9.516666666666664,36.833333333333336,5.540000000000001,57.24,4.52,2.72,6.036666666666667,1.76,5.336666666666667,10.176666666666666,-2.9233333333333333,4841,3.0,0,1,0,0,0,1,0,0
201212,12,-0.5193548387096775,38.67741935483871,-4.119354838709678,57.0290322580645,3.1846153846153844,2.7258064516129035,6.2451612903225815,-7.390322580645162,2.8290322580645166,9.635483870967745,-11.81612903225806,1252,4.0,1,0,0,0,1,0,0,0
201301,1,0.3354838709677418,38.548387096774185,-3.4322580645161285,57.0774193548387,2.21,2.670967741935484,5.409677419354837,-6.587096774193549,3.0451612903225795,9.916129032258066,-11.093548387096767,1290,4.0,1,0,0,0,1,0,0,0
201302,2,2.775,30.285714285714285,-1.2392857142857143,53.62857142857143,5.700000000000001,2.8821428571428567,6.685714285714284,-4.917857142857144,3.207142857142857,10.821428571428573,-10.314285714285717,1494,4.0,1,0,0,0,1,0,0,0
201303,3,10.83548387096774,25.258064516129032,5.135483870967743,49.1741935483871,3.4125,3.032258064516129,8.267741935483869,0.7193548387096775,4.345161290322581,11.974193548387095,-5.7290322580645165,4849,1.0,0,1,0,0,0,1,0,0
201304,4,14.98,28.36666666666667,10.006666666666666,53.97666666666667,4.78,3.4266666666666663,7.1066666666666665,5.703333333333332,6.5166666666666675,13.18,-0.1466666666666665,2995,1.0,0,1,0,0,0,1,0,0
201305,5,23.58709677419355,35.87096774193548,18.22258064516129,57.783870967741926,12.0,2.9,7.6806451612903235,13.661290322580642,11.62258064516129,14.203225806451616,8.58064516129032,6618,1.0,0,0,1,0,0,0,1,0
201306,6,29.236666666666668,39.7,24.41000000000001,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,20.46,17.813333333333333,14.73666666666667,15.43,4789,2.0,0,0,0,1,0,0,0,1
201307,7,28.33548387096775,63.54838709677418,25.519354838709678,79.25483870967744,26.00769230769231,3.3516129032258064,3.258064516129032,23.42580645161291,25.574193548387107,14.47096774193548,21.39032258064516,1568,2.0,0,0,0,1,0,0,0,1
201308,8,31.08709677419354,48.935483870967744,27.69677419354839,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,24.838709677419356,25.44516129032258,13.587096774193547,21.12580645161289,2532,2.0,0,0,0,1,0,0,0,1
201309,9,25.94333333333333,42.96666666666667,21.75333333333333,62.88666666666666,11.541666666666664,2.236666666666667,6.366666666666667,18.003333333333334,16.186666666666664,12.430000000000005,13.606666666666662,4188,3.0,0,0,1,0,0,0,1,0
201310,10,21.235483870967734,36.19354838709677,15.777419354838708,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,10.903225806451614,10.638709677419351,11.229032258064514,6.97741935483871,6163,3.0,0,0,1,0,0,0,1,0
201311,11,10.660000000000004,37.1,6.149999999999998,58.18666666666668,2.7529411764705887,2.7366666666666672,6.266666666666668,2.109999999999999,5.8933333333333335,10.179999999999998,-2.0966666666666667,2634,3.0,0,1,0,0,0,1,0,0
