date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 중기압(hPa),최다 풍향(16방위),최저 해면기압(hPa),최대 순간풍속 풍향(16방위),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201101,1,-3.406451612903226,35.12903225806452,-7.183870967741936,53.8290322580645,1.1125,2.7967741935483867,7.048387096774192,1.9838709677419355,229.35483870967738,1024.9806451612903,279.67741935483866,260272,4.0,1,0,0,0,1,0,0,0
201102,2,5.864285714285715,32.0,1.2214285714285713,55.228571428571435,9.7,2.5535714285714284,5.9499999999999975,3.7178571428571434,190.35714285714286,1019.3964285714287,230.7142857142857,224691,4.0,1,0,0,0,1,0,0,0
201103,3,8.345161290322581,25.258064516129032,3.6161290322580646,51.11290322580646,2.085714285714286,3.4064516129032265,7.7483870967741915,4.103225806451613,246.45161290322585,1018.841935483871,247.09677419354838,184565,1.0,0,1,0,0,0,1,0,0
201104,4,15.596666666666666,28.66666666666667,10.719999999999997,54.24,10.009090909090908,3.243333333333333,6.7366666666666655,6.7666666666666675,226.0,1011.48,235.66666666666663,240861,1.0,0,1,0,0,0,1,0,0
201105,5,22.98387096774193,32.16129032258065,17.925806451612907,56.41612903225806,4.107692307692306,2.832258064516129,5.819354838709677,11.103225806451613,156.1290322580645,1008.5612903225807,220.0,307969,1.0,0,0,1,0,0,0,1,0
201106,6,26.576666666666664,46.23333333333333,21.97666666666667,66.56,20.225,2.923333333333334,5.6933333333333325,16.966666666666665,202.0,1004.2966666666667,235.0,214570,2.0,0,0,1,0,0,0,1,0
201107,7,27.996774193548394,62.41935483870968,24.638709677419357,78.78709677419354,49.17391304347826,2.419354838709677,2.593548387096774,24.00645161290322,151.61290322580646,1003.8741935483873,173.2258064516129,331836,2.0,0,0,0,1,0,0,0,1
201108,8,29.451612903225808,56.29032258064516,25.77419354838709,74.33548387096774,8.34,2.52258064516129,3.032258064516129,24.280645161290327,144.19354838709674,1006.5935483870967,180.64516129032262,554395,2.0,0,0,0,1,0,0,0,1
201109,9,26.57333333333333,37.3,21.75,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,15.116666666666667,146.66666666666666,1010.6733333333333,172.0,223776,3.0,0,0,1,0,0,0,1,0
201110,10,19.348387096774193,31.064516129032263,14.222580645161296,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666668,8.774193548387098,157.74193548387098,1018.0258064516127,240.0,263728,3.0,0,1,0,0,0,0,1,0
201111,11,14.693333333333335,41.96666666666667,10.68666666666667,60.37666666666666,3.746666666666667,2.7200000000000006,4.316666666666666,8.396666666666665,152.33333333333334,1019.9466666666666,191.66666666666663,199058,3.0,0,1,0,0,0,1,0,0
201112,12,2.851612903225808,31.677419354838708,-0.870967741935484,50.43870967741936,0.5916666666666667,2.6161290322580637,6.3096774193548395,3.106451612903226,205.80645161290332,1025.258064516129,233.2258064516129,233828,4.0,1,0,0,0,1,0,0,0
201201,1,1.338709677419355,30.548387096774192,-2.7870967741935484,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,2.5709677419354837,215.80645161290332,1023.8322580645159,262.5806451612903,229035,4.0,1,0,0,0,1,0,0,0
201202,2,2.96896551724138,23.62068965517241,-2.0448275862068965,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,2.396551724137931,201.72413793103448,1021.2620689655173,255.5172413793104,161943,4.0,1,0,0,0,1,0,0,0
201203,3,9.52258064516129,28.41935483870968,5.090322580645162,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,4.635483870967741,210.0,1016.5387096774195,217.09677419354838,154580,1.0,0,1,0,0,0,1,0,0
201204,4,17.886666666666674,30.13333333333333,12.34,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,7.739999999999997,200.66666666666663,1009.4133333333334,223.33333333333331,215851,1.0,0,1,0,0,0,1,0,0
201205,5,25.1483870967742,26.838709677419356,19.73225806451613,48.23225806451613,0.82,2.6516129032258067,8.106451612903228,10.580645161290322,187.41935483870967,1008.8290322580646,203.54838709677415,306757,1.0,0,0,1,0,0,0,1,0
201206,6,29.71666666666666,33.0,24.139999999999993,54.08666666666666,15.316666666666668,2.8,7.733333333333332,15.716666666666665,186.33333333333331,1004.8099999999997,193.0,230204,2.0,0,0,0,1,0,0,0,1
201207,7,29.02580645161291,55.935483870967744,25.41290322580645,73.83225806451615,21.37619047619048,2.729032258064516,4.645161290322581,23.622580645161296,191.29032258064515,1003.5774193548384,217.41935483870967,277935,2.0,0,0,0,1,0,0,0,1
201208,8,30.851612903225806,51.0,27.13225806451612,67.95483870967742,25.827777777777786,2.967741935483871,5.119354838709677,23.81935483870968,124.83870967741936,1005.7612903225804,169.67741935483872,434529,2.0,0,0,0,1,0,0,0,1
201209,9,24.97666666666667,43.23333333333333,20.963333333333328,65.14999999999999,17.666666666666668,2.296666666666666,6.3599999999999985,15.890000000000002,133.33333333333334,1010.9866666666666,181.0,219211,3.0,0,0,1,0,0,0,1,0
201210,10,20.503225806451614,31.903225806451612,15.348387096774195,58.17741935483871,11.033333333333333,2.283870967741936,7.593548387096777,10.112903225806454,163.22580645161293,1015.6935483870967,240.96774193548384,265513,3.0,0,0,1,0,0,0,1,0
