date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 중하층운량(10분위),최대 풍속(m/s),최고 해면 기압(hPa),평균 30cm 지중온도(°C),최저 해면기압(hPa),평균 5cm 지중온도(°C),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201103,8.345161290322581,25.258064516129032,3.6161290322580646,51.11290322580646,2.085714285714286,3.4064516129032265,7.7483870967741915,1.977419354838709,6.87741935483871,1023.9258064516133,5.422580645161292,1018.841935483871,5.216129032258063,2085,0,1,0,0,0,1,0,0
201104,15.596666666666666,28.66666666666667,10.719999999999997,54.24,10.009090909090908,3.243333333333333,6.7366666666666655,2.87,6.650000000000001,1017.1266666666666,11.726666666666668,1011.48,12.206666666666665,5212,0,1,0,0,0,1,0,0
201105,22.98387096774193,32.16129032258065,17.925806451612907,56.41612903225806,4.107692307692306,2.832258064516129,5.819354838709677,2.783870967741936,6.23548387096774,1013.0354838709676,18.174193548387095,1008.5612903225807,19.396774193548385,6201,0,0,1,0,0,0,1,0
201203,9.52258064516129,28.41935483870968,5.090322580645162,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,3.096774193548386,6.532258064516128,1022.851612903226,5.680645161290323,1016.5387096774195,5.848387096774192,2657,0,1,0,0,0,1,0,0
201204,17.886666666666674,30.13333333333333,12.34,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,2.41,6.94,1016.7133333333333,12.596666666666666,1009.4133333333334,13.38,4695,0,1,0,0,0,1,0,0
201205,25.1483870967742,26.838709677419356,19.73225806451613,48.23225806451613,0.82,2.6516129032258067,8.106451612903228,2.0580645161290323,5.793548387096774,1013.032258064516,21.71290322580645,1008.8290322580646,22.825806451612905,7436,0,0,1,0,0,0,1,0
201303,10.83548387096774,25.258064516129032,5.135483870967743,49.1741935483871,3.4125,3.032258064516129,8.267741935483869,2.061290322580645,6.1,1021.6806451612904,5.516129032258063,1014.0322580645164,5.987096774193548,3030,0,1,0,0,0,1,0,0
201304,14.98,28.36666666666667,10.006666666666666,53.97666666666667,4.78,3.4266666666666663,7.1066666666666665,3.373333333333333,6.920000000000003,1016.39,10.313333333333333,1009.81,11.123333333333335,3146,0,1,0,0,0,1,0,0
201305,23.58709677419355,35.87096774193548,18.22258064516129,57.783870967741926,12.0,2.9,7.6806451612903235,2.941935483870968,5.861290322580645,1014.0677419354836,17.90645161290322,1009.1064516129032,19.883870967741935,5967,0,0,1,0,0,0,1,0
201403,13.058064516129033,33.03225806451613,7.890322580645161,59.83548387096774,0.5538461538461539,3.0290322580645164,6.925806451612903,2.419354838709677,6.441935483870967,1022.9032258064516,7.596428571428567,1016.8064516129036,8.225806451612902,3252,0,1,0,0,0,1,0,0
201404,19.63666666666666,36.03333333333333,13.963333333333335,59.87333333333333,4.428571428571429,2.8233333333333333,7.106666666666667,2.493333333333333,6.113333333333332,1019.2233333333332,14.111538461538462,1014.7466666666664,15.77,5129,0,1,0,0,0,1,0,0
201405,25.251612903225798,32.83870967741935,18.945161290322574,59.058064516129036,7.0,3.2032258064516133,9.806451612903226,1.5645161290322582,6.793548387096774,1013.5064516129033,18.98181818181818,1007.6451612903224,21.580645161290327,6544,0,0,1,0,0,0,1,0
201503,12.44516129032258,22.35483870967742,6.290322580645161,45.1741935483871,1.6,3.0838709677419347,8.735483870967744,0.9620689655172412,6.370967741935482,1024.2516129032256,5.929032258064518,1018.483870967742,6.493548387096777,3014,0,1,0,0,0,1,0,0
201504,18.826666666666664,32.23333333333333,13.326666666666664,54.38666666666665,5.03125,3.12,7.1999999999999975,2.783333333333333,6.523333333333335,1018.9766666666666,12.190000000000005,1012.8233333333336,14.029999999999998,4782,0,1,0,0,0,1,0,0
201505,24.887096774193548,30.35483870967742,18.883870967741935,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483872,1.9774193548387096,6.170967741935482,1011.7741935483873,18.861290322580643,1006.9677419354836,22.0,7557,0,0,1,0,0,0,1,0
201603,12.612903225806456,28.22580645161291,7.04516129032258,51.01612903225804,6.750000000000001,2.441935483870968,8.183870967741933,1.9096774193548385,5.10967741935484,1023.8258064516133,6.8741935483870975,1019.2,7.7,2894,0,1,0,0,0,1,0,0
201604,20.316666666666666,30.53333333333333,14.066666666666665,54.75666666666665,6.9818181818181815,2.4200000000000004,7.316666666666667,2.6300000000000003,5.44,1016.8633333333332,13.540000000000004,1009.5733333333328,15.513333333333335,4372,0,0,1,0,0,0,1,0
201605,25.68709677419355,31.22580645161291,19.55806451612904,56.21935483870967,14.590909090909092,2.367741935483872,9.035483870967745,2.5225806451612898,5.148387096774194,1014.3870967741935,18.648387096774194,1008.1806451612906,21.174193548387095,5335,0,0,1,0,0,0,1,0
201703,12.309677419354838,25.12903225806452,6.325806451612903,48.1032258064516,0.9875,2.367741935483872,8.23225806451613,1.848387096774193,5.432258064516129,1022.0258064516127,6.693548387096777,1017.1290322580646,7.12258064516129,2738,0,1,0,0,0,1,0,0
201704,19.95,27.66666666666667,13.933333333333335,52.37333333333334,6.16,2.55,8.656666666666665,2.28,5.766666666666665,1015.9366666666664,13.163333333333336,1009.8899999999996,14.74666666666667,4515,0,0,1,0,0,1,0,0
