date,평균 기온(°C),최다 풍향(16방위),일강수량(mm),합계 일조 시간(hr),9-9강수(mm),평균 전운량(10분위),합계 소형증발량(mm),최저 해면기압 시각(hhmi),최저 기온 시각(hhmi),열지수,평균 10cm 지중온도(°C),평균 상대습도(%),최대 순간풍속 시각(hhmi),최소 상대습도(%),풍정합(100m),최고 기온 시각(hhmi),평균 20cm 지중온도(°C),합계 일사량(MJ/m2),target,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201103,3.6161290322580646,246.45161290322585,2.085714285714286,7.7483870967741915,1.5375,3.3032258064516133,2.958064516129032,1298.548387096774,1033.548387096774,27,5.345161290322579,51.11290322580646,1466.548387096774,25.258064516129032,2950.032258064516,1464.4193548387098,5.235483870967744,16.34225806451613,228276,0,1,0,0
201104,10.719999999999997,226.0,10.009090909090908,6.7366666666666655,7.346666666666668,4.733333333333333,3.7566666666666673,1259.5333333333333,773.4333333333333,44,12.123333333333333,54.24,1339.1333333333334,28.66666666666667,2805.733333333333,1345.5,11.723333333333333,16.832333333333334,349368,0,1,0,0
201105,17.925806451612907,156.1290322580645,4.107692307692306,5.819354838709677,5.2785714285714285,5.641935483870969,4.3419354838709685,1458.6129032258066,953.3870967741935,58,19.09677419354839,56.41612903225806,1475.483870967742,32.16129032258065,2446.7096774193546,1397.1290322580646,18.45806451612903,17.091935483870962,438567,0,0,1,0
201203,5.090322580645162,210.0,3.3857142857142857,6.187096774193549,3.3857142857142857,5.193548387096775,2.770967741935485,1204.3225806451612,1075.8387096774193,30,5.780645161290321,51.84516129032257,1627.7419354838707,28.41935483870968,3052.483870967741,1262.9032258064515,5.490322580645163,11.855161290322581,233028,0,1,0,0
201204,12.34,200.66666666666663,17.444444444444443,7.083333333333334,15.7,4.6,4.406666666666667,1352.5333333333333,755.1333333333333,47,12.860000000000005,54.10333333333333,1350.2333333333333,30.13333333333333,2953.5333333333333,1307.3333333333333,12.34,14.949333333333328,336255,0,1,0,0
201205,19.73225806451613,187.41935483870967,0.82,8.106451612903228,0.9111111111111108,4.303225806451614,6.022580645161291,1382.516129032258,655.516129032258,62,22.14193548387097,48.23225806451613,1415.354838709677,26.838709677419356,2293.870967741936,1390.516129032258,21.4258064516129,17.851612903225806,481103,0,0,1,0
201303,5.135483870967743,226.7741935483871,3.4125,8.267741935483869,3.4714285714285715,3.3193548387096765,3.1193548387096763,1248.3870967741937,877.0967741935484,30,5.667741935483869,49.1741935483871,1245.1290322580646,25.258064516129032,2622.548387096774,1262.6129032258063,5.545161290322581,14.300322580645163,179912,0,1,0,0
201304,10.006666666666666,198.66666666666663,4.78,7.1066666666666665,3.983333333333333,5.006666666666667,3.7033333333333336,1308.6333333333334,1057.4,42,10.64,53.97666666666667,1407.1333333333334,28.36666666666667,2954.9,1183.1666666666667,10.473333333333333,14.995333333333333,276043,0,1,0,0
201305,18.22258064516129,225.4838709677419,12.0,7.6806451612903235,11.0,4.664516129032259,4.612903225806452,1351.0967741935485,747.1290322580646,59,18.987096774193546,57.783870967741926,1481.4193548387098,35.87096774193548,2509.483870967742,1377.9354838709678,18.467741935483872,16.55483870967742,522279,0,0,1,0
201403,7.890322580645161,229.67741935483872,0.5538461538461539,6.925806451612903,0.6,3.93225806451613,3.0741935483870964,1200.741935483871,950.5806451612905,37,7.945161290322582,59.83548387096774,1416.2580645161293,33.03225806451613,2618.322580645161,1431.0645161290322,7.845161290322581,12.646774193548383,223788,0,1,0,0
201404,13.963333333333335,197.33333333333331,4.428571428571429,7.106666666666667,3.875,4.746666666666667,3.31,1459.333333333333,719.0,50,15.183333333333335,59.87333333333333,1519.833333333333,36.03333333333333,2435.333333333333,1443.5666666666666,14.836666666666664,15.166666666666664,360411,0,1,0,0
201405,18.945161290322574,234.83870967741936,7.0,9.806451612903226,9.0,3.170967741935484,4.693548387096773,1036.3225806451612,926.032258064516,60,20.56451612903226,59.058064516129036,1462.161290322581,32.83870967741935,2774.483870967741,1452.7096774193549,20.00322580645161,20.25225806451613,457248,0,0,1,0
