예보시각,관광기후지수,관광기후지수등급,평균기온,최고기온,최고기온시각,최저기온,최저기온시각,일교차,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각,일조합,일조율,일사합,평균습도(%rh),최저습도(%rh),평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),최대순간풍속(m/s),최대순간풍속풍향(deg),최대순간풍속시각,최대풍속시각,year_month_day,year_month,month_day,year,month,date,day
2020-01-25,-0.030800000000000008,2.0,4.3,8.8,1202,0.6,251,8.2,0.0,0.0,0,3.6,35.6,7.86,63.1,49.0,1.5,3.9,320.0,6.8,320.0,1941,1851,20200125,202001,125,2020,1,25,Saturday
2020-01-26,-0.022000000000000006,2.0,5.5,11.9,1516,-0.2,747,12.1,0.0,0.0,0,7.3,72.3,11.21,56.3,31.0,2.7,6.1,70.0,11.1,90.0,2122,1948,20200126,202001,126,2020,1,26,Sunday
2020-01-27,-0.8371999999999998,1.0,5.9,7.5,1418,4.8,2331,2.7,0.1,0.0,0,0.0,0.0,2.76,48.1,35.0,4.6,7.0,70.0,13.7,90.0,720,1649,20200127,202001,127,2020,1,27,Monday
2020-01-28,-0.4315999999999999,1.0,6.8,9.9,1442,4.3,231,5.6,0.0,0.0,0,0.0,0.0,3.98,49.4,37.0,2.6,5.4,70.0,8.8,70.0,2030,2028,20200128,202001,128,2020,1,28,Tuesday
2020-01-29,-0.3948,1.0,6.0,9.6,1450,3.2,708,6.4,0.0,0.0,0,3.1,30.4,7.3,46.4,35.0,2.1,3.6,70.0,5.8,50.0,947,1921,20200129,202001,129,2020,1,29,Wednesday
2020-01-30,-0.16120000000000004,2.0,5.2,10.4,1249,1.4,814,9.0,0.0,0.0,0,5.5,53.4,9.24,47.0,30.0,1.8,3.0,320.0,5.7,290.0,1748,1433,20200130,202001,130,2020,1,30,Thursday
2020-01-31,-0.27159999999999995,1.64,3.9,8.9,1347,1.4,2357,7.5,0.0,0.0,0,6.1,59.2,9.41,59.6,41.0,2.3,4.4,270.0,8.1,230.0,1545,1435,20200131,202001,131,2020,1,31,Friday
2020-02-01,-0.08000000000000003,2.0,2.6,7.6,1556,-1.2,705,8.8,0.0,0.0,0,5.3,51.5,7.17,66.6,43.0,1.7,4.7,270.0,7.7,320.0,1434,1457,20200201,202002,201,2020,2,1,Saturday
2020-02-02,-0.31239999999999984,1.0,1.5,5.3,1309,-2.1,747,7.4,0.0,0.0,0,4.8,46.6,8.39,52.3,24.0,1.8,4.7,320.0,7.3,290.0,1815,1821,20200202,202002,202,2020,2,2,Sunday
2020-02-03,-0.3780000000000001,1.16,-0.4,3.0,1456,-2.9,2357,5.9,0.0,0.0,0,9.6,92.3,13.56,43.6,23.0,3.1,5.7,270.0,9.0,290.0,1419,1448,20200203,202002,203,2020,2,3,Monday
2020-02-04,-0.8048000000000003,1.0,-1.6,3.9,1429,-6.0,635,9.9,1.7,0.0,0,6.4,61.5,10.01,50.3,32.0,2.8,6.2,340.0,10.8,340.0,2351,2059,20200204,202002,204,2020,2,4,Tuesday
2020-02-05,-0.41159999999999997,1.0,-8.3,-4.9,1601,-11.0,757,6.1,0.0,0.0,0,9.7,92.4,14.82,37.3,27.0,3.3,5.5,320.0,10.2,320.0,50,154,20200205,202002,205,2020,2,5,Wednesday
2020-02-06,-0.18000000000000005,2.0,-6.4,0.4,1433,-11.8,634,12.2,0.0,0.0,0,9.7,92.4,13.97,36.4,19.0,1.9,4.0,290.0,7.0,290.0,2005,2018,20200206,202002,206,2020,2,6,Thursday
2020-02-07,-0.5215999999999997,1.0,-1.7,2.2,1533,-7.2,123,9.4,0.0,0.0,0,6.1,58.1,10.14,45.1,14.0,2.0,3.5,320.0,6.9,340.0,1523,1440,20200207,202002,207,2020,2,7,Friday
2020-02-08,-0.12480000000000008,2.0,-0.1,3.7,1611,-2.3,803,6.0,0.0,0.0,0,9.6,90.6,13.89,48.1,29.0,3.0,5.3,340.0,8.9,270.0,1538,1200,20200208,202002,208,2020,2,8,Saturday
2020-02-09,-0.14320000000000008,2.0,-0.5,4.1,1447,-5.6,742,9.7,0.0,0.0,0,9.6,90.6,14.33,51.1,24.0,2.0,4.4,270.0,8.0,230.0,1553,1314,20200209,202002,209,2020,2,9,Sunday
2020-02-10,0.025200000000000014,2.0,4.0,9.6,1500,-0.7,646,10.3,0.0,0.0,0,9.7,91.5,14.22,49.4,25.0,1.7,4.2,320.0,7.8,360.0,1334,1312,20200210,202002,210,2020,2,10,Monday
2020-02-11,0.1084,2.96,6.8,14.6,1526,-0.5,711,15.1,0.0,0.0,0,7.6,71.0,10.91,37.0,17.0,1.6,3.6,70.0,5.7,90.0,847,852,20200211,202002,211,2020,2,11,Tuesday
2020-02-12,-0.8147999999999999,1.0,7.4,8.2,1928,6.5,1219,1.7,6.7,0.0,0,0.0,0.0,2.86,73.4,31.0,2.2,5.0,70.0,7.9,70.0,1150,1226,20200212,202002,212,2020,2,12,Wednesday
2020-02-13,-0.31479999999999986,1.16,6.5,8.7,1534,4.9,656,3.8,0.0,0.0,0,1.3,12.1,6.43,84.8,69.0,1.7,3.2,200.0,5.3,200.0,1127,1506,20200213,202002,213,2020,2,13,Thursday
2020-02-14,0.1116,3.0,8.1,14.7,1631,3.2,708,11.5,0.0,0.0,0,8.7,80.6,13.13,70.3,41.0,1.2,3.0,200.0,4.9,320.0,127,1438,20200214,202002,214,2020,2,14,Friday
2020-02-15,-0.15360000000000007,2.0,9.8,15.6,1250,6.2,735,9.4,2.0,0.0,0,5.0,46.3,8.77,63.0,37.0,2.7,5.0,70.0,9.0,320.0,2035,456,20200215,202002,215,2020,2,15,Saturday
2020-02-16,-0.9600000000000005,1.0,-1.4,7.7,1,-4.3,2245,12.0,13.4,0.0,0,1.6,14.8,4.14,81.1,59.0,4.0,6.6,270.0,11.5,270.0,1400,1407,20200216,202002,216,2020,2,16,Sunday
2020-02-17,-0.9712000000000002,1.0,-5.9,-3.9,130,-7.1,2258,3.2,1.0,0.0,0,3.2,29.4,7.08,64.3,52.0,3.4,5.6,320.0,9.4,320.0,1659,1702,20200217,202002,217,2020,2,17,Monday
2020-02-18,-0.10320000000000001,2.0,-4.1,1.3,1608,-8.3,745,9.6,0.0,0.0,0,10.1,92.7,16.78,44.0,27.0,2.3,4.1,290.0,6.6,290.0,916,1458,20200218,202002,218,2020,2,18,Tuesday
2020-02-19,-0.12960000000000005,2.0,1.0,6.4,1512,-4.4,624,10.8,0.0,0.0,0,7.4,67.3,12.13,56.8,35.0,1.5,3.2,270.0,5.4,250.0,1415,1504,20200219,202002,219,2020,2,19,Wednesday
2020-02-20,0.05240000000000003,2.0,4.6,10.8,1547,-0.6,659,11.4,0.0,0.0,0,9.4,85.5,13.71,62.6,35.0,1.7,3.3,290.0,6.0,270.0,1454,1444,20200220,202002,220,2020,2,20,Thursday
2020-02-21,-0.38839999999999997,1.0,6.7,10.9,1438,2.1,459,8.8,4.2,0.0,0,1.1,10.0,6.5,66.3,40.0,2.2,5.3,250.0,9.7,250.0,2049,2050,20200221,202002,221,2020,2,21,Friday
2020-02-22,-0.2663999999999999,1.64,4.0,7.9,1246,0.0,2340,7.9,3.1,0.0,0,5.9,53.2,9.06,62.0,40.0,4.0,8.2,320.0,14.4,290.0,1319,1324,20200222,202002,222,2020,2,22,Saturday
2020-02-23,-0.05320000000000003,2.0,2.5,8.0,1446,-2.5,645,10.5,0.0,0.0,0,10.2,91.9,17.37,48.6,25.0,2.0,4.2,270.0,8.1,290.0,1434,1435,20200223,202002,223,2020,2,23,Sunday
2020-02-24,-0.08160000000000002,2.0,7.0,12.2,1408,0.8,514,11.4,0.0,0.0,0,7.7,69.4,13.21,51.8,35.0,1.6,3.4,230.0,6.2,250.0,1442,1445,20200224,202002,224,2020,2,24,Monday
2020-02-25,-0.9347999999999997,1.0,6.7,9.4,1642,4.7,2400,4.7,16.6,0.0,0,0.6,5.4,4.11,73.5,58.0,4.2,6.8,70.0,12.4,90.0,1646,1603,20200225,202002,225,2020,2,25,Tuesday
2020-02-26,-0.20160000000000003,2.0,6.4,10.4,1513,2.8,423,7.6,0.0,0.0,0,4.8,42.9,10.45,59.6,39.0,2.1,4.0,340.0,6.6,70.0,24,1411,20200226,202002,226,2020,2,26,Wednesday
2020-02-27,0.04600000000000002,2.0,6.1,12.5,1528,1.3,657,11.2,0.0,0.0,0,10.4,92.0,16.77,54.0,27.0,2.0,4.4,250.0,7.0,200.0,1740,1747,20200227,202002,227,2020,2,27,Thursday
2020-02-28,-0.7648,1.0,4.5,5.9,1013,3.6,1335,2.3,3.9,0.0,0,0.0,0.0,2.41,79.4,43.0,1.4,4.2,230.0,8.1,250.0,1020,1028,20200228,202002,228,2020,2,28,Friday
2020-02-29,0.017200000000000007,2.0,7.7,13.0,1550,4.5,1,8.5,0.5,0.0,0,9.5,84.1,17.12,68.6,41.0,1.7,4.2,270.0,6.4,270.0,1449,1658,20200229,202002,229,2020,2,29,Saturday
