예보시각,전체 도시 이름,시도,시군구,시군구코드,관광기후지수,관광기후지수등급
2021-03-31 00:00,서울 강남구,서울,강남구,1168000000,0.38,매우좋음
2021-03-30 00:00,서울 강남구,서울,강남구,1168000000,0.2,좋음
2021-03-29 00:00,서울 강남구,서울,강남구,1168000000,-0.05,보통
2021-03-28 00:00,서울 강남구,서울,강남구,1168000000,-0.71,나쁨
2021-03-27 00:00,서울 강남구,서울,강남구,1168000000,-1.1,나쁨
2021-03-26 00:00,서울 강남구,서울,강남구,1168000000,0.12,좋음
2021-03-25 00:00,서울 강남구,서울,강남구,1168000000,0.14,좋음
2021-03-24 00:00,서울 강남구,서울,강남구,1168000000,0.06,보통
2021-03-23 00:00,서울 강남구,서울,강남구,1168000000,-0.07,보통
2021-03-22 00:00,서울 강남구,서울,강남구,1168000000,-0.11,보통
2021-03-21 00:00,서울 강남구,서울,강남구,1168000000,-0.36,나쁨
2021-03-20 00:00,서울 강남구,서울,강남구,1168000000,-0.69,나쁨
2021-03-19 00:00,서울 강남구,서울,강남구,1168000000,-0.07,보통
2021-03-18 00:00,서울 강남구,서울,강남구,1168000000,-0.11,보통
2021-03-17 00:00,서울 강남구,서울,강남구,1168000000,0.16,좋음
2021-03-16 00:00,서울 강남구,서울,강남구,1168000000,-0.01,보통
2021-03-15 00:00,서울 강남구,서울,강남구,1168000000,-0.39,나쁨
2021-03-14 00:00,서울 강남구,서울,강남구,1168000000,0.03,보통
2021-03-13 00:00,서울 강남구,서울,강남구,1168000000,-0.37,나쁨
2021-03-12 00:00,서울 강남구,서울,강남구,1168000000,-0.69,나쁨
2021-03-11 00:00,서울 강남구,서울,강남구,1168000000,-0.14,보통
2021-03-10 00:00,서울 강남구,서울,강남구,1168000000,0.1,보통
2021-03-09 00:00,서울 강남구,서울,강남구,1168000000,-0.37,나쁨
2021-03-08 00:00,서울 강남구,서울,강남구,1168000000,0.11,좋음
2021-03-07 00:00,서울 강남구,서울,강남구,1168000000,-0.41,나쁨
2021-03-06 00:00,서울 강남구,서울,강남구,1168000000,-0.51,나쁨
2021-03-05 00:00,서울 강남구,서울,강남구,1168000000,0.11,좋음
2021-03-04 00:00,서울 강남구,서울,강남구,1168000000,-0.37,나쁨
2021-03-03 00:00,서울 강남구,서울,강남구,1168000000,-0.03,보통
2021-03-02 00:00,서울 강남구,서울,강남구,1168000000,-0.33,나쁨
2021-03-01 00:00,서울 강남구,서울,강남구,1168000000,-1.22,나쁨
2021-02-28 00:00,서울 강남구,서울,강남구,1168000000,-0.14,보통
2021-02-27 00:00,서울 강남구,서울,강남구,1168000000,-0.09,보통
2021-02-26 00:00,서울 강남구,서울,강남구,1168000000,-0.01,보통
2021-02-25 00:00,서울 강남구,서울,강남구,1168000000,-0.22,보통
2021-02-24 00:00,서울 강남구,서울,강남구,1168000000,-0.22,보통
2021-02-23 00:00,서울 강남구,서울,강남구,1168000000,-0.26,나쁨
2021-02-22 00:00,서울 강남구,서울,강남구,1168000000,-0.09,보통
2021-02-21 00:00,서울 강남구,서울,강남구,1168000000,0.08,보통
2021-02-20 00:00,서울 강남구,서울,강남구,1168000000,-0.01,보통
2021-02-19 00:00,서울 강남구,서울,강남구,1168000000,-0.23,보통
2021-02-18 00:00,서울 강남구,서울,강남구,1168000000,-0.3,나쁨
2021-02-17 00:00,서울 강남구,서울,강남구,1168000000,-0.59,나쁨
2021-02-16 00:00,서울 강남구,서울,강남구,1168000000,-1.03,나쁨
2021-02-15 00:00,서울 강남구,서울,강남구,1168000000,-0.62,나쁨
2021-02-14 00:00,서울 강남구,서울,강남구,1168000000,-0.31,나쁨
2021-02-13 00:00,서울 강남구,서울,강남구,1168000000,0.11,좋음
2021-02-12 00:00,서울 강남구,서울,강남구,1168000000,0.11,좋음
2021-02-11 00:00,서울 강남구,서울,강남구,1168000000,0.03,보통
2021-02-10 00:00,서울 강남구,서울,강남구,1168000000,-0.34,나쁨
