"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20120101 ~ 20121231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","121-11","0121","0011","(121-11)","57.6","29.67","201209","17","13,500","1","1993","솔매로52길 14",""
"서울특별시 강북구 미아동","1264-157","1264","0157","(1264-157)","61.12","48.09","201203","5","15,500","2","1987","솔샘로60길 57",""
"서울특별시 강북구 미아동","1264-157","1264","0157","(1264-157)","61.12","48.09","201211","8","16,500","2","1987","솔샘로60길 57",""
"서울특별시 강북구 미아동","218-55","0218","0055","(218-55)","39.02","35","201203","17","12,500","2","1992","도봉로65길 43-4",""
"서울특별시 강북구 미아동","218-55","0218","0055","(218-55)","44.48","39","201210","5","13,200","1","1992","도봉로65길 43-4",""
"서울특별시 강북구 미아동","229-16","0229","0016","(229-16)","40.34","25.69","201203","13","12,000","2","1991","솔매로41길 31-66",""
"서울특별시 강북구 미아동","258-115","0258","0115","(258-115)","41.4","30.22","201208","23","10,800","1","1986","오패산로52라길 9",""
"서울특별시 강북구 미아동","258-121","0258","0121","(258-121)","43.98","39.66","201209","13","9,800","2","1987","오패산로52라길 16",""
"서울특별시 강북구 미아동","258-225","0258","0225","(258-225)","52.92","35.55","201209","7","12,300","1","1987","오패산로52다길 50",""
"서울특별시 강북구 미아동","258-269","0258","0269","(258-269)","41.31","30.35","201211","1","9,000","-1","1987","오현로9길 126",""
"서울특별시 강북구 미아동","258-343","0258","0343","(258-343)","60","43","201207","24","12,000","1","1977","오패산로58길 6-8",""
"서울특별시 강북구 미아동","258-497","0258","0497","(258-497)","47.86","37.35","201211","12","12,250","1","1986","오패산로52나길 28",""
"서울특별시 강북구 미아동","258-500","0258","0500","(258-500)","32.85","25.6","201202","7","8,300","-1","1986","오패산로52나길 20",""
"서울특별시 강북구 미아동","258-503","0258","0503","(258-503)","45.27","35.66","201204","26","11,900","2","1986","오패산로52마길 28",""
"서울특별시 강북구 미아동","258-51","0258","0051","(258-51)","36.36","24.7","201201","13","8,000","2","1988","오패산로52아길 20",""
"서울특별시 강북구 미아동","258-51","0258","0051","(258-51)","36.36","24.6","201210","4","6,500","-1","1988","오패산로52아길 20",""
"서울특별시 강북구 미아동","258-579","0258","0579","(258-579)","39.56","26.67","201209","7","7,000","2","1987","오패산로52사길 25",""
"서울특별시 강북구 미아동","258-590","0258","0590","(258-590)","39.86","26.7","201210","29","7,800","1","1987","오패산로52길 127",""
"서울특별시 강북구 미아동","258-590","0258","0590","(258-590)","39.86","26.66","201212","17","6,000","2","1987","오패산로52길 127",""
"서울특별시 강북구 미아동","258-696","0258","0696","(258-696)","51.76","33.26","201212","5","12,500","-1","1988","오패산로52길 78",""
"서울특별시 강북구 미아동","258-721","0258","0721","(258-721)","50.24","42.25","201211","23","12,800","2","1990","오패산로52가길 7-9",""
"서울특별시 강북구 미아동","258-721","0258","0721","(258-721)","50.24","42.25","201211","24","12,000","1","1990","오패산로52가길 7-10",""
"서울특별시 강북구 미아동","3-220","0003","0220","(3-220)","67.41","37.26","201205","31","21,300","4","2007","도봉로18다길 21-22",""
"서울특별시 강북구 미아동","3-491","0003","0491","(3-491)","69.8","38.2","201204","5","18,000","4","2005","오현로9길 62",""
"서울특별시 강북구 미아동","3-617","0003","0617","(3-617)","47.43","26.28","201203","7","14,000","1","1992","오현로9나길 21",""
"서울특별시 강북구 미아동","403-160","0403","0160","(403-160)","29.76","15.61","201204","18","7,900","-1","1993","삼양로24가길 8",""
"서울특별시 강북구 미아동","439-185","0439","0185","(439-185)","43.96","27.26","201212","31","18,000","1","1992","삼양로20나길 5",""
"서울특별시 강북구 미아동","636-152","0636","0152","(636-152)","20.02","12.9","201207","23","9,000","-1","1992","숭인로7길 46",""
"서울특별시 강북구 미아동","772-15","0772","0015","(772-15)","52.36","59.2","201212","26","11,000","2","1978","솔매로 78-12",""
"서울특별시 강북구 미아동","776-140","0776","0140","(776-140)","70.11","35.3","201212","24","15,000","2","2008","솔매로22길 25",""
"서울특별시 강북구 미아동","783-20","0783","0020","(783-20)","43.65","28.4","201210","31","15,500","3","2008","솔매로41길 37-25",""
"서울특별시 강북구 미아동","791-1799","0791","1799","(791-1799)","51.7","18.3","201207","5","10,300","3","2002","인수봉로17길 6-3",""
"서울특별시 강북구 미아동","791-1846","0791","1846","(791-1846)","48","22.87","201211","6","11,000","2","1997","솔매로22가길 50",""
"서울특별시 강북구 미아동","791-2109","0791","2109","(791-2109)","41.16","35.1","201211","6","10,000","-1","1986","삼양로41길 42",""
"서울특별시 강북구 미아동","791-2741","0791","2741","(791-2741)","57.08","34.57","201212","13","20,000","2","2012","인수봉로6길 16-3",""
"서울특별시 강북구 미아동","791-3279","0791","3279","(791-3279)","47.93","63.25","201209","28","18,000","2","1977","인수봉로8길 19",""
"서울특별시 강북구 미아동","80-58","0080","0058","(80-58)","12.12","10.65","201208","17","5,000","5","2005","오패산로38길 6-12",""
"서울특별시 강북구 미아동","836-50","0836","0050","(836-50)","28.86","19.84","201202","15","6,500","-1","1994","삼양로41길 88-5",""
"서울특별시 강북구 미아동","87-3","0087","0003","(87-3)","50.64","31.11","201209","3","18,500","2","2004","오현로8길 9",""
"서울특별시 강북구 미아동","87-34","0087","0034","(87-34)","67.74","28.06","201208","29","20,000","5","2004","오패산로 161",""
