baseYmd,daywkDivCd,daywkDivNm,signguCode,signguNm,touDivCd,touDivNm,touNum
20210426,1,월요일,47930,울진군,3,외국인(c),31.70683544
20210426,1,월요일,47940,울릉군,1,현지인(a),6342
20210426,1,월요일,47940,울릉군,2,외지인(b),6097
20210426,1,월요일,47940,울릉군,3,외국인(c),81.51697297
20210426,1,월요일,48121,창원시 의창구,1,현지인(a),132114.5
20210426,1,월요일,48121,창원시 의창구,2,외지인(b),86831.5
20210426,1,월요일,48121,창원시 의창구,3,외국인(c),20.39595855
20210426,1,월요일,48123,창원시 성산구,1,현지인(a),123144
20210426,1,월요일,48123,창원시 성산구,2,외지인(b),69695.5
20210426,1,월요일,48123,창원시 성산구,3,외국인(c),65.96124161
20210426,1,월요일,48125,창원시 마산합포구,1,현지인(a),96075
20210426,1,월요일,48125,창원시 마산합포구,2,외지인(b),57939
20210426,1,월요일,48125,창원시 마산합포구,3,외국인(c),51.44484018
20210426,1,월요일,48127,창원시 마산회원구,1,현지인(a),90058.5
20210426,1,월요일,48127,창원시 마산회원구,2,외지인(b),49994
20210426,1,월요일,48127,창원시 마산회원구,3,외국인(c),27.14449074
20210426,1,월요일,48129,창원시 진해구,1,현지인(a),82502
20210426,1,월요일,48129,창원시 진해구,2,외지인(b),42371
20210426,1,월요일,48129,창원시 진해구,3,외국인(c),353.3341812
20210426,1,월요일,48170,진주시,1,현지인(a),163649.5
20210426,1,월요일,48170,진주시,2,외지인(b),46361
20210426,1,월요일,48170,진주시,3,외국인(c),16.18166667
20210426,1,월요일,48220,통영시,1,현지인(a),74119.5
20210426,1,월요일,48220,통영시,2,외지인(b),31780
20210426,1,월요일,48220,통영시,3,외국인(c),419.3285106
20210426,1,월요일,48240,사천시,1,현지인(a),57361.5
20210426,1,월요일,48240,사천시,2,외지인(b),31566.5
20210426,1,월요일,48240,사천시,3,외국인(c),49.69546099
20210426,1,월요일,48250,김해시,1,현지인(a),261271.5
20210426,1,월요일,48250,김해시,2,외지인(b),98423.5
20210426,1,월요일,48250,김해시,3,외국인(c),57.90657183
20210426,1,월요일,48270,밀양시,1,현지인(a),56805
20210426,1,월요일,48270,밀양시,2,외지인(b),28637
20210426,1,월요일,48270,밀양시,3,외국인(c),10.202
20210426,1,월요일,48310,거제시,1,현지인(a),222355
20210426,1,월요일,48310,거제시,2,외지인(b),47173
20210426,1,월요일,48310,거제시,3,외국인(c),293.2933897
