강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구
24.0,22.259372628096244,25.788851153636262,20.0,28.21049098505271,23.854316431096272,16.818974396948413,21.0,22.0,23.0,22.0,25.0,22.551544519433893,15.999999999999998,23.666636633368675,24.702301134941713,22.481040381196248,24.562530289773637,24.0,23.0,24.8156352015732,19.0,22.017558138734795,23.76545300400377
24.0,33.730685301604204,35.384989413932296,20.0,39.41519824897429,35.22497675425765,27.38876739937559,21.0,22.0,23.0,22.0,25.0,31.398375704107416,15.999999999999998,34.03021058265734,35.59461803916459,34.88569757602306,28.938933886382134,24.0,23.0,35.61230937400876,19.0,32.108230649418644,34.43747904243402
24.0,34.50271794536389,33.043518807459385,20.0,35.163419490537564,36.45478870055641,25.19659719435687,21.0,22.0,23.0,22.0,25.0,29.12040700390171,15.999999999999998,33.54478370561892,34.57392205758464,35.65597955643157,30.750484822941843,24.0,23.0,34.59959660214059,19.0,31.34244620155055,33.973040500602835
24.0,28.332836158087318,27.485445917661135,20.0,30.428165464030087,30.136292632932495,20.941827046579238,21.0,22.0,23.0,22.0,25.0,25.78832870860718,15.999999999999998,28.773431922065143,29.31734132945715,29.692243304795493,29.79577369234902,24.0,23.0,29.5255504807501,19.0,26.90268305081884,31.22868461893344
24.0,24.10135043243733,25.569365688279202,20.0,27.827498623215575,25.81105420619643,18.084008074145817,21.0,22.0,23.0,22.0,25.0,23.23883450717598,15.999999999999998,25.33668702311981,25.80689826216761,24.460491933537597,28.604864434745913,24.0,23.0,25.982413181498472,19.0,23.349155048054445,26.66625402540975
24.0,27.69724676461523,29.686045792862533,20.0,32.68951061484119,29.077027655903873,21.705078438270206,21.0,22.0,23.0,22.0,25.0,25.864310293043353,15.999999999999998,28.3286664665157,29.431629261809498,27.6107374045288,28.441681423580164,24.0,23.0,29.442759337486837,19.0,26.3353525220818,28.42029455583722
