일시,서울_종로구_경복궁,서울_종로구_종묘,서울_종로구_창경궁,서울_종로구_창덕궁,서울_중구_남산골한옥마을,서울_중구_덕수궁,서울_중구_서울시립미술관 본관,서울_용산구_국립중앙박물관,서울_노원구_태릉 ·  강릉 · 조선왕릉전시관,서울_서대문구_서대문형무소역사관,서울_마포구_트릭아이미술관,서울_서초구_헌릉ㆍ인릉,서울_강남구_선릉·정릉
2018년 07월,200582,9292,22117,33991,59624,62863,137954,295363,2282,27219,7564,1437,19380
2018년 08월,198930,32713,21776,36869,57435,69297,159112,494328,1828,56692,9309,1290,16383
2018년 09월,528333,71377,126902,164660,188897,184077,110687,267912,11439,53653,4165,4263,43076
2018년 10월,434708,50839,93826,162503,169039,179495,93147,325753,18878,92872,5014,5457,37953
2018년 11월,290439,64956,70895,129743,108672,141650,92200,194097,13426,45849,2345,2901,24745
2018년 12월,201767,45469,20647,38884,70399,129213,97456,258904,5635,36304,3615,1237,11815
2019년 01월,169113,36179,32591,38405,64666,109930,106456,295344,1735,35384,5424,1399,11638
2019년 02월,263784,40624,68948,78028,84249,123757,94846,290328,2829,41006,4003,1733,14158
2019년 03월,233317,32188,54559,74191,91944,143929,118287,165737,4199,126027,2249,2321,23425
2019년 04월,387075,33694,100571,130386,156504,199321,150643,164391,7844,94462,1733,3802,40744
2019년 05월,449268,53558,94260,143546,155493,246336,189652,307561,16639,127310,4889,5526,46550
2019년 06월,321317,26297,52225,83135,117601,170424,142873,197532,8446,48332,3331,6158,39198
2019년 07월,264643,15405,30092,48693,75664,104458,319251,317321,3368,48332,4727,2079,22426
2019년 08월,260658,29250,55413,70899,73788,149905,273904,478483,7079,106315,7269,3928,29629
2019년 09월,494024,12956,88586,159379,142530,181790,130096,244301,8488,97723,2437,4356,32549
2019년 10월,464290,30737,92701,195038,163316,280107,123357,289342,26628,127285,4148,8726,56195
2019년 11월,327614,44043,85831,162858,125777,222529,57786,197011,8802,62358,2920,5719,30117
2019년 12월,239734,34711,24830,53852,68460,112314,97041,268274,1754,53841,4146,3415,13513
