"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","3**","다가구","8m미만","140.07","99","201611","2","45,000","1992","솔샘로59가길",""
"서울특별시 강북구 미아동","5*","다가구","8m미만","145.31","99","201609","10","56,000","1992","도봉로10다길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","145.78","99","201610","10","39,000","1991","숭인로13길",""
"서울특별시 강북구 미아동","*","다가구","8m미만","147.31","99","201610","27","36,000","1994","오패산로30가길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","149.76","99","201609","27","45,000","1993","솔샘로64나길",""
"서울특별시 강북구 미아동","8**","다가구","8m미만","151.36","99","201607","11","36,000","1989","솔샘로",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","157.38","99","201604","7","39,000","1991","솔샘로64나길",""
"서울특별시 강북구 미아동","8**","다가구","8m미만","164.25","99","201607","18","33,000","1991","솔샘로",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","165.87","99","201604","30","31,500","1993","삼양로57길",""
"서울특별시 강북구 미아동","8**","다가구","8m미만","180.13","99","201605","19","38,500","1991","솔샘로",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","234.24","99","201604","21","52,000","1996","삼양로38길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","146","100.2","201607","30","40,900","1993","도봉로72길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","148.86","101.5","201610","14","42,750","1993","도봉로39길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","149.76","101.5","201603","20","38,000","1992","도봉로28가길",""
"서울특별시 강북구 미아동","4*","다가구","8m미만","135.72","102","201606","22","39,700","1994","월계로7길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","149.4","102","201605","23","33,000","1994","도봉로29길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","160.08","102","201608","8","33,900","1994","삼양로38라길",""
"서울특별시 강북구 미아동","4*","다가구","8m미만","174.68","102","201610","22","52,000","1991","월계로13길",""
"서울특별시 강북구 미아동","7*","다가구","8m미만","183.77","102","201608","5","91,500","1991","오패산로31길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","163.5","102.5","201610","28","53,000","1992","솔매로36길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","149.67","103.5","201610","2","50,500","1993","도봉로39길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","149.24","104.1","201601","9","39,300","1993","도봉로28길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","160.26","104.5","201604","1","47,500","2002","도봉로38길",""
"서울특별시 강북구 미아동","5*","다가구","8m미만","149.58","106","201609","27","63,500","1993","도봉로10다길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","149.74","106","201607","2","44,000","1990","솔샘로64나길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","162.48","106","201611","10","36,850","1995","삼양로46길",""
"서울특별시 강북구 미아동","6**","다가구","8m미만","197.38","106","201611","20","49,800","1992","삼양로28길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","149.22","107.1","201609","3","38,000","1992","도봉로26길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","178.94","108.4","201604","1","54,000","1996","도봉로57길",""
"서울특별시 강북구 미아동","8**","다가구","8m미만","165.84","109","201605","28","40,000","1988","솔샘로",""
"서울특별시 강북구 미아동","8**","다가구","8m미만","196.92","109","201609","8","42,900","1992","솔샘로47가길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","149.46","109.1","201609","2","38,500","1992","도봉로18나길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","149.46","109.1","201612","5","40,000","1992","도봉로18나길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","173.57","112","201605","7","46,300","1990","삼양로20나길",""
"서울특별시 강북구 미아동","*","다가구","25m미만","267.06","112","201611","22","45,331","1993","오현로",""
"서울특별시 강북구 미아동","3**","다가구","25m미만","252","112.1","201607","2","73,000","2002","삼양로54길",""
