"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","3-580","0003","0580","(3-580)","79.74","43.3","201608","29","23,200","3","1995","오현로9가길 33",""
"서울특별시 강북구 미아동","3-580","0003","0580","(3-580)","48.54","26.3","201611","16","14,393","1","1995","오현로9가길 33",""
"서울특별시 강북구 미아동","3-617","0003","0617","(3-617)","47.79","26.49","201609","5","13,050","2","1992","오현로9나길 21",""
"서울특별시 강북구 미아동","3-660","0003","0660","(3-660)","38.28","19.21","201602","13","9,920","1","1994","오현로11가길 36",""
"서울특별시 강북구 미아동","3-660","0003","0660","(3-660)","35.76","17.95","201612","2","13,600","1","1994","오현로11가길 36",""
"서울특별시 강북구 미아동","400-1","0400","0001","(400-1)","29.82","20.13","201611","9","13,800","-1","1989","솔샘로60가길 14",""
"서울특별시 강북구 미아동","403-147","0403","0147","(403-147)","75.57","26.45","201610","14","22,200","2","1973","솔샘로60길 17-9",""
"서울특별시 강북구 미아동","403-181","0403","0181","(403-181)","67.04","26.45","201611","29","18,700","1","1973","솔샘로60길 37-9",""
"서울특별시 강북구 미아동","411-1","0411","0001","(411-1)","48.24","32.87","201606","28","19,000","-1","1995","솔샘로60나길 19-2",""
"서울특별시 강북구 미아동","416-71","0416","0071","(416-71)","47.5","31.8","201607","2","20,000","2","1993","솔샘로64나길 38-3",""
