date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),풍정합(100m),최대 순간풍속 풍향(16방위),최저 해면기압 시각(hhmi),최대 순간풍속 시각(hhmi),창경궁
201101,1,-3.406451612903226,-7.183870967741936,35.12903225806452,53.8290322580645,1.1125,2.796774193548387,7.048387096774194,2415.3870967741937,279.6774193548387,1297.8387096774193,1332.3548387096773,17644
201102,2,5.864285714285715,1.2214285714285713,32.0,55.22857142857142,9.700000000000001,2.5535714285714284,5.949999999999998,2210.25,230.71428571428572,1382.5,1485.357142857143,35708
201103,3,8.345161290322581,3.6161290322580646,25.258064516129032,51.11290322580645,2.085714285714286,3.4064516129032265,7.748387096774192,2950.032258064516,247.09677419354838,1298.5483870967741,1466.5483870967741,29856
201104,4,15.596666666666664,10.719999999999997,28.666666666666668,54.239999999999995,10.009090909090908,3.243333333333333,6.736666666666665,2805.733333333333,235.66666666666666,1259.5333333333333,1339.1333333333334,70101
201105,5,22.983870967741936,17.925806451612903,32.16129032258065,56.41612903225806,4.107692307692307,2.832258064516129,5.819354838709677,2446.7096774193546,220.0,1458.6129032258063,1475.483870967742,78017
201106,6,26.576666666666664,21.97666666666667,46.233333333333334,66.56,20.225,2.923333333333334,5.693333333333333,2525.4333333333334,235.0,1273.8666666666666,1395.1,40319
201107,7,27.996774193548394,24.63870967741936,62.41935483870968,78.78709677419354,49.17391304347826,2.4193548387096775,2.593548387096774,2087.7096774193546,173.2258064516129,1307.9354838709678,1317.7096774193549,31333
201108,8,29.451612903225808,25.77419354838709,56.29032258064516,74.33548387096774,8.34,2.52258064516129,3.032258064516129,2181.2903225806454,180.6451612903226,1301.7096774193549,1407.4193548387098,48915
201109,9,26.573333333333338,21.75,37.3,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,2112.0666666666666,172.0,1158.8,1413.0333333333333,58076
201110,10,19.34838709677419,14.222580645161294,31.06451612903226,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666667,1850.1666666666667,240.0,1282.1935483870968,1458.9032258064517,97869
201111,11,14.693333333333335,10.68666666666667,41.96666666666667,60.376666666666665,3.746666666666667,2.7200000000000006,4.316666666666666,2349.8333333333335,191.66666666666666,1238.7333333333333,1384.3333333333333,61697
201112,12,2.851612903225808,-0.870967741935484,31.677419354838708,50.438709677419354,0.5916666666666667,2.6161290322580633,6.309677419354839,2258.6451612903224,233.2258064516129,1271.483870967742,1342.3225806451612,21267
201201,1,1.338709677419355,-2.787096774193549,30.548387096774192,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,2186.7096774193546,262.5806451612903,1265.9354838709678,1454.0,17458
201202,2,2.96896551724138,-2.0448275862068965,23.620689655172413,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,2468.4137931034484,255.51724137931035,1341.551724137931,1334.9310344827586,20267
201203,3,9.52258064516129,5.090322580645162,28.419354838709676,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,3052.483870967742,217.09677419354838,1204.3225806451612,1627.741935483871,27647
201204,4,17.88666666666667,12.34,30.133333333333333,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,2953.5333333333333,223.33333333333334,1352.5333333333333,1350.2333333333333,75936
201205,5,25.148387096774194,19.73225806451613,26.838709677419356,48.232258064516124,0.82,2.651612903225807,8.106451612903227,2293.8709677419356,203.5483870967742,1382.516129032258,1415.3548387096773,80267
201206,6,29.71666666666666,24.139999999999993,33.0,54.086666666666666,15.316666666666668,2.8,7.733333333333334,2424.0,193.0,1462.4,1413.2666666666667,47308
201207,7,29.025806451612908,25.412903225806453,55.935483870967744,73.83225806451615,21.376190476190477,2.729032258064516,4.645161290322581,2354.7096774193546,217.41935483870967,1056.4516129032259,1187.8387096774193,26241
