date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 순간풍속(m/s),최대 풍속(m/s),가조시간(hr),평균 지면온도(°C),5.0cm 지중온도(°C),합계 소형증발량(mm),서대문자연사박물관
201101,1,-3.406451612903226,-7.183870967741936,35.12903225806452,53.8290322580645,1.1125,2.796774193548387,7.048387096774194,8.651612903225807,5.593548387096773,9.906451612903227,-4.693548387096772,17.183870967741935,1.2096774193548387,34551
201102,2,5.864285714285715,1.2214285714285713,32.0,55.22857142857142,9.700000000000001,2.5535714285714284,5.949999999999998,7.907142857142858,5.239285714285715,10.803571428571429,1.6964285714285714,15.899999999999997,1.8035714285714288,20934
201103,3,8.345161290322581,3.6161290322580646,25.258064516129032,51.11290322580645,2.085714285714286,3.4064516129032265,7.748387096774192,10.890322580645162,6.87741935483871,11.951612903225804,6.361290322580647,14.67741935483871,2.9580645161290318,18641
201104,4,15.596666666666664,10.719999999999997,28.666666666666668,54.239999999999995,10.009090909090908,3.243333333333333,6.736666666666665,10.196666666666665,6.650000000000001,13.156666666666665,13.559999999999999,13.47,3.7566666666666673,24078
201105,5,22.983870967741936,17.925806451612903,32.16129032258065,56.41612903225806,4.107692307692307,2.832258064516129,5.819354838709677,9.922580645161288,6.23548387096774,14.187096774193545,20.96451612903226,13.241935483870964,4.3419354838709685,25593
201106,6,26.576666666666664,21.97666666666667,46.233333333333334,66.56,20.225,2.923333333333334,5.693333333333333,9.543333333333331,6.166666666666669,14.733333333333338,25.810000000000006,13.466666666666667,4.206666666666666,25607
201107,7,27.996774193548394,24.63870967741936,62.41935483870968,78.78709677419354,49.17391304347826,2.4193548387096775,2.593548387096774,8.474193548387097,5.219354838709679,14.48064516129032,26.477419354838705,16.038709677419348,2.583870967741936,29552
201108,8,29.451612903225808,25.77419354838709,56.29032258064516,74.33548387096774,8.34,2.52258064516129,3.032258064516129,8.409677419354837,5.193548387096773,13.6,27.499999999999996,17.638709677419357,3.3709677419354844,45851
201109,9,26.573333333333338,21.75,37.3,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,8.656666666666668,5.270000000000001,12.453333333333335,25.120000000000005,18.219999999999995,4.829999999999999,18775
201110,10,19.34838709677419,14.222580645161294,31.06451612903226,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666667,7.541935483870967,4.574193548387097,11.251612903225803,15.322580645161288,18.732258064516124,3.7580645161290325,27909
201111,11,14.693333333333335,10.68666666666667,41.96666666666667,60.376666666666665,3.746666666666667,2.7200000000000006,4.316666666666666,8.506666666666666,5.413333333333333,10.196666666666664,10.203333333333331,18.806666666666672,2.1166666666666663,27599
201112,12,2.851612903225808,-0.870967741935484,31.677419354838708,50.438709677419354,0.5916666666666667,2.6161290322580633,6.309677419354839,8.116129032258067,5.141935483870968,9.641935483870968,-0.5387096774193549,18.190322580645166,1.9516129032258067,19308
201201,1,1.338709677419355,-2.787096774193549,30.548387096774192,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,8.196774193548388,5.3419354838709685,9.903225806451612,-2.270967741935484,17.14193548387097,2.103225806451613,29042
201202,2,2.96896551724138,-2.0448275862068965,23.620689655172413,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,8.720689655172412,5.641379310344828,10.810344827586208,-0.7321428571428571,15.86206896551724,2.7034482758620686,18713
201203,3,9.52258064516129,5.090322580645162,28.419354838709676,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,10.574193548387097,6.532258064516128,11.983870967741934,6.2,14.616129032258067,2.770967741935485,30889
201204,4,17.88666666666667,12.34,30.133333333333333,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,11.040000000000001,6.9399999999999995,13.186666666666667,14.526666666666667,13.7,4.406666666666667,30026
201205,5,25.148387096774194,19.73225806451613,26.838709677419356,48.232258064516124,0.82,2.651612903225807,8.106451612903227,9.261290322580646,5.793548387096774,14.21290322580645,23.99032258064516,13.37333333333333,6.022580645161291,23186
201206,6,29.71666666666666,24.139999999999993,33.0,54.086666666666666,15.316666666666668,2.8,7.733333333333334,9.42666666666667,5.836666666666667,14.73666666666667,29.746666666666666,13.830000000000002,7.643333333333334,33053
201207,7,29.025806451612908,25.412903225806453,55.935483870967744,73.83225806451615,21.376190476190477,2.729032258064516,4.645161290322581,8.735483870967743,5.429032258064515,14.467741935483868,26.932258064516127,15.50666666666667,4.154838709677419,31982
201208,8,30.851612903225814,27.132258064516122,51.0,67.95483870967742,25.82777777777778,2.967741935483871,5.119354838709678,10.122580645161289,6.054838709677419,13.574193548387097,28.300000000000008,17.241935483870968,5.361290322580645,43775
201209,9,24.976666666666667,20.963333333333328,43.233333333333334,65.14999999999999,17.666666666666668,2.296666666666666,6.359999999999999,8.256666666666668,5.003333333333333,12.423333333333336,22.073333333333334,18.693333333333335,3.8066666666666658,21241
