,date,평균 기온(°C),최저 기온(°C),최저 기온 시각(hhmi),최고 기온(°C),최고 기온 시각(hhmi),1시간 최다강수량 시각(hhmi),일강수량(mm),최대 순간풍속(m/s),최대 순간풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다 풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도 시각(hhmi),평균 상대습도(%),평균 중기압(hPa),평균 현지기압(hPa),최고 해면 기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다 일사 시각(hhmi),1시간 최다 일사량(MJ/m2),합계 일사량(MJ/m2),평균 전운량(10분위),평균 중하층운량(10분위),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0cm 지중온도(°C),1.5cm 지중온도(°C),3.0cm 지중온도(°C),5.0cm 지중온도(°C),합계 소형증발량(mm),9-9강수(mm),경복궁,종묘,창경궁,창덕궁,남산골한옥마을,덕수궁,서울시립미술관 본관,국립중앙박물관,서울약령시 한의약박물관,세종대왕기념관,태릉 ·  강릉 · 조선왕릉전시관,서대문자연사박물관,서대문형무소역사관,트릭아이미술관,헌릉ㆍ인릉,선릉·정릉,롯데월드,서울스카이,아쿠아리움
77,201706,23.273333333333333,18.70666666666667,714.7,28.75,1452.6333333333334,4.333076923076923,5.123076923076923,8.593333333333332,247.33333333333334,1579.6333333333334,5.136666666666668,248.0,1617.9666666666667,2.3733333333333335,2055.133333333333,220.33333333333334,13.066666666666666,33.46666666666667,1462.1333333333334,56.60333333333333,15.666666666666666,998.39,1010.3666666666668,1162.0666666666666,1006.0933333333336,1395.8666666666666,1008.1800000000002,14.73666666666667,9.506666666666666,1216.6666666666667,2.737333333333333,20.842333333333336,4.673333333333333,2.933333333333333,28.606666666666662,15.773333333333333,25.636666666666663,25.036666666666665,24.09666666666667,23.363333333333333,23.206666666666667,20.76,18.856666666666666,14.709999999999999,13.709999999999999,7.153333333333335,5.55,175296,55822,53251,80358,68128,87020,155405,209942,,,9370,26453,60816,4943,3763,32216,,,
78,201707,26.922580645161293,24.309677419354838,855.3225806451613,30.393548387096775,1324.0,7.726521739130436,27.0,7.787096774193548,191.93548387096774,1414.8064516129032,4.493548387096773,206.1290322580645,1476.6129032258063,2.0,1732.0645161290322,191.93548387096774,22.209677419354836,59.67741935483871,1288.741935483871,77.1774193548387,26.899999999999995,997.5451612903227,1009.0193548387097,1134.6129032258063,1005.4483870967744,1262.741935483871,1007.2032258064517,14.47096774193548,3.970967741935484,1225.8064516129032,1.7806451612903231,12.105483870967742,7.887096774193548,5.496774193548387,28.26451612903226,23.141935483870974,27.648387096774194,27.40322580645161,26.4516129032258,26.480645161290322,26.380645161290325,24.690322580645148,23.361290322580654,18.680645161290318,15.248387096774197,3.9580645161290313,27.08695652173913,184033,23562,49725,52737,50425,65982,191982,287348,,,2914,31237,22459,8261,2543,23263,,,
79,201708,25.916129032258066,22.893548387096775,884.4193548387096,29.654838709677428,1413.516129032258,7.114210526315789,15.631578947368421,7.925806451612906,159.3548387096774,1313.258064516129,4.54516129032258,179.3548387096774,1313.258064516129,2.2548387096774194,1950.483870967742,129.67741935483872,19.712903225806446,50.83870967741935,1300.9032258064517,70.81935483870967,23.658064516129034,997.6935483870968,1009.3516129032256,1052.9032258064517,1005.3870967741937,1218.0645161290322,1007.3806451612902,13.583870967741936,5.361290322580647,1238.7096774193549,1.9396774193548394,13.260967741935485,7.048387096774194,4.374193548387097,27.667741935483864,21.24838709677419,26.948387096774187,26.977419354838716,26.174193548387095,26.638709677419357,26.709677419354836,25.82903225806452,24.909677419354836,20.7741935483871,16.76451612903226,4.487096774193548,14.75,236717,14949,40567,65016,82899,76731,168860,417934,,,4763,49720,73705,9793,3148,26332,,,
80,201709,22.10333333333334,17.483333333333334,727.2,27.433333333333326,1450.1333333333334,4.833333333333332,3.888888888888889,7.38,181.66666666666666,1438.1666666666667,4.196666666666667,219.33333333333334,1523.2,1.9800000000000002,1713.5666666666666,136.33333333333334,13.55,39.1,1409.0333333333333,60.929999999999986,15.986666666666666,1003.0799999999999,1015.0500000000001,1215.6,1010.7466666666667,1249.6666666666667,1012.9666666666668,12.42666666666667,8.058620689655173,1165.5172413793102,2.24,14.841000000000003,4.193333333333333,2.226666666666666,24.230000000000004,14.496666666666666,23.46,23.63,23.09333333333333,23.533333333333335,23.566666666666666,23.70666666666667,23.636666666666667,21.203333333333337,17.956666666666667,5.0793103448275865,3.888888888888889,308138,19147,43801,99431,140707,133620,57779,190075,,,10180,0,50794,3899,4342,39542,,,
81,201710,16.409677419354836,11.63225806451613,902.3225806451613,22.530000000000005,1333.3666666666666,5.0825,3.3125,7.69,204.0,1427.0666666666666,4.276666666666666,219.33333333333334,1408.5,1.9366666666666663,1670.0967741935483,149.66666666666666,6.951612903225805,33.733333333333334,1418.5666666666666,56.25806451612903,10.732258064516133,1010.7193548387094,1023.283870967742,1044.7096774193549,1018.4200000000001,1362.3,1020.8967741935484,11.229032258064514,7.423333333333333,1153.3333333333333,1.3136666666666663,7.773225806451612,4.522580645161291,2.4967741935483874,16.812903225806455,7.532258064516131,17.73,18.166666666666668,18.439999999999994,18.923333333333336,19.496774193548386,20.896774193548392,21.64193548387097,20.82258064516129,18.51935483870969,3.0516129032258066,4.416666666666667,850481,70083,192578,347108,179913,493927,169585,268676,,,26119,33587,95963,5479,7923,56424,,,
82,201711,5.626666666666667,1.2866666666666668,1174.5,10.46,1339.2666666666667,2.672857142857143,2.9071428571428575,8.243333333333332,232.66666666666666,1280.3333333333333,4.526666666666666,253.33333333333334,1201.1,2.076666666666666,1791.2666666666667,182.33333333333334,-3.9099999999999993,32.166666666666664,1337.7,53.42666666666664,5.406666666666667,1012.3766666666667,1025.8866666666665,1113.1,1020.1233333333334,1176.0,1023.0133333333335,10.179999999999998,6.070370370370371,1174.0740740740741,1.054814814814815,5.59,4.1499999999999995,3.26,5.4300000000000015,-4.4433333333333325,7.489999999999999,8.57,9.713333333333335,10.620000000000001,11.846666666666668,15.243333333333329,17.553333333333338,19.613333333333337,18.63333333333334,1.9965517241379311,2.9071428571428575,225334,27018,67841,155092,89956,121730,107428,222719,,,6502,28265,45457,3422,2852,26891,,,
83,201712,-1.929032258064516,-5.748387096774194,1138.9032258064517,2.1580645161290324,1242.9354838709678,4.668571428571428,2.485714285714286,7.806666666666667,258.6666666666667,1339.6333333333334,4.0233333333333325,284.0,1369.9666666666667,1.7827586206896548,1537.7586206896551,233.79310344827587,-10.338709677419352,33.16129032258065,1319.483870967742,55.854838709677416,3.2806451612903222,1015.0548387096775,1028.7129032258063,1048.3225806451612,1023.5645161290323,1316.9354838709678,1026.032258064516,9.635483870967743,5.680645161290323,1200.0,0.9400000000000003,4.893225806451614,3.874193548387096,3.0612903225806454,-1.5322580645161294,-9.841935483870968,0.0032258064516128048,0.8193548387096774,1.9258064516129028,2.8258064516129036,4.393548387096775,8.248387096774191,11.635483870967745,17.11935483870968,18.12258064516129,1.2300000000000002,2.3200000000000003,164611,16090,25287,55675,63438,72244,142238,242135,,,2583,25143,31550,5415,1105,11540,,,
84,201801,-3.9774193548387093,-7.329032258064517,1165.1935483870968,0.1419354838709677,1381.0,3.680909090909091,0.7727272727272727,7.841935483870969,262.258064516129,1260.0645161290322,4.199999999999999,287.0967741935484,1344.5806451612902,1.8709677419354838,1618.3870967741937,257.741935483871,-13.941935483870969,28.93548387096774,1310.9032258064517,48.03225806451612,2.47741935483871,1013.5258064516129,1027.335483870968,1208.225806451613,1021.8161290322581,1184.2903225806451,1024.6000000000001,9.90967741935484,6.43793103448276,1168.9655172413793,0.9972413793103448,5.482413793103449,4.2548387096774185,2.7290322580645157,-2.8354838709677415,-11.735483870967741,-1.5806451612903225,-0.9387096774193547,0.07096774193548391,0.7741935483870966,1.9903225806451612,4.880645161290323,7.770967741935484,14.135483870967741,16.954838709677418,1.264516129032258,0.85,124211,12633,18188,40648,50485,64456,85495,279500,1096,213,1023,35006,34198,5556,1182,8040,508452,138596,109435
85,201802,-1.6464285714285718,-5.871428571428572,934.5357142857143,3.2821428571428575,1414.75,3.611666666666667,4.933333333333334,8.560714285714285,265.7142857142857,1476.7142857142858,4.503571428571429,286.42857142857144,1460.607142857143,2.1785714285714284,1879.2142857142858,252.14285714285714,-13.021428571428572,24.392857142857142,1407.9642857142858,44.914285714285704,2.6214285714285714,1012.8142857142855,1026.3178571428575,974.0714285714286,1021.2607142857142,1491.9285714285713,1023.7714285714286,10.810714285714287,7.192592592592593,1210.7142857142858,1.9503571428571431,11.454814814814814,3.9142857142857137,2.1714285714285713,-1.1428571428571426,-11.84642857142857,-1.0357142857142854,-1.0285714285714287,-0.6607142857142858,-0.3857142857142857,0.5607142857142857,3.132142857142857,5.739285714285714,11.917857142857144,15.549999999999999,2.3464285714285715,6.0200000000000005,197756,17955,45001,68181,73675,71009,71670,250174,1239,93,2141,29033,22808,4851,1459,11037,536389,120492,104754
86,201803,8.080645161290322,3.8225806451612905,966.7096774193549,13.59677419354839,1392.8064516129032,8.559000000000001,4.95,8.441935483870967,231.61290322580646,1368.5483870967741,4.183870967741936,245.16129032258064,1441.8387096774193,1.919354838709678,1658.4193548387098,215.48387096774192,-0.2580645161290322,33.67741935483871,1392.6774193548388,59.20645161290322,6.606451612903226,1009.8516129032257,1023.4516129032259,1041.516129032258,1017.2709677419357,1163.1290322580646,1020.3419354838709,11.964516129032257,6.745161290322581,1209.6774193548388,2.2851612903225806,14.400322580645161,5.206451612903227,4.058064516129032,8.35806451612903,-0.3806451612903223,8.080645161290322,7.487096774193549,6.812903225806452,6.261290322580645,6.0193548387096785,5.593548387096774,6.358064516129033,10.37741935483871,14.245161290322581,3.4580645161290327,4.9,220494,19286,42008,70020,98111,100321,68382,157178,1596,359,3397,30069,70073,3437,2461,26183,365255,92229,84671
