date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최저 기온(°C),최대 풍속(m/s),평균 해면기압(hPa),1시간 최다 일사량(MJ/m2),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 30cm 지중온도(°C),5.0cm 지중온도(°C),9-9강수(mm),서울시립미술관 본관
201104,4,15.596666666666664,10.719999999999997,28.666666666666668,54.239999999999995,10.009090909090908,3.243333333333333,6.736666666666665,6.773333333333332,6.650000000000001,1014.1233333333336,2.4523333333333337,1.1166666666666667,12.206666666666665,11.726666666666668,13.47,7.346666666666667,56024
201105,5,22.983870967741936,17.925806451612903,32.16129032258065,56.41612903225806,4.107692307692307,2.832258064516129,5.819354838709677,13.570967741935483,6.23548387096774,1010.7354838709679,2.4022580645161296,8.935483870967742,19.396774193548385,18.174193548387098,13.241935483870964,5.278571428571429,279310
201106,6,26.576666666666664,21.97666666666667,46.233333333333334,66.56,20.225,2.923333333333334,5.693333333333333,18.383333333333333,6.166666666666669,1006.5333333333335,2.269666666666666,15.436666666666667,24.34,23.336666666666677,13.466666666666667,20.210526315789473,178302
201107,7,27.996774193548394,24.63870967741936,62.41935483870968,78.78709677419354,49.17391304347826,2.4193548387096775,2.593548387096774,21.974193548387095,5.219354838709679,1005.6645161290322,1.7670967741935486,21.50967741935484,26.045161290322582,25.49677419354839,16.038709677419348,45.26,34784
201108,8,29.451612903225808,25.77419354838709,56.29032258064516,74.33548387096774,8.34,2.52258064516129,3.032258064516129,22.967741935483875,5.193548387096773,1008.2838709677421,1.9512903225806448,21.412903225806456,26.858064516129037,26.509677419354837,17.638709677419357,8.75263157894737,79331
201109,9,26.573333333333338,21.75,37.3,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,17.706666666666663,5.270000000000001,1012.7499999999999,2.327999999999999,13.086666666666668,24.140000000000004,24.59333333333333,18.219999999999995,2.3272727272727276,57239
201110,10,19.34838709677419,14.222580645161294,31.06451612903226,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666667,9.654838709677419,4.574193548387097,1020.3064516129035,1.9706666666666663,4.0290322580645155,15.077419354838712,16.60645161290323,18.732258064516124,4.571428571428571,76839
201111,11,14.693333333333335,10.68666666666667,41.96666666666667,60.376666666666665,3.746666666666667,2.7200000000000006,4.316666666666666,7.163333333333335,5.413333333333333,1022.6933333333332,1.1393333333333333,3.4833333333333334,10.706666666666667,12.086666666666666,18.806666666666672,3.4875,112560
201112,12,2.851612903225808,-0.870967741935484,31.677419354838708,50.438709677419354,0.5916666666666667,2.6161290322580633,6.309677419354839,-4.109677419354838,5.141935483870968,1027.6451612903227,1.316129032258064,-9.241935483870968,0.8129032258064521,3.093548387096774,18.190322580645166,0.6454545454545455,61115
201201,1,1.338709677419355,-2.787096774193549,30.548387096774192,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,-6.3,5.3419354838709685,1026.1451612903224,1.3987096774193553,-12.493548387096778,-1.4903225806451612,-0.1483870967741935,17.14193548387097,0.67,66605
201202,2,2.96896551724138,-2.0448275862068965,23.620689655172413,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,-6.020689655172415,5.641379310344828,1023.9965517241379,1.8951724137931034,-12.203448275862073,-0.8827586206896549,-0.3241379310344829,15.86206896551724,0.2,68784
201203,3,9.52258064516129,5.090322580645162,28.419354838709676,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,1.4838709677419355,6.532258064516128,1019.5258064516129,1.9003225806451614,-2.267741935483871,5.848387096774193,5.680645161290323,14.616129032258067,3.3857142857142857,45941
201204,4,17.88666666666667,12.34,30.133333333333333,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,7.7666666666666675,6.9399999999999995,1013.0466666666669,2.165666666666667,3.8533333333333335,13.379999999999999,12.596666666666664,13.7,15.7,65663
201205,5,25.148387096774194,19.73225806451613,26.838709677419356,48.232258064516124,0.82,2.651612903225807,8.106451612903227,15.35161290322581,5.793548387096774,1010.9741935483872,2.430645161290323,10.687096774193547,22.825806451612902,21.71290322580645,13.37333333333333,0.911111111111111,156643
201206,6,29.71666666666666,24.139999999999993,33.0,54.086666666666666,15.316666666666668,2.8,7.733333333333334,19.956666666666667,5.836666666666667,1007.0000000000001,2.489333333333333,17.213333333333328,28.450000000000003,27.043333333333333,13.830000000000002,15.316666666666668,139584
201207,7,29.025806451612908,25.412903225806453,55.935483870967744,73.83225806451615,21.376190476190477,2.729032258064516,4.645161290322581,22.38709677419355,5.429032258064515,1005.6354838709677,1.8319354838709672,20.81612903225807,26.654838709677414,26.158064516129027,15.50666666666667,22.445,103733
201208,8,30.851612903225814,27.132258064516122,51.0,67.95483870967742,25.82777777777778,2.967741935483871,5.119354838709678,23.912903225806456,6.054838709677419,1008.2193548387096,1.8070967741935486,22.267741935483876,28.209677419354843,27.903225806451612,17.241935483870968,24.46842105263158,156966
201209,9,24.976666666666667,20.963333333333328,43.233333333333334,65.14999999999999,17.666666666666668,2.296666666666666,6.359999999999999,17.439999999999994,5.003333333333333,1013.4699999999999,1.9046666666666667,14.216666666666667,21.806666666666665,22.586666666666666,18.693333333333335,23.555555555555557,79396
201210,10,20.503225806451614,15.348387096774196,31.903225806451612,58.17741935483871,11.033333333333333,2.2838709677419358,7.593548387096776,11.048387096774198,4.935483870967742,1018.1870967741935,1.905806451612903,6.493548387096774,15.364516129032257,17.335483870967746,19.24666666666667,9.027272727272727,147860
201211,11,9.516666666666664,5.540000000000001,36.833333333333336,57.239999999999995,4.52,2.72,6.036666666666667,1.76,5.503333333333333,1019.2866666666663,1.369333333333333,-1.8066666666666669,5.416666666666668,8.423333333333332,18.883333333333336,4.52,120222
201212,12,-0.5193548387096775,-4.119354838709678,38.67741935483871,57.029032258064504,3.1846153846153844,2.7258064516129035,6.245161290322581,-7.3903225806451625,5.558064516129034,1024.6354838709678,1.2487096774193545,-10.112903225806452,-1.4677419354838712,1.8838709677419354,17.99032258064516,3.292307692307692,213467
201301,1,0.3354838709677418,-3.4322580645161285,38.54838709677419,57.0774193548387,2.21,2.6709677419354834,5.409677419354837,-6.587096774193549,5.190322580645162,1026.3774193548388,1.294193548387097,-9.396774193548385,-1.964516129032258,-0.025806451612903222,16.648387096774194,3.266666666666667,144778
201302,2,2.775,-1.2392857142857143,30.285714285714285,53.628571428571426,5.700000000000001,2.882142857142857,6.685714285714284,-4.917857142857143,5.703571428571428,1025.132142857143,1.7971428571428572,-7.050000000000002,-0.039285714285714306,0.08214285714285717,15.217857142857143,5.327272727272727,138306
201303,3,10.835483870967739,5.135483870967743,25.258064516129032,49.174193548387095,3.4125,3.0322580645161286,8.267741935483869,0.7193548387096775,6.1,1017.858064516129,2.229032258064516,-2.674193548387097,5.987096774193548,5.516129032258063,13.874193548387098,3.4714285714285715,125046
201304,4,14.98,10.006666666666666,28.366666666666667,53.97666666666667,4.78,3.4266666666666663,7.106666666666666,5.703333333333333,6.920000000000002,1012.9366666666666,2.197666666666666,2.806666666666666,11.123333333333335,10.313333333333333,12.986666666666663,3.9833333333333334,85039
201305,5,23.587096774193547,18.222580645161287,35.87096774193548,57.78387096774193,12.0,2.9,7.6806451612903235,13.661290322580642,5.861290322580645,1011.5000000000001,2.2819354838709676,10.516129032258062,19.883870967741935,17.90645161290322,12.78064516129032,11.0,67969
201306,6,29.236666666666668,24.410000000000007,39.7,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,20.459999999999997,4.930000000000001,1007.68,2.3363333333333336,17.256666666666668,27.036666666666676,24.55,13.186666666666667,2.8299999999999996,67218
201307,7,28.33548387096775,25.519354838709678,63.54838709677419,79.25483870967743,26.00769230769231,3.351612903225807,3.2580645161290316,23.425806451612907,6.79032258064516,1005.006451612903,1.3993548387096775,22.445161290322584,26.39354838709678,25.419354838709673,14.999999999999996,29.400000000000002,144185
201308,8,31.08709677419354,27.69677419354839,48.935483870967744,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,24.83870967741936,5.564516129032258,1006.4548387096772,2.053225806451613,22.54193548387097,28.69677419354839,27.745161290322578,16.474193548387095,8.255555555555555,284597
201309,9,25.943333333333335,21.75333333333333,42.96666666666667,62.88666666666666,11.541666666666666,2.236666666666667,6.366666666666668,18.003333333333334,4.616666666666666,1014.94,1.8513333333333333,14.816666666666666,23.220000000000006,23.86333333333333,17.606666666666666,11.541666666666666,312682
201310,10,21.23548387096774,15.777419354838708,36.193548387096776,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,10.903225806451612,4.80967741935484,1020.1612903225807,1.9129032258064518,6.625806451612903,16.238709677419354,18.345161290322576,18.387096774193548,1.6875,27807
201311,11,10.660000000000004,6.149999999999998,37.1,58.186666666666675,2.7529411764705887,2.7366666666666672,6.266666666666666,2.109999999999999,5.683333333333334,1020.1633333333336,1.431,-1.49,6.683333333333333,10.05,18.413333333333334,3.12,73212
201312,12,3.5258064516129033,-0.18387096774193573,39.67741935483871,60.151612903225804,1.9000000000000001,2.3935483870967738,5.9483870967741925,-3.4967741935483874,5.22258064516129,1022.1935483870972,1.2629032258064516,-7.080645161290324,1.1612903225806444,3.9612903225806453,17.82258064516129,2.0583333333333336,41785
201401,1,3.541935483870968,-0.6774193548387096,29.483870967741936,50.07741935483869,1.1818181818181819,2.4258064516129036,5.948387096774193,-4.867741935483873,4.941935483870967,1025.2354838709678,1.340322580645161,-8.109677419354838,-0.6677419354838707,1.2129032258064514,16.75483870967742,1.1818181818181819,55396
201402,2,6.6035714285714295,1.9285714285714288,32.75,51.982142857142854,2.314285714285714,2.696428571428572,5.853571428571429,-1.8107142857142862,5.171428571428572,1025.2607142857144,1.6535714285714285,-4.821428571428572,1.7821428571428568,2.4222222222222225,15.51428571428571,2.6999999999999997,52982
201403,3,13.058064516129033,7.890322580645161,33.03225806451613,59.835483870967735,0.5538461538461539,3.029032258064516,6.925806451612903,3.5258064516129033,6.441935483870968,1019.6225806451612,2.0483870967741935,0.2290322580645156,8.225806451612904,7.596428571428569,14.335483870967742,0.6,54225
201404,4,19.63666666666666,13.963333333333336,36.03333333333333,59.87333333333333,4.428571428571429,2.823333333333333,7.106666666666668,9.4,6.113333333333333,1017.0066666666667,2.2966666666666673,5.69,15.77,14.111538461538462,13.673333333333336,3.875,61396
201405,5,25.251612903225798,18.94516129032258,32.83870967741935,59.05806451612903,7.0,3.203225806451613,9.806451612903226,13.796774193548387,6.793548387096774,1010.441935483871,2.714193548387098,10.254838709677419,21.580645161290324,18.98181818181818,13.635483870967743,9.0,62447
201406,6,27.770000000000003,23.06333333333333,49.06666666666667,72.80666666666666,7.007142857142858,2.603333333333333,6.163333333333332,19.71333333333333,5.5533333333333355,1006.1766666666665,2.306333333333334,17.39,25.196666666666662,23.041379310344826,14.033333333333331,7.546153846153847,61899
201407,7,30.63548387096775,26.148387096774194,50.58064516129032,74.23548387096774,17.325,2.75483870967742,5.570967741935485,22.9258064516129,5.587096774193548,1006.8548387096776,2.1729999999999996,20.74838709677419,28.083870967741944,25.303225806451614,14.99677419354839,15.992307692307692,78724
201408,8,28.951612903225815,25.164516129032265,57.225806451612904,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,22.116129032258062,4.903225806451613,1007.9806451612902,1.8141935483870963,20.045161290322575,26.20967741935484,24.654838709677417,16.464516129032262,8.639999999999999,47471
201409,9,26.98333333333334,22.063333333333336,44.9,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,18.043333333333333,4.5,1013.2066666666666,2.0383333333333336,13.910000000000004,23.750000000000004,23.05333333333333,17.436666666666667,8.809999999999999,48324
201410,10,21.416129032258063,15.635483870967743,38.70967741935484,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967743,10.683870967741935,5.038709677419355,1019.7354838709678,1.8793548387096772,5.574193548387098,16.02258064516129,17.354838709677423,18.093548387096778,5.800000000000001,68245
201411,11,13.78666666666667,8.953333333333335,40.1,60.933333333333344,4.15,2.466666666666667,6.47,4.883333333333334,5.1433333333333335,1021.5233333333333,1.4643333333333337,-0.7733333333333335,8.596666666666668,10.533333333333335,18.17666666666667,3.7818181818181817,48920
201412,12,1.4967741935483871,-2.919354838709677,36.70967741935484,56.26129032258062,1.11875,2.848387096774193,6.309677419354838,-6.7225806451612895,5.741935483870969,1024.538709677419,1.3864516129032258,-10.690322580645162,-1.0580645161290319,2.154838709677419,17.693548387096776,1.3692307692307693,41058
201501,1,3.5838709677419356,-0.9354838709677418,37.61290322580645,56.364516129032275,1.4124999999999999,2.6483870967741923,6.235483870967739,-4.806451612903226,5.1967741935483875,1024.6838709677422,1.4387096774193546,-8.993548387096773,-0.7709677419354839,0.30322580645161296,16.78064516129032,2.26,80895
201502,2,5.960714285714286,1.0428571428571425,34.92857142857143,58.942857142857136,2.8375,2.8678571428571433,6.42857142857143,-2.8857142857142857,5.653571428571429,1022.2035714285713,1.611071428571428,-6.77857142857143,1.0607142857142857,1.3214285714285714,15.546428571428567,2.522222222222222,28767
