date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 풍속(m/s),최고 해면 기압(hPa),최저 해면기압(hPa),평균 중하층운량(10분위),평균 5cm 지중온도(°C),평균 30cm 지중온도(°C),헌릉ㆍ인릉
201101,1,-3.406451612903226,-7.183870967741936,35.12903225806452,53.8290322580645,1.1125,2.796774193548387,7.048387096774194,5.593548387096773,1029.7258064516127,1024.9806451612903,1.761290322580645,-3.261290322580646,-1.0774193548387099,736
201102,2,5.864285714285715,1.2214285714285713,32.0,55.22857142857142,9.700000000000001,2.5535714285714284,5.949999999999998,5.239285714285715,1024.5678571428568,1019.3964285714286,2.0464285714285713,0.5785714285714285,0.35000000000000003,1730
201103,3,8.345161290322581,3.6161290322580646,25.258064516129032,51.11290322580645,2.085714285714286,3.4064516129032265,7.748387096774192,6.87741935483871,1023.9258064516131,1018.841935483871,1.9774193548387091,5.216129032258064,5.4225806451612915,2085
201104,4,15.596666666666664,10.719999999999997,28.666666666666668,54.239999999999995,10.009090909090908,3.243333333333333,6.736666666666665,6.650000000000001,1017.1266666666666,1011.4800000000001,2.8699999999999997,12.206666666666665,11.726666666666668,5212
201105,5,22.983870967741936,17.925806451612903,32.16129032258065,56.41612903225806,4.107692307692307,2.832258064516129,5.819354838709677,6.23548387096774,1013.0354838709677,1008.5612903225807,2.783870967741935,19.396774193548385,18.174193548387098,6201
201106,6,26.576666666666664,21.97666666666667,46.233333333333334,66.56,20.225,2.923333333333334,5.693333333333333,6.166666666666669,1008.9633333333334,1004.2966666666667,4.016666666666667,24.34,23.336666666666677,5840
201107,7,27.996774193548394,24.63870967741936,62.41935483870968,78.78709677419354,49.17391304347826,2.4193548387096775,2.593548387096774,5.219354838709679,1007.4774193548388,1003.8741935483871,5.9709677419354845,26.045161290322582,25.49677419354839,2053
201108,8,29.451612903225808,25.77419354838709,56.29032258064516,74.33548387096774,8.34,2.52258064516129,3.032258064516129,5.193548387096773,1010.0258064516129,1006.5935483870967,5.387096774193549,26.858064516129037,26.509677419354837,3571
201109,9,26.573333333333338,21.75,37.3,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,5.270000000000001,1014.7766666666668,1010.6733333333331,2.93,24.140000000000004,24.59333333333333,5548
201110,10,19.34838709677419,14.222580645161294,31.06451612903226,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666667,4.574193548387097,1022.7064516129034,1018.0258064516129,1.6645161290322579,15.077419354838712,16.60645161290323,7901
201111,11,14.693333333333335,10.68666666666667,41.96666666666667,60.376666666666665,3.746666666666667,2.7200000000000006,4.316666666666666,5.413333333333333,1025.3999999999999,1019.9466666666666,4.053333333333332,10.706666666666667,12.086666666666666,3413
201112,12,2.851612903225808,-0.870967741935484,31.677419354838708,50.438709677419354,0.5916666666666667,2.6161290322580633,6.309677419354839,5.141935483870968,1030.151612903226,1025.258064516129,2.612903225806451,0.8129032258064521,3.093548387096774,1823
201201,1,1.338709677419355,-2.787096774193549,30.548387096774192,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,5.3419354838709685,1028.348387096774,1023.8322580645159,2.225806451612903,-1.4903225806451612,-0.1483870967741935,1236
201202,2,2.96896551724138,-2.0448275862068965,23.620689655172413,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,5.641379310344828,1026.7724137931034,1021.2620689655173,1.3862068965517245,-0.8827586206896549,-0.3241379310344829,1273
201203,3,9.52258064516129,5.090322580645162,28.419354838709676,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,6.532258064516128,1022.8516129032259,1016.5387096774197,3.096774193548386,5.848387096774193,5.680645161290323,2657
201204,4,17.88666666666667,12.34,30.133333333333333,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,6.9399999999999995,1016.7133333333333,1009.4133333333334,2.4099999999999997,13.379999999999999,12.596666666666664,4695
201205,5,25.148387096774194,19.73225806451613,26.838709677419356,48.232258064516124,0.82,2.651612903225807,8.106451612903227,5.793548387096774,1013.0322580645161,1008.8290322580646,2.058064516129032,22.825806451612902,21.71290322580645,7436
201206,6,29.71666666666666,24.139999999999993,33.0,54.086666666666666,15.316666666666668,2.8,7.733333333333334,5.836666666666667,1009.3133333333333,1004.8099999999998,3.0799999999999996,28.450000000000003,27.043333333333333,6406
201207,7,29.025806451612908,25.412903225806453,55.935483870967744,73.83225806451615,21.376190476190477,2.729032258064516,4.645161290322581,5.429032258064515,1007.6838709677421,1003.5774193548386,5.6,26.654838709677414,26.158064516129027,2111
201208,8,30.851612903225814,27.132258064516122,51.0,67.95483870967742,25.82777777777778,2.967741935483871,5.119354838709678,6.054838709677419,1010.432258064516,1005.7612903225805,4.774193548387096,28.209677419354843,27.903225806451612,1593
201209,9,24.976666666666667,20.963333333333328,43.233333333333334,65.14999999999999,17.666666666666668,2.296666666666666,6.359999999999999,5.003333333333333,1015.81,1010.9866666666666,4.000000000000001,21.806666666666665,22.586666666666666,3848
201210,10,20.503225806451614,15.348387096774196,31.903225806451612,58.17741935483871,11.033333333333333,2.2838709677419358,7.593548387096776,4.935483870967742,1020.6064516129032,1015.6935483870968,2.229032258064516,15.364516129032257,17.335483870967746,7365
