date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 풍속 풍향(16방위),평균 20cm 지중온도(°C),0.5m 지중온도(°C),선릉·정릉
201101,1,-3.406451612903226,-7.183870967741936,35.12903225806452,53.8290322580645,1.1125,2.796774193548387,7.048387096774194,276.1290322580645,-2.2483870967741932,1.5419354838709673,13486
201102,2,5.864285714285715,1.2214285714285713,32.0,55.22857142857142,9.700000000000001,2.5535714285714284,5.949999999999998,233.57142857142858,0.31071428571428567,1.025,18578
201103,3,8.345161290322581,3.6161290322580646,25.258064516129032,51.11290322580645,2.085714285714286,3.4064516129032265,7.748387096774192,254.19354838709677,5.235483870967743,5.158064516129032,22696
201104,4,15.596666666666664,10.719999999999997,28.666666666666668,54.239999999999995,10.009090909090908,3.243333333333333,6.736666666666665,242.66666666666666,11.723333333333333,10.736666666666666,43184
201105,5,22.983870967741936,17.925806451612903,32.16129032258065,56.41612903225806,4.107692307692307,2.832258064516129,5.819354838709677,220.32258064516128,18.45806451612903,16.303225806451614,44836
201106,6,26.576666666666664,21.97666666666667,46.233333333333334,66.56,20.225,2.923333333333334,5.693333333333333,236.33333333333334,23.519999999999996,21.733333333333334,38306
201107,7,27.996774193548394,24.63870967741936,62.41935483870968,78.78709677419354,49.17391304347826,2.4193548387096775,2.593548387096774,191.61290322580646,25.53225806451612,24.899999999999995,22506
201108,8,29.451612903225808,25.77419354838709,56.29032258064516,74.33548387096774,8.34,2.52258064516129,3.032258064516129,172.58064516129033,26.399999999999995,26.290322580645157,30516
201109,9,26.573333333333338,21.75,37.3,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,191.0,24.226666666666667,24.48333333333333,43319
201110,10,19.34838709677419,14.222580645161294,31.06451612903226,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666667,238.38709677419354,15.861290322580643,18.145161290322587,44530
201111,11,14.693333333333335,10.68666666666667,41.96666666666667,60.376666666666665,3.746666666666667,2.7200000000000006,4.316666666666666,187.33333333333334,11.323333333333332,13.353333333333333,33425
201112,12,2.851612903225808,-0.870967741935484,31.677419354838708,50.438709677419354,0.5916666666666667,2.6161290322580633,6.309677419354839,244.83870967741936,1.9838709677419357,5.529032258064516,16634
201201,1,1.338709677419355,-2.787096774193549,30.548387096774192,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,259.03225806451616,-0.825806451612903,1.680645161290323,10750
201202,2,2.96896551724138,-2.0448275862068965,23.620689655172413,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,254.82758620689654,-0.7172413793103452,0.9689655172413795,11893
201203,3,9.52258064516129,5.090322580645162,28.419354838709676,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,217.74193548387098,5.490322580645163,5.300000000000001,20797
201204,4,17.88666666666667,12.34,30.133333333333333,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,215.0,12.34,11.396666666666667,42458
201205,5,25.148387096774194,19.73225806451613,26.838709677419356,48.232258064516124,0.82,2.651612903225807,8.106451612903227,205.48387096774192,21.4258064516129,19.266666666666666,49540
201206,6,29.71666666666666,24.139999999999993,33.0,54.086666666666666,15.316666666666668,2.8,7.733333333333334,198.33333333333334,26.76666666666667,24.61,36509
201207,7,29.025806451612908,25.412903225806453,55.935483870967744,73.83225806451615,21.376190476190477,2.729032258064516,4.645161290322581,215.80645161290323,25.900000000000002,25.63,21715
201208,8,30.851612903225814,27.132258064516122,51.0,67.95483870967742,25.82777777777778,2.967741935483871,5.119354838709678,183.8709677419355,27.612903225806456,27.51612903225806,17434
201209,9,24.976666666666667,20.963333333333328,43.233333333333334,65.14999999999999,17.666666666666668,2.296666666666666,6.359999999999999,192.66666666666666,22.2,23.12,32681
201210,10,20.503225806451614,15.348387096774196,31.903225806451612,58.17741935483871,11.033333333333333,2.2838709677419358,7.593548387096776,242.58064516129033,16.680645161290325,18.113333333333333,42307
201211,11,9.516666666666664,5.540000000000001,36.833333333333336,57.239999999999995,4.52,2.72,6.036666666666667,222.33333333333334,7.340000000000001,9.726666666666667,28500
201212,12,-0.5193548387096775,-4.119354838709678,38.67741935483871,57.029032258064504,3.1846153846153844,2.7258064516129035,6.245161290322581,250.0,0.7903225806451615,3.290322580645161,14262
201301,1,0.3354838709677418,-3.4322580645161285,38.54838709677419,57.0774193548387,2.21,2.6709677419354834,5.409677419354837,212.25806451612902,-0.5451612903225808,1.2032258064516128,9132
201302,2,2.775,-1.2392857142857143,30.285714285714285,53.628571428571426,5.700000000000001,2.882142857142857,6.685714285714284,244.64285714285714,-0.13571428571428573,1.1392857142857145,9088
201303,3,10.835483870967739,5.135483870967743,25.258064516129032,49.174193548387095,3.4125,3.0322580645161286,8.267741935483869,250.0,5.545161290322581,5.129032258064517,24267
201304,4,14.98,10.006666666666666,28.366666666666667,53.97666666666667,4.78,3.4266666666666663,7.106666666666666,238.0,10.473333333333331,10.133333333333333,35449
201305,5,23.587096774193547,18.222580645161287,35.87096774193548,57.78387096774193,12.0,2.9,7.6806451612903235,213.8709677419355,18.467741935483872,17.283870967741933,47665
201306,6,29.236666666666668,24.410000000000007,39.7,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,251.0,25.4,23.450000000000006,33987
201307,7,28.33548387096775,25.519354838709678,63.54838709677419,79.25483870967743,26.00769230769231,3.351612903225807,3.2580645161290316,228.38709677419354,25.68064516129032,25.5258064516129,19108
201308,8,31.08709677419354,27.69677419354839,48.935483870967744,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,244.19354838709677,27.977419354838712,27.86129032258065,21900
201309,9,25.943333333333335,21.75333333333333,42.96666666666667,62.88666666666666,11.541666666666666,2.236666666666667,6.366666666666668,197.33333333333334,23.45666666666667,24.036666666666665,30650
201310,10,21.23548387096774,15.777419354838708,36.193548387096776,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,207.09677419354838,17.306666666666665,18.922580645161286,40085
201311,11,10.660000000000004,6.149999999999998,37.1,58.186666666666675,2.7529411764705887,2.7366666666666672,6.266666666666666,222.0,8.346666666666666,11.206666666666667,23575
201312,12,3.5258064516129033,-0.18387096774193573,39.67741935483871,60.151612903225804,1.9000000000000001,2.3935483870967738,5.9483870967741925,242.25806451612902,2.454838709677419,4.996774193548387,11890
201401,1,3.541935483870968,-0.6774193548387096,29.483870967741936,50.07741935483869,1.1818181818181819,2.4258064516129036,5.948387096774193,259.6774193548387,0.054838709677419335,2.1129032258064506,13176
201402,2,6.6035714285714295,1.9285714285714288,32.75,51.982142857142854,2.314285714285714,2.696428571428572,5.853571428571429,199.28571428571428,1.9678571428571427,2.5785714285714283,13361
201403,3,13.058064516129033,7.890322580645161,33.03225806451613,59.835483870967735,0.5538461538461539,3.029032258064516,6.925806451612903,224.19354838709677,7.845161290322581,7.6870967741935505,25566
201404,4,19.63666666666666,13.963333333333336,36.03333333333333,59.87333333333333,4.428571428571429,2.823333333333333,7.106666666666668,223.0,14.836666666666666,13.463333333333335,40860
201405,5,25.251612903225798,18.94516129032258,32.83870967741935,59.05806451612903,7.0,3.203225806451613,9.806451612903226,243.2258064516129,20.00322580645161,18.080645161290324,41747
201406,6,27.770000000000003,23.06333333333333,49.06666666666667,72.80666666666666,7.007142857142858,2.603333333333333,6.163333333333332,232.33333333333334,23.980000000000004,22.67333333333334,35824
201407,7,30.63548387096775,26.148387096774194,50.58064516129032,74.23548387096774,17.325,2.75483870967742,5.570967741935485,235.80645161290323,26.841935483870966,25.367741935483874,25191
201408,8,28.951612903225815,25.164516129032265,57.225806451612904,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,175.80645161290323,25.835483870967742,25.88387096774194,26917
201409,9,26.98333333333334,22.063333333333336,44.9,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,219.66666666666666,23.94333333333334,24.180000000000007,33118
201410,10,21.416129032258063,15.635483870967743,38.70967741935484,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967743,191.93548387096774,17.261290322580646,19.193548387096776,37914
201411,11,13.78666666666667,8.953333333333335,40.1,60.933333333333344,4.15,2.466666666666667,6.47,222.33333333333334,10.026666666666666,12.883333333333333,26030
201412,12,1.4967741935483871,-2.919354838709677,36.70967741935484,56.26129032258062,1.11875,2.848387096774193,6.309677419354838,223.2258064516129,1.0516129032258068,5.37741935483871,8869
201501,1,3.5838709677419356,-0.9354838709677418,37.61290322580645,56.364516129032275,1.4124999999999999,2.6483870967741923,6.235483870967739,227.41935483870967,-0.11612903225806452,2.7032258064516133,12155
201502,2,5.960714285714286,1.0428571428571425,34.92857142857143,58.942857142857136,2.8375,2.8678571428571433,6.42857142857143,230.35714285714286,1.248148148148148,2.6392857142857147,13497
201503,3,12.44516129032258,6.290322580645161,22.35483870967742,45.174193548387095,1.5999999999999999,3.0838709677419347,8.735483870967744,256.4516129032258,6.448387096774193,6.683870967741937,24718
201504,4,18.826666666666664,13.326666666666664,32.233333333333334,54.38666666666665,5.03125,3.12,7.199999999999999,189.33333333333334,13.16,12.393333333333333,41824
201505,5,24.887096774193544,18.883870967741935,30.35483870967742,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483874,243.5483870967742,20.338709677419356,18.148387096774194,43557
201506,6,29.463333333333335,23.586666666666666,35.4,59.80999999999998,8.25,2.546666666666667,8.603333333333333,225.66666666666666,24.550000000000004,23.210714285714293,25700
