date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 순간풍속 풍향(16방위),최대 풍속(m/s),평균 상대습도 시각(hhmi),합계 일사량(MJ/m2),창덕궁
201101,1,-3.406451612903226,-7.183870967741936,35.12903225806452,53.8290322580645,1.1125,2.796774193548387,7.048387096774194,279.6774193548387,5.593548387096773,1230.3225806451612,9.951290322580645,43677
201102,2,5.864285714285715,1.2214285714285713,32.0,55.22857142857142,9.700000000000001,2.5535714285714284,5.949999999999998,230.71428571428572,5.239285714285715,1390.2142857142858,10.827857142857143,73330
201103,3,8.345161290322581,3.6161290322580646,25.258064516129032,51.11290322580645,2.085714285714286,3.4064516129032265,7.748387096774192,247.09677419354838,6.87741935483871,1398.032258064516,16.34225806451613,78705
201104,4,15.596666666666664,10.719999999999997,28.666666666666668,54.239999999999995,10.009090909090908,3.243333333333333,6.736666666666665,235.66666666666666,6.650000000000001,1245.6,16.832333333333334,129150
201105,5,22.983870967741936,17.925806451612903,32.16129032258065,56.41612903225806,4.107692307692307,2.832258064516129,5.819354838709677,220.0,6.23548387096774,1296.2903225806451,17.091935483870966,151833
201106,6,26.576666666666664,21.97666666666667,46.233333333333334,66.56,20.225,2.923333333333334,5.693333333333333,235.0,6.166666666666669,1341.2,16.424,108262
201107,7,27.996774193548394,24.63870967741936,62.41935483870968,78.78709677419354,49.17391304347826,2.4193548387096775,2.593548387096774,173.2258064516129,5.219354838709679,1251.483870967742,11.042903225806453,91527
201108,8,29.451612903225808,25.77419354838709,56.29032258064516,74.33548387096774,8.34,2.52258064516129,3.032258064516129,180.6451612903226,5.193548387096773,1430.7096774193549,12.222903225806451,134374
201109,9,26.573333333333338,21.75,37.3,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,172.0,5.270000000000001,1199.5,14.979666666666667,143467
201110,10,19.34838709677419,14.222580645161294,31.06451612903226,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666667,240.0,4.574193548387097,1381.3870967741937,12.142999999999997,222484
201111,11,14.693333333333335,10.68666666666667,41.96666666666667,60.376666666666665,3.746666666666667,2.7200000000000006,4.316666666666666,191.66666666666666,5.413333333333333,1138.3666666666666,6.327666666666665,160836
201112,12,2.851612903225808,-0.870967741935484,31.677419354838708,50.438709677419354,0.5916666666666667,2.6161290322580633,6.309677419354839,233.2258064516129,5.141935483870968,1233.0645161290322,6.962258064516129,75991
201201,1,1.338709677419355,-2.787096774193549,30.548387096774192,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,262.5806451612903,5.3419354838709685,1376.0967741935483,7.564516129032258,31760
201202,2,2.96896551724138,-2.0448275862068965,23.620689655172413,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,255.51724137931035,5.641379310344828,1443.344827586207,11.21551724137931,37326
201203,3,9.52258064516129,5.090322580645162,28.419354838709676,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,217.09677419354838,6.532258064516128,1316.8064516129032,11.85516129032258,50573
201204,4,17.88666666666667,12.34,30.133333333333333,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,223.33333333333334,6.9399999999999995,1379.2666666666667,14.949333333333328,101738
201205,5,25.148387096774194,19.73225806451613,26.838709677419356,48.232258064516124,0.82,2.651612903225807,8.106451612903227,203.5483870967742,5.793548387096774,1471.7096774193549,17.851612903225806,133635
201206,6,29.71666666666666,24.139999999999993,33.0,54.086666666666666,15.316666666666668,2.8,7.733333333333334,193.0,5.836666666666667,1354.0333333333333,17.815333333333335,76116
201207,7,29.025806451612908,25.412903225806453,55.935483870967744,73.83225806451615,21.376190476190477,2.729032258064516,4.645161290322581,217.41935483870967,5.429032258064515,1385.6129032258063,12.101290322580645,48983
201208,8,30.851612903225814,27.132258064516122,51.0,67.95483870967742,25.82777777777778,2.967741935483871,5.119354838709678,169.67741935483872,6.054838709677419,1427.3225806451612,11.704516129032253,52876
201209,9,24.976666666666667,20.963333333333328,43.233333333333334,65.14999999999999,17.666666666666668,2.296666666666666,6.359999999999999,181.0,5.003333333333333,1335.2,11.876000000000001,76660
201210,10,20.503225806451614,15.348387096774196,31.903225806451612,58.17741935483871,11.033333333333333,2.2838709677419358,7.593548387096776,240.96774193548387,4.935483870967742,1406.7096774193549,11.277419354838711,144268
201211,11,9.516666666666664,5.540000000000001,36.833333333333336,57.239999999999995,4.52,2.72,6.036666666666667,228.33333333333334,5.503333333333333,1302.8666666666666,7.6196666666666655,89575
201212,12,-0.5193548387096775,-4.119354838709678,38.67741935483871,57.029032258064504,3.1846153846153844,2.7258064516129035,6.245161290322581,238.38709677419354,5.558064516129034,1301.4193548387098,6.784516129032257,28061
201301,1,0.3354838709677418,-3.4322580645161285,38.54838709677419,57.0774193548387,2.21,2.6709677419354834,5.409677419354837,215.48387096774192,5.190322580645162,1343.4516129032259,7.023548387096774,30490
201302,2,2.775,-1.2392857142857143,30.285714285714285,53.628571428571426,5.700000000000001,2.882142857142857,6.685714285714284,241.07142857142858,5.703571428571428,1376.0714285714287,10.588571428571427,36905
201303,3,10.835483870967739,5.135483870967743,25.258064516129032,49.174193548387095,3.4125,3.0322580645161286,8.267741935483869,250.0,6.1,1348.0645161290322,14.300322580645163,54054
201304,4,14.98,10.006666666666666,28.366666666666667,53.97666666666667,4.78,3.4266666666666663,7.106666666666666,235.66666666666666,6.920000000000002,1216.8666666666666,14.995333333333331,101508
201305,5,23.587096774193547,18.222580645161287,35.87096774193548,57.78387096774193,12.0,2.9,7.6806451612903235,211.93548387096774,5.861290322580645,1372.5806451612902,16.55483870967742,265795
201306,6,29.236666666666668,24.410000000000007,39.7,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,243.0,4.930000000000001,1325.1666666666667,16.91433333333333,83137
