date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최다 풍향(16방위),최대 순간풍속 풍향(16방위),평균 중기압(hPa),최저 해면기압(hPa),국립중앙박물관
201101,1,-3.406451612903226,-7.183870967741936,35.12903225806452,53.8290322580645,1.1125,2.796774193548387,7.048387096774194,229.3548387096774,279.6774193548387,1.9838709677419355,1024.9806451612903,260272
201102,2,5.864285714285715,1.2214285714285713,32.0,55.22857142857142,9.700000000000001,2.5535714285714284,5.949999999999998,190.35714285714286,230.71428571428572,3.717857142857143,1019.3964285714286,224691
201103,3,8.345161290322581,3.6161290322580646,25.258064516129032,51.11290322580645,2.085714285714286,3.4064516129032265,7.748387096774192,246.4516129032258,247.09677419354838,4.103225806451613,1018.841935483871,184565
201104,4,15.596666666666664,10.719999999999997,28.666666666666668,54.239999999999995,10.009090909090908,3.243333333333333,6.736666666666665,226.0,235.66666666666666,6.766666666666668,1011.4800000000001,240861
201105,5,22.983870967741936,17.925806451612903,32.16129032258065,56.41612903225806,4.107692307692307,2.832258064516129,5.819354838709677,156.1290322580645,220.0,11.103225806451613,1008.5612903225807,307969
201106,6,26.576666666666664,21.97666666666667,46.233333333333334,66.56,20.225,2.923333333333334,5.693333333333333,202.0,235.0,16.966666666666665,1004.2966666666667,214570
201107,7,27.996774193548394,24.63870967741936,62.41935483870968,78.78709677419354,49.17391304347826,2.4193548387096775,2.593548387096774,151.61290322580646,173.2258064516129,24.00645161290322,1003.8741935483871,331836
201108,8,29.451612903225808,25.77419354838709,56.29032258064516,74.33548387096774,8.34,2.52258064516129,3.032258064516129,144.19354838709677,180.6451612903226,24.280645161290323,1006.5935483870967,554395
201109,9,26.573333333333338,21.75,37.3,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,146.66666666666666,172.0,15.116666666666667,1010.6733333333331,223776
201110,10,19.34838709677419,14.222580645161294,31.06451612903226,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666667,157.74193548387098,240.0,8.774193548387096,1018.0258064516129,263728
201111,11,14.693333333333335,10.68666666666667,41.96666666666667,60.376666666666665,3.746666666666667,2.7200000000000006,4.316666666666666,152.33333333333334,191.66666666666666,8.396666666666665,1019.9466666666666,199058
201112,12,2.851612903225808,-0.870967741935484,31.677419354838708,50.438709677419354,0.5916666666666667,2.6161290322580633,6.309677419354839,205.80645161290323,233.2258064516129,3.106451612903226,1025.258064516129,233828
201201,1,1.338709677419355,-2.787096774193549,30.548387096774192,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,215.80645161290323,262.5806451612903,2.570967741935484,1023.8322580645159,229035
201202,2,2.96896551724138,-2.0448275862068965,23.620689655172413,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,201.72413793103448,255.51724137931035,2.396551724137931,1021.2620689655173,161943
201203,3,9.52258064516129,5.090322580645162,28.419354838709676,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,210.0,217.09677419354838,4.635483870967741,1016.5387096774197,154580
201204,4,17.88666666666667,12.34,30.133333333333333,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,200.66666666666666,223.33333333333334,7.739999999999999,1009.4133333333334,215851
201205,5,25.148387096774194,19.73225806451613,26.838709677419356,48.232258064516124,0.82,2.651612903225807,8.106451612903227,187.41935483870967,203.5483870967742,10.580645161290322,1008.8290322580646,306757
201206,6,29.71666666666666,24.139999999999993,33.0,54.086666666666666,15.316666666666668,2.8,7.733333333333334,186.33333333333334,193.0,15.716666666666665,1004.8099999999998,230204
201207,7,29.025806451612908,25.412903225806453,55.935483870967744,73.83225806451615,21.376190476190477,2.729032258064516,4.645161290322581,191.29032258064515,217.41935483870967,23.622580645161296,1003.5774193548386,277935
201208,8,30.851612903225814,27.132258064516122,51.0,67.95483870967742,25.82777777777778,2.967741935483871,5.119354838709678,124.83870967741936,169.67741935483872,23.81935483870968,1005.7612903225805,434529
201209,9,24.976666666666667,20.963333333333328,43.233333333333334,65.14999999999999,17.666666666666668,2.296666666666666,6.359999999999999,133.33333333333334,181.0,15.890000000000002,1010.9866666666666,219211
201210,10,20.503225806451614,15.348387096774196,31.903225806451612,58.17741935483871,11.033333333333333,2.2838709677419358,7.593548387096776,163.2258064516129,240.96774193548387,10.112903225806452,1015.6935483870968,265513
