date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최저 해면기압 시각(hhmi),평균 전운량(10분위),서대문형무소역사관
201101,1,-3.406451612903226,-7.183870967741936,35.12903225806452,53.8290322580645,1.1125,2.796774193548387,7.048387096774194,1297.8387096774193,2.7387096774193544,18407
201102,2,5.864285714285715,1.2214285714285713,32.0,55.22857142857142,9.700000000000001,2.5535714285714284,5.949999999999998,1382.5,4.0321428571428575,14387
201103,3,8.345161290322581,3.6161290322580646,25.258064516129032,51.11290322580645,2.085714285714286,3.4064516129032265,7.748387096774192,1298.5483870967741,3.303225806451613,47554
201104,4,15.596666666666664,10.719999999999997,28.666666666666668,54.239999999999995,10.009090909090908,3.243333333333333,6.736666666666665,1259.5333333333333,4.733333333333333,66009
201105,5,22.983870967741936,17.925806451612903,32.16129032258065,56.41612903225806,4.107692307692307,2.832258064516129,5.819354838709677,1458.6129032258063,5.641935483870969,72267
201106,6,26.576666666666664,21.97666666666667,46.233333333333334,66.56,20.225,2.923333333333334,5.693333333333333,1273.8666666666666,6.126666666666666,65633
201107,7,27.996774193548394,24.63870967741936,62.41935483870968,78.78709677419354,49.17391304347826,2.4193548387096775,2.593548387096774,1307.9354838709678,7.9870967741935495,22029
201108,8,29.451612903225808,25.77419354838709,56.29032258064516,74.33548387096774,8.34,2.52258064516129,3.032258064516129,1301.7096774193549,7.458064516129034,90282
201109,9,26.573333333333338,21.75,37.3,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,1158.8,4.466666666666667,30466
201110,10,19.34838709677419,14.222580645161294,31.06451612903226,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666667,1282.1935483870968,3.8064516129032264,56041
201111,11,14.693333333333335,10.68666666666667,41.96666666666667,60.376666666666665,3.746666666666667,2.7200000000000006,4.316666666666666,1238.7333333333333,6.043333333333335,39012
201112,12,2.851612903225808,-0.870967741935484,31.677419354838708,50.438709677419354,0.5916666666666667,2.6161290322580633,6.309677419354839,1271.483870967742,3.929032258064516,32412
201201,1,1.338709677419355,-2.787096774193549,30.548387096774192,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,1265.9354838709678,3.6129032258064515,17410
201202,2,2.96896551724138,-2.0448275862068965,23.620689655172413,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,1341.551724137931,3.4,52249
201203,3,9.52258064516129,5.090322580645162,28.419354838709676,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,1204.3225806451612,5.193548387096775,20586
201204,4,17.88666666666667,12.34,30.133333333333333,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,1352.5333333333333,4.6,53840
201205,5,25.148387096774194,19.73225806451613,26.838709677419356,48.232258064516124,0.82,2.651612903225807,8.106451612903227,1382.516129032258,4.303225806451614,127886
201206,6,29.71666666666666,24.139999999999993,33.0,54.086666666666666,15.316666666666668,2.8,7.733333333333334,1462.4,5.416666666666666,76369
201207,7,29.025806451612908,25.412903225806453,55.935483870967744,73.83225806451615,21.376190476190477,2.729032258064516,4.645161290322581,1056.4516129032259,7.351612903225806,16839
201208,8,30.851612903225814,27.132258064516122,51.0,67.95483870967742,25.82777777777778,2.967741935483871,5.119354838709678,1338.967741935484,6.754838709677419,82241
201209,9,24.976666666666667,20.963333333333328,43.233333333333334,65.14999999999999,17.666666666666668,2.296666666666666,6.359999999999999,1130.4,5.620000000000001,24364
201210,10,20.503225806451614,15.348387096774196,31.903225806451612,58.17741935483871,11.033333333333333,2.2838709677419358,7.593548387096776,1165.8064516129032,3.603225806451613,35768
201211,11,9.516666666666664,5.540000000000001,36.833333333333336,57.239999999999995,4.52,2.72,6.036666666666667,1137.9666666666667,4.536666666666665,21556
201212,12,-0.5193548387096775,-4.119354838709678,38.67741935483871,57.029032258064504,3.1846153846153844,2.7258064516129035,6.245161290322581,1055.5483870967741,3.467741935483871,14090
201301,1,0.3354838709677418,-3.4322580645161285,38.54838709677419,57.0774193548387,2.21,2.6709677419354834,5.409677419354837,1152.0,4.261290322580645,14838
201302,2,2.775,-1.2392857142857143,30.285714285714285,53.628571428571426,5.700000000000001,2.882142857142857,6.685714285714284,1192.5357142857142,4.717857142857142,9821
201303,3,10.835483870967739,5.135483870967743,25.258064516129032,49.174193548387095,3.4125,3.0322580645161286,8.267741935483869,1248.3870967741937,3.3193548387096765,24100
201304,4,14.98,10.006666666666666,28.366666666666667,53.97666666666667,4.78,3.4266666666666663,7.106666666666666,1308.6333333333334,5.006666666666667,60970
201305,5,23.587096774193547,18.222580645161287,35.87096774193548,57.78387096774193,12.0,2.9,7.6806451612903235,1351.0967741935483,4.664516129032259,80636
