date,month,평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),합계 일조 시간(hr),풍정합(100m),최다 풍향(16방위),평균 전운량(10분위),합계 일사량(MJ/m2),합계 소형증발량(mm),9-9강수(mm),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),최저 기온 시각(hhmi),최고 기온 시각(hhmi),최저 해면기압 시각(hhmi),최대 순간풍속 시각(hhmi),열지수,경복궁
201101,1,-7.183870967741936,35.12903225806452,53.8290322580645,1.1125,7.048387096774194,2415.3870967741937,229.3548387096774,2.7387096774193544,9.951290322580645,1.2096774193548387,0.7416666666666667,-2.6677419354838716,-2.2483870967741932,966.2903225806451,1392.8387096774193,1297.8387096774193,1332.3548387096773,-2.63844169931771,141183
201102,2,1.2214285714285713,32.0,55.22857142857142,9.700000000000001,5.949999999999998,2210.25,190.35714285714286,4.0321428571428575,10.827857142857143,1.8035714285714288,7.85,0.5214285714285714,0.31071428571428567,706.7857142857143,1441.5357142857142,1382.5,1485.357142857143,21.068911369167047,230814
201103,3,3.6161290322580646,25.258064516129032,51.11290322580645,2.085714285714286,7.748387096774192,2950.032258064516,246.4516129032258,3.303225806451613,16.34225806451613,2.9580645161290318,1.5375,5.345161290322579,5.235483870967743,1033.5483870967741,1464.4193548387098,1298.5483870967741,1466.5483870967741,27.164808460155243,228276
201104,4,10.719999999999997,28.666666666666668,54.239999999999995,10.009090909090908,6.736666666666665,2805.733333333333,226.0,4.733333333333333,16.832333333333334,3.7566666666666673,7.346666666666667,12.123333333333331,11.723333333333333,773.4333333333333,1345.5,1259.5333333333333,1339.1333333333334,44.0128164393188,349368
201105,5,17.925806451612903,32.16129032258065,56.41612903225806,4.107692307692307,5.819354838709677,2446.7096774193546,156.1290322580645,5.641935483870969,17.091935483870966,4.3419354838709685,5.278571428571429,19.09677419354839,18.45806451612903,953.3870967741935,1397.1290322580646,1458.6129032258063,1475.483870967742,58.67802023154358,438567
201106,6,21.97666666666667,46.233333333333334,66.56,20.225,5.693333333333333,2525.4333333333334,202.0,6.126666666666666,16.424,4.206666666666666,20.210526315789473,24.15666666666667,23.519999999999996,676.2,1383.0,1273.8666666666666,1395.1,65.33428424051591,252185
201107,7,24.63870967741936,62.41935483870968,78.78709677419354,49.17391304347826,2.593548387096774,2087.7096774193546,151.61290322580646,7.9870967741935495,11.042903225806453,2.583870967741936,45.26,25.90967741935484,25.53225806451612,912.0,1307.6451612903227,1307.9354838709678,1317.7096774193549,68.74794364903217,275074
201108,8,25.77419354838709,56.29032258064516,74.33548387096774,8.34,3.032258064516129,2181.2903225806454,144.19354838709677,7.458064516129034,12.222903225806451,3.3709677419354844,8.75263157894737,26.774193548387096,26.399999999999995,876.8709677419355,1418.258064516129,1301.7096774193549,1407.4193548387098,70.74250475044221,386264
201109,9,21.75,37.3,58.23666666666666,3.2,6.013333333333334,2112.0666666666666,146.66666666666666,4.466666666666667,14.979666666666667,4.829999999999999,2.3272727272727276,24.36,24.226666666666667,949.6333333333333,1379.7,1158.8,1413.0333333333333,65.43692774119495,437683
201110,10,14.222580645161294,31.06451612903226,54.503225806451596,5.333333333333333,7.176666666666667,1850.1666666666667,157.74193548387098,3.8064516129032264,12.142999999999997,3.7580645161290325,4.571428571428571,15.603225806451615,15.861290322580643,892.9354838709677,1353.7096774193549,1282.1935483870968,1458.9032258064517,51.46615886655776,518742
201111,11,10.68666666666667,41.96666666666667,60.376666666666665,3.746666666666667,4.316666666666666,2349.8333333333335,152.33333333333334,6.043333333333335,6.327666666666665,2.1166666666666663,3.4875,11.060000000000004,11.323333333333332,955.6333333333333,1179.9666666666667,1238.7333333333333,1384.3333333333333,43.85770836030781,304318
201112,12,-0.870967741935484,31.677419354838708,50.438709677419354,0.5916666666666667,6.309677419354839,2258.6451612903224,205.80645161290323,3.929032258064516,6.962258064516129,1.9516129032258067,0.6454545454545455,1.4548387096774198,1.9838709677419357,1043.6451612903227,1264.8709677419354,1271.483870967742,1342.3225806451612,15.321793043014242,237330
201201,1,-2.787096774193549,30.548387096774192,48.85806451612903,0.5583333333333333,6.14516129032258,2186.7096774193546,215.80645161290323,3.6129032258064515,7.564516129032258,2.103225806451613,0.67,-1.1354838709677417,-0.825806451612903,925.6451612903226,1351.1935483870968,1265.9354838709678,1454.0,9.93249176713916,114505
201202,2,-2.0448275862068965,23.620689655172413,43.17931034482758,0.13333333333333333,7.755172413793103,2468.4137931034484,201.72413793103448,3.4,11.21551724137931,2.7034482758620686,0.2,-0.7620689655172413,-0.7172413793103452,1023.9310344827586,1378.0344827586207,1341.551724137931,1334.9310344827586,11.804375237344011,169684
201203,3,5.090322580645162,28.419354838709676,51.84516129032257,3.3857142857142857,6.187096774193549,3052.483870967742,210.0,5.193548387096775,11.85516129032258,2.770967741935485,3.3857142857142857,5.780645161290321,5.490322580645163,1075.8387096774193,1262.9032258064517,1204.3225806451612,1627.741935483871,30.860404482003446,233028
201204,4,12.34,30.133333333333333,54.10333333333333,17.444444444444443,7.083333333333334,2953.5333333333333,200.66666666666666,4.6,14.949333333333328,4.406666666666667,15.7,12.860000000000005,12.34,755.1333333333333,1307.3333333333333,1352.5333333333333,1350.2333333333333,47.533741972094866,336255
201205,5,19.73225806451613,26.838709677419356,48.232258064516124,0.82,8.106451612903227,2293.8709677419356,187.41935483870967,4.303225806451614,17.851612903225806,6.022580645161291,0.911111111111111,22.14193548387097,21.4258064516129,655.516129032258,1390.516129032258,1382.516129032258,1415.3548387096773,62.40663715495757,481103
