date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최다 풍향(16방위),최저 초상온도(°C),합계 소형증발량(mm),9-9강수(mm),남산골한옥마을
201101,1,-3.406451612903226,-7.183870967741936,35.12903225806452,53.8290322580645,1.1125,2.796774193548387,7.048387096774194,229.3548387096774,-16.083870967741934,1.2096774193548387,0.7416666666666667,72313
201102,2,5.864285714285715,1.2214285714285713,32.0,55.22857142857142,9.700000000000001,2.5535714285714284,5.949999999999998,190.35714285714286,-9.564285714285715,1.8035714285714288,7.85,135771
201103,3,8.345161290322581,3.6161290322580646,25.258064516129032,51.11290322580645,2.085714285714286,3.4064516129032265,7.748387096774192,246.4516129032258,-5.006451612903224,2.9580645161290318,1.5375,105735
201104,4,15.596666666666664,10.719999999999997,28.666666666666668,54.239999999999995,10.009090909090908,3.243333333333333,6.736666666666665,226.0,1.1166666666666667,3.7566666666666673,7.346666666666667,176991
201105,5,22.983870967741936,17.925806451612903,32.16129032258065,56.41612903225806,4.107692307692307,2.832258064516129,5.819354838709677,156.1290322580645,8.935483870967742,4.3419354838709685,5.278571428571429,188983
201106,6,26.576666666666664,21.97666666666667,46.233333333333334,66.56,20.225,2.923333333333334,5.693333333333333,202.0,15.436666666666667,4.206666666666666,20.210526315789473,164051
201107,7,27.996774193548394,24.63870967741936,62.41935483870968,78.78709677419354,49.17391304347826,2.4193548387096775,2.593548387096774,151.61290322580646,21.50967741935484,2.583870967741936,45.26,132893
201108,8,29.451612903225808,25.77419354838709,56.29032258064516,74.33548387096774,8.34,2.52258064516129,3.032258064516129,144.19354838709677,21.412903225806456,3.3709677419354844,8.75263157894737,162527
201109,9,26.573333333333338,21.75,37.3,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,146.66666666666666,13.086666666666668,4.829999999999999,2.3272727272727276,217701
201110,10,19.34838709677419,14.222580645161294,31.06451612903226,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666667,157.74193548387098,4.0290322580645155,3.7580645161290325,4.571428571428571,204315
201111,11,14.693333333333335,10.68666666666667,41.96666666666667,60.376666666666665,3.746666666666667,2.7200000000000006,4.316666666666666,152.33333333333334,3.4833333333333334,2.1166666666666663,3.4875,145349
201112,12,2.851612903225808,-0.870967741935484,31.677419354838708,50.438709677419354,0.5916666666666667,2.6161290322580633,6.309677419354839,205.80645161290323,-9.241935483870968,1.9516129032258067,0.6454545454545455,110986
201201,1,1.338709677419355,-2.787096774193549,30.548387096774192,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,215.80645161290323,-12.493548387096778,2.103225806451613,0.67,105489
201202,2,2.96896551724138,-2.0448275862068965,23.620689655172413,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,201.72413793103448,-12.203448275862073,2.7034482758620686,0.2,98477
201203,3,9.52258064516129,5.090322580645162,28.419354838709676,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,210.0,-2.267741935483871,2.770967741935485,3.3857142857142857,115029
201204,4,17.88666666666667,12.34,30.133333333333333,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,200.66666666666666,3.8533333333333335,4.406666666666667,15.7,215338
201205,5,25.148387096774194,19.73225806451613,26.838709677419356,48.232258064516124,0.82,2.651612903225807,8.106451612903227,187.41935483870967,10.687096774193547,6.022580645161291,0.911111111111111,219653
201206,6,29.71666666666666,24.139999999999993,33.0,54.086666666666666,15.316666666666668,2.8,7.733333333333334,186.33333333333334,17.213333333333328,7.643333333333334,15.316666666666668,182033
201207,7,29.025806451612908,25.412903225806453,55.935483870967744,73.83225806451615,21.376190476190477,2.729032258064516,4.645161290322581,191.29032258064515,20.81612903225807,4.154838709677419,22.445,156705
201208,8,30.851612903225814,27.132258064516122,51.0,67.95483870967742,25.82777777777778,2.967741935483871,5.119354838709678,124.83870967741936,22.267741935483876,5.361290322580645,24.46842105263158,156150
201209,9,24.976666666666667,20.963333333333328,43.233333333333334,65.14999999999999,17.666666666666668,2.296666666666666,6.359999999999999,133.33333333333334,14.216666666666667,3.8066666666666658,23.555555555555557,174729
201210,10,20.503225806451614,15.348387096774196,31.903225806451612,58.17741935483871,11.033333333333333,2.2838709677419358,7.593548387096776,163.2258064516129,6.493548387096774,3.2354838709677414,9.027272727272727,206433
201211,11,9.516666666666664,5.540000000000001,36.833333333333336,57.239999999999995,4.52,2.72,6.036666666666667,182.0,-1.8066666666666669,1.9,4.52,122411
201212,12,-0.5193548387096775,-4.119354838709678,38.67741935483871,57.029032258064504,3.1846153846153844,2.7258064516129035,6.245161290322581,183.2258064516129,-10.112903225806452,1.1161290322580641,3.292307692307692,90038
201301,1,0.3354838709677418,-3.4322580645161285,38.54838709677419,57.0774193548387,2.21,2.6709677419354834,5.409677419354837,198.06451612903226,-9.396774193548385,1.5612903225806452,3.266666666666667,70114
201302,2,2.775,-1.2392857142857143,30.285714285714285,53.628571428571426,5.700000000000001,2.882142857142857,6.685714285714284,220.35714285714286,-7.050000000000002,1.7392857142857143,5.327272727272727,116963
201303,3,10.835483870967739,5.135483870967743,25.258064516129032,49.174193548387095,3.4125,3.0322580645161286,8.267741935483869,226.7741935483871,-2.674193548387097,3.1193548387096763,3.4714285714285715,108698
