"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20140101 ~ 20141231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","1261-136","1261","0136","(1261-136)","33.75","25.46","201410","1","9,500","-1","1996","삼양로16길 39-12",""
"서울특별시 강북구 미아동","1264-173","1264","0173","(1264-173)","38.67","25.07","201409","19","14,000","2","1996","삼양로22길 39",""
"서울특별시 강북구 미아동","129-28","0129","0028","(129-28)","29.14","16.86","201406","2","7,200","3","1992","도봉로34길 47-9",""
"서울특별시 강북구 미아동","139-89","0139","0089","(139-89)","21.5","12.19","201410","23","7,200","-1","1994","도봉로18다길 4",""
"서울특별시 강북구 미아동","258-115","0258","0115","(258-115)","41.4","30.22","201412","2","10,750","-1","1986","오패산로52라길 9",""
"서울특별시 강북구 미아동","258-151","0258","0151","(258-151)","46.62","32.5","201405","29","12,100","2","1986","오패산로52나길 30",""
"서울특별시 강북구 미아동","258-210","0258","0210","(258-210)","54.31","38.85","201410","22","11,900","2","1988","오패산로52다길 32",""
"서울특별시 강북구 미아동","258-45","0258","0045","(258-45)","32.46","21.67","201407","21","5,900","1","1987","오패산로52자길 21",""
"서울특별시 강북구 미아동","258-468","0258","0468","(258-468)","54.19","47.33","201403","12","14,300","2","1987","오패산로52다길 29",""
"서울특별시 강북구 미아동","258-472","0258","0472","(258-472)","57.4","40.8","201409","2","9,400","-1","1988","오패산로52다길 35",""
"서울특별시 강북구 미아동","258-499","0258","0499","(258-499)","47.67","37.22","201410","18","11,000","2","1986","오패산로52나길 22",""
"서울특별시 강북구 미아동","258-503","0258","0503","(258-503)","47.73","37.6","201410","24","11,300","2","1986","오패산로52마길 28",""
"서울특별시 강북구 미아동","258-572","0258","0572","(258-572)","41.58","28.83","201405","3","7,400","-1","1987","오패산로52길 144",""
"서울특별시 강북구 미아동","258-592","0258","0592","(258-592)","32.46","22","201401","10","8,000","2","1987","오패산로52자길 27",""
"서울특별시 강북구 미아동","258-593","0258","0593","(258-593)","35.74","23.83","201404","4","6,000","1","1987","오패산로52아길 34",""
"서울특별시 강북구 미아동","258-613","0258","0613","(258-613)","38.11","27.16","201409","10","7,900","2","1987","오패산로52길 69",""
"서울특별시 강북구 미아동","258-674","0258","0674","(258-674)","32.59","23.7","201409","10","7,500","-1","1988","오패산로52아길 14",""
"서울특별시 강북구 미아동","258-720","0258","0720","(258-720)","32.3","26.64","201408","2","6,900","2","1990","오패산로52가길 7-14",""
