"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20110101 ~ 20111231"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","201103","8","10,200","8","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","40.02","201105","2","10,000","13","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","201108","23","10,000","7","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","36.9","201109","22","10,000","15","1991","도봉로 328",""
"서울특별시 강북구 번동","446-13","446","13","가든타워오피스텔","35.1","201110","17","10,000","13","1991","도봉로 328",""
"서울특별시 강북구 번동","448-7","448","7","강북중앙드림빌","28.71","201105","17","9,000","4","2003","도봉로82길 24-1",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.95","201102","17","8,200","9","2001","도봉로 396",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.95","201102","23","6,800","9","2001","도봉로 396",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.95","201103","10","7,700","7","2001","도봉로 396",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.47","201103","17","8,000","2","2001","도봉로 396",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.95","201103","22","8,000","4","2001","도봉로 396",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.95","201103","25","8,000","4","2001","도봉로 396",""
"서울특별시 강북구 번동","465-4","465","4","밀레니엄 오피스텔","24.95","201109","19","8,350","5","2001","도봉로 396",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","201101","13","8,250","5","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","201102","15","8,285","8","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","201103","9","8,250","8","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","201104","8","8,500","5","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","201105","1","8,500","8","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","201105","7","8,300","15","2003","덕릉로 99",""
"서울특별시 강북구 번동","448-2","448","2","북한산드림캐슬","24.09","201107","15","8,800","6","2003","덕릉로 99",""
