areaCode,areaNm,baseYmd,daywkDivCd,daywkDivNm,touDivCd,touDivNm,touNum
44,충청남도,20210602,3,수요일,3,외국인(c),819.5134824339003
45,전라북도,20210602,3,수요일,1,현지인(a),1069124.0
45,전라북도,20210602,3,수요일,2,외지인(b),136559.5
45,전라북도,20210602,3,수요일,3,외국인(c),415.15999999999985
46,전라남도,20210602,3,수요일,1,현지인(a),998203.5
46,전라남도,20210602,3,수요일,2,외지인(b),208687.5
46,전라남도,20210602,3,수요일,3,외국인(c),1157.1014611498013
47,경상북도,20210602,3,수요일,1,현지인(a),1490685.0
47,경상북도,20210602,3,수요일,2,외지인(b),300079.5
47,경상북도,20210602,3,수요일,3,외국인(c),777.3516120292611
48,경상남도,20210602,3,수요일,1,현지인(a),1635879.0
48,경상남도,20210602,3,수요일,2,외지인(b),262416.0
48,경상남도,20210602,3,수요일,3,외국인(c),1833.9964733984793
50,제주특별자치도,20210602,3,수요일,1,현지인(a),550336.5
50,제주특별자치도,20210602,3,수요일,2,외지인(b),137385.5
50,제주특별자치도,20210602,3,수요일,3,외국인(c),1060.0433210579174
11,서울특별시,20210603,4,목요일,1,현지인(a),4837574.0
11,서울특별시,20210603,4,목요일,2,외지인(b),1100410.5
11,서울특별시,20210603,4,목요일,3,외국인(c),4261.730000000009
26,부산광역시,20210603,4,목요일,1,현지인(a),1396881.5
26,부산광역시,20210603,4,목요일,2,외지인(b),230741.0
26,부산광역시,20210603,4,목요일,3,외국인(c),2290.9517400419295
27,대구광역시,20210603,4,목요일,1,현지인(a),1199583.0
27,대구광역시,20210603,4,목요일,2,외지인(b),160349.0
27,대구광역시,20210603,4,목요일,3,외국인(c),226.30666021921343
28,인천광역시,20210603,4,목요일,1,현지인(a),1264924.5
28,인천광역시,20210603,4,목요일,2,외지인(b),262962.0
28,인천광역시,20210603,4,목요일,3,외국인(c),3340.9975035780008
29,광주광역시,20210603,4,목요일,1,현지인(a),797905.5
29,광주광역시,20210603,4,목요일,2,외지인(b),106295.0
29,광주광역시,20210603,4,목요일,3,외국인(c),191.30613215149086
30,대전광역시,20210603,4,목요일,1,현지인(a),741604.5
30,대전광역시,20210603,4,목요일,2,외지인(b),137693.5
30,대전광역시,20210603,4,목요일,3,외국인(c),175.26884176182708
31,울산광역시,20210603,4,목요일,1,현지인(a),499576.0
31,울산광역시,20210603,4,목요일,2,외지인(b),78204.0
31,울산광역시,20210603,4,목요일,3,외국인(c),1005.9460731070494
36,세종특별자치시,20210603,4,목요일,1,현지인(a),155253.0
36,세종특별자치시,20210603,4,목요일,2,외지인(b),52430.0
36,세종특별자치시,20210603,4,목요일,3,외국인(c),55.84672897196261
41,경기도,20210603,4,목요일,1,현지인(a),6263176.5
41,경기도,20210603,4,목요일,2,외지인(b),1084863.5
41,경기도,20210603,4,목요일,3,외국인(c),5737.078173930196
42,강원도,20210603,4,목요일,1,현지인(a),1022955.5
42,강원도,20210603,4,목요일,2,외지인(b),194215.0
42,강원도,20210603,4,목요일,3,외국인(c),296.9596428571429
43,충청북도,20210603,4,목요일,1,현지인(a),805763.0
43,충청북도,20210603,4,목요일,2,외지인(b),180789.0
43,충청북도,20210603,4,목요일,3,외국인(c),361.06339453649787
44,충청남도,20210603,4,목요일,1,현지인(a),1107382.5
44,충청남도,20210603,4,목요일,2,외지인(b),253204.0
44,충청남도,20210603,4,목요일,3,외국인(c),824.3678797899245
45,전라북도,20210603,4,목요일,1,현지인(a),1031705.5
45,전라북도,20210603,4,목요일,2,외지인(b),134596.0
45,전라북도,20210603,4,목요일,3,외국인(c),408.69429333333306
46,전라남도,20210603,4,목요일,1,현지인(a),955248.0
46,전라남도,20210603,4,목요일,2,외지인(b),192160.5
46,전라남도,20210603,4,목요일,3,외국인(c),1066.3470761961012
47,경상북도,20210603,4,목요일,1,현지인(a),1448741.0
47,경상북도,20210603,4,목요일,2,외지인(b),281844.5
47,경상북도,20210603,4,목요일,3,외국인(c),633.6167578125005
48,경상남도,20210603,4,목요일,1,현지인(a),1571990.0
48,경상남도,20210603,4,목요일,2,외지인(b),245756.0
48,경상남도,20210603,4,목요일,3,외국인(c),1794.9541362460477
50,제주특별자치도,20210603,4,목요일,1,현지인(a),539836.5
50,제주특별자치도,20210603,4,목요일,2,외지인(b),145852.0
50,제주특별자치도,20210603,4,목요일,3,외국인(c),1221.3802304811304
26,부산광역시,20210604,5,금요일,1,현지인(a),1462237.0
