"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","7**","다가구","8m미만","187.56","94","201511","10","36,900","1991","삼양로44길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","179.33","94.5","201502","4","38,250","1991","도봉로28가길",""
"서울특별시 강북구 미아동","7*","다가구","8m미만","127.35","96","201508","3","43,400","1990","도봉로10다길",""
"서울특별시 강북구 미아동","4**","다가구","12m미만","145.37","96","201505","22","40,300","1997","도봉로13길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","149.76","96","201503","21","34,800","1993","삼양로54나길",""
"서울특별시 강북구 미아동","9*","다가구","8m미만","155.27","96","201510","3","49,500","1990","오현로6길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","149.31","96.2","201502","13","38,280","1994","도봉로27길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","198.56","97.2","201510","7","46,500","1993","도봉로27길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","149.4","97.5","201510","20","42,600","1994","도봉로45길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","167.17","98.8","201506","28","37,000","1995","솔매로41길",""
"서울특별시 강북구 미아동","8*","다가구","8m미만","125.4","99","201503","27","40,000","1994","오패산로",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","143.19","99","201508","17","39,000","1993","삼양로20나길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","145.17","99","201510","9","40,200","1989","솔샘로64가길",""
"서울특별시 강북구 미아동","8**","다가구","8m미만","162.36","99","201510","9","28,500","1991","솔샘로43길",""
"서울특별시 강북구 미아동","5*","다가구","8m미만","169.02","99","201508","13","70,000","1993","월계로7나길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","149.96","99.1","201508","4","41,000","1992","도봉로27길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","149.06","99.5","201502","17","39,000","1993","도봉로27길",""
"서울특별시 강북구 미아동","1***","다가구","12m미만","133.4","100","201512","24","33,300","1999","삼양로16길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","192.5","100.5","201508","12","47,120","1994","null",""
"서울특별시 강북구 미아동","1***","다가구","8m미만","109.11","102","201511","27","35,000","2000","삼양로16길",""
"서울특별시 강북구 미아동","4*","다가구","8m미만","149.85","102","201508","6","43,200","1993","오패산로",""
"서울특별시 강북구 미아동","6**","다가구","8m미만","156.14","102","201510","22","40,000","1994","삼양로20길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","201.96","102","201508","8","61,700","1996","null",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","183.6","102.1","201506","16","44,800","1993","도봉로61길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","212.8","102.1","201507","24","41,000","1993","도봉로61길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","138.55","102.8","201501","29","28,000","1994","솔매로41길",""
"서울특별시 강북구 미아동","7*","다가구","8m미만","164.6","103","201506","19","51,500","1995","도봉로10다길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","148.5","103.1","201503","30","41,700","1992","도봉로29길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","149.85","103.8","201511","13","45,000","1993","도봉로27길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","149.9","104.8","201510","8","45,000","1993","도봉로78길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","159.54","105.1","201507","18","41,000","1994","도봉로28나길",""
"서울특별시 강북구 미아동","*","다가구","-","179.31","105.1","201502","12","43,500","1950","null",""
"서울특별시 강북구 미아동","7*","다가구","8m미만","180.73","106","201502","13","47,800","2000","오패산로31길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","180.78","106","201502","14","45,000","1991","null",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","135.89","106.8","201508","17","40,000","1994","도봉로18길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","162.1","107.4","201504","16","43,740","1995","도봉로27길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","133.74","108.3","201507","15","38,500","1991","도봉로18라길",""
"서울특별시 강북구 미아동","8**","다가구","8m미만","172.28","109","201509","19","39,000","1993","솔샘로43길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","180.64","109","201505","20","42,800","1991","숭인로7나길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","192.46","109","201503","17","37,000","1996","솔샘로47나길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","179.86","109.1","201510","19","52,800","1995","도봉로57길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","183.81","111.4","201503","17","55,800","1992","도봉로27길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","199.92","112","201503","16","47,160","1993","삼양로40길",""
"서울특별시 강북구 미아동","5*","다가구","8m미만","200.74","112","201504","13","50,800","2006","월계로7나길",""
"서울특별시 강북구 미아동","6**","다가구","8m미만","212.82","112","201507","3","45,000","1996","삼양로30길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","251.64","113.1","201508","28","58,000","1993","도봉로45길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","264.84","114","201509","17","62,000","1992","도봉로45길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","225.73","114.7","201508","8","66,500","2010","도봉로30길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","196.92","115","201502","9","45,300","1991","삼양로54나길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","182.58","115.7","201504","18","59,500","1991","솔샘로65길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","180.54","116","201511","14","52,600","1990","null",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","160.29","117","201503","9","51,200","1993","솔매로39길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","160.29","117","201503","13","51,200","1993","솔매로39길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","199.26","117","201503","9","25,000","1993","솔매로7가길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","208.04","117","201501","19","41,000","1993","도봉로63길",""
"서울특별시 강북구 미아동","1***","다가구","25m미만","208.71","117","201508","11","52,500","1999","숭인로",""
"서울특별시 강북구 미아동","1**","다가구","25m미만","314.7","118.6","201510","10","83,000","1997","솔매로",""
"서울특별시 강북구 미아동","5*","다가구","8m미만","163.9","119","201508","3","109,500","1994","월계로3길",""
"서울특별시 강북구 미아동","4*","다가구","8m미만","188.24","119","201503","20","59,524","null","월계로",""
"서울특별시 강북구 미아동","6**","다가구","8m미만","198.22","119","201511","15","48,590","1993","삼양로16길",""
"서울특별시 강북구 미아동","6**","다가구","8m미만","198.9","119","201507","20","47,300","1993","삼양로20길",""
"서울특별시 강북구 미아동","6**","다가구","8m미만","199.24","119","201509","10","41,400","1991","삼양로20길",""
"서울특별시 강북구 미아동","7**","다가구","25m미만","202.62","119","201507","22","53,500","1977","삼양로",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","221.58","119","201502","5","41,400","1995","삼양로68길",""
"서울특별시 강북구 미아동","7**","다가구","12m미만","229.02","119","201507","1","59,400","1993","솔매로",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","202.08","120.7","201512","30","50,000","1991","도봉로63길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","305.38","123.3","201508","28","68,000","1991","null",""
"서울특별시 강북구 미아동","8**","다가구","8m미만","188.85","126","201507","17","36,400","1994","인수봉로6나길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","197.01","126","201510","16","48,700","1991","삼양로20나길",""
"서울특별시 강북구 미아동","3**","다가구","12m미만","248.22","127.9","201511","29","45,000","1994","도봉로29길",""
"서울특별시 강북구 미아동","7*","다가구","25m미만","187.02","128","201503","21","58,000","1991","오패산로",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","310.24","129.9","201503","13","62,500","1993","도봉로61길",""
"서울특별시 강북구 미아동","1***","다가구","8m미만","209.16","132","201508","10","40,300","1995","숭인로3길",""
"서울특별시 강북구 미아동","8**","다가구","8m미만","211.71","132","201509","8","51,600","1990","솔샘로",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","199.59","132.9","201504","1","66,000","1991","도봉로47길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","206.56","136","201502","1","53,000","1990","도봉로13길",""
"서울특별시 강북구 미아동","7*","다가구","8m미만","231.1","139","201510","9","113,400","1990","오패산로31길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","324.1","142","201504","26","70,000","1997","삼양로38나길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","228.02","142.1","201505","8","60,000","1997","도봉로45길",""
"서울특별시 강북구 미아동","1**","다가구","12m미만","298.53","145.5","201503","23","108,000","1990","도봉로68길",""
"서울특별시 강북구 미아동","2**","다가구","12m미만","163.21","145.8","201506","12","74,000","1975","솔매로45길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","305.55","145.8","201510","14","72,400","1995","솔매로43길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","326.28","147","201512","24","130,000","1992","도봉로57길",""
